parameter,range,trades,win_rate,avg_r,pnl
dist_sma20_pct,0-3%,670.0,38.80597014925373,-0.03284333262260145,-2200.5032857142974
dist_sma20_pct,3-5%,341.0,37.5366568914956,-0.10718336824465845,-3654.952857142853
dist_sma20_pct,5-7%,232.0,43.53448275862069,0.0665803417487683,1544.6639285714245
dist_sma20_pct,7-10%,0.0,0.0,,0.0
dist_sma20_pct,>10%,0.0,0.0,,0.0
context_rvol,<1.5x,0.0,0.0,,0.0
context_rvol,1.5-2x,884.0,37.66968325791855,-0.07196767210730459,-6361.942214285726
context_rvol,2-2.5x,233.0,44.20600858369099,0.06729282648681786,1567.9228571428562
context_rvol,2.5-3x,77.0,41.55844155844156,-0.004571660482374654,-35.20178571428481
context_rvol,>3x,65.0,36.92307692307693,-0.02557390109890102,-166.23035714285666
context_adr,<2%,402.0,36.56716417910448,-0.09727867803837971,-3910.6028571428647
context_adr,2-3%,472.0,43.00847457627119,0.012148630447941825,573.415357142854
context_adr,3-4%,200.0,34.0,-0.03989007142857146,-797.8014285714294
context_adr,4-5%,88.0,38.63636363636363,-0.0387645698051948,-341.1282142857142
context_adr,>5%,96.0,41.66666666666667,-0.05033441220238094,-483.21035714285705
consolidation_days,<10d,59.0,45.76271186440678,-0.10864939467312348,-641.0314285714286
consolidation_days,10-15d,101.0,35.64356435643564,-0.016747772277227773,-169.15250000000054
consolidation_days,15-20d,1099.0,39.03548680618744,-0.03808250747432741,-4185.267571428582
consolidation_days,20-25d,0.0,0.0,,0.0
consolidation_days,>25d,0.0,0.0,,0.0
