ticker,mode,passed,entry_score,screener_score,tier2_score,reject_reason,screener_reason,signal_type,cost_model,tier2_metrics,signal_date,agent_name,combo_name,entry_price
GME,A,True,1.0,100.0,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 1.14042945740471, 'adr_pct': 22.55520290933307, 'dist_sma20': 13.067622894782316, 'consol_days': 19, 'volume': 107306600.0, 'dollar_vol_M': 2739.992606966114, 'rs_ret': 1.1196632551088999, 'rs_percentile': 96.07293621013133, 'close': 29.1200008392334, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-13,A_BOTH,A_BOTH_PRO,29.1200008392334
MU,A,True,0.701,70.1,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 1.0397153560200831, 'adr_pct': 3.4336671924591067, 'dist_sma20': 9.66185904984541, 'consol_days': 17, 'volume': 16312900.0, 'dollar_vol_M': 2231.127613930893, 'rs_ret': 0.4723848638732997, 'rs_percentile': 87.7439024390244, 'close': 142.20265197753906, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-13,A_BOTH,A_BOTH_PRO,142.20265197753906
TSM,A,True,0.719,71.9,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 1.143966073839291, 'adr_pct': 2.447908360359659, 'dist_sma20': 9.11808090217875, 'consol_days': 17, 'volume': 15591800.0, 'dollar_vol_M': 2309.4766145874023, 'rs_ret': 0.2342431648308816, 'rs_percentile': 91.0905253283302, 'close': 169.44566345214844, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-13,A_BOTH,A_BOTH_PRO,169.44566345214844
QCOM,A,True,0.745,74.5,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.9884863472588113, 'adr_pct': 2.7687416871225827, 'dist_sma20': 5.916736186240307, 'consol_days': 20, 'volume': 10102800.0, 'dollar_vol_M': 2154.914230561066, 'rs_ret': 0.28088914631604656, 'rs_percentile': 90.74812382739212, 'close': 210.84286499023438, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-13,A_BOTH,A_BOTH_PRO,210.84286499023438
SMH,A,True,0.713,71.3,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 1.0356502472927807, 'adr_pct': 2.0425993347599007, 'dist_sma20': 8.671209766805998, 'consol_days': 17, 'volume': 7647200.0, 'dollar_vol_M': 1958.2681954833984, 'rs_ret': 0.1750088857544987, 'rs_percentile': 90.17706378986865, 'close': 265.2056884765625, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-13,A_BOTH,A_BOTH_PRO,265.2056884765625
CRWD,A,True,0.695,69.5,1.0,,qullamaggie_momentum=PASS,breakout,"{'fee_rate': 0.001, 'slippage_rate': 0.0005}","{'rvol': 0.7686692021099433, 'adr_pct': 4.025161469052663, 'dist_sma20': 10.580081608792387, 'consol_days': 18, 'volume': 3969500.0, 'dollar_vol_M': 1976.876764592285, 'rs_ret': 0.14122428031198275, 'rs_percentile': 90.40572232645403, 'close': 382.80999755859375, 'spy_above_sma50': True, 'spy_above_sma200': True}",2024-06-13,A_BOTH,A_BOTH_PRO,382.80999755859375
