day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type
36.0,2.0,1.0,4.047051906585693,1409.0,206.10691118240356,31.0,500.0,1.8074955940246582,4.258303165435791,1516748032.0,2019-02-25,2019-02-15,NVDA,TP1,500.0,500.0,500.0,1516748032.0,3.7499966383530428,3.900773048400879,5916489844.440674,MOMENTUM
40.0,6.0,0.0,19.652666091918945,794.0,-1056.0214538574219,38.0,500.3455810546875,1.57687509059906,3.2034926414489746,167758496.0,2019-03-01,2019-02-27,TSLA,STOP,500.3455810546875,500.3455810546875,500.3455810546875,167758496.0,-6.338573511895914,20.982667922973633,3520020812.8255005,MOMENTUM
43.0,2.0,0.0,3.7735087871551514,2863.0,-364.35757994651794,31.0,500.0,1.8074955940246582,4.258303165435791,1516748032.0,2019-03-06,2019-02-15,NVDA,STOP,500.0,500.0,500.0,1516748032.0,-3.2625394932396667,3.900773048400879,5916489844.440674,MOMENTUM
48.0,2.0,1.0,4.18473482131958,1358.0,252.0930995941162,46.0,493.92864990234375,1.5332638025283813,3.2371907234191895,859728000.0,2019-03-13,2019-03-11,NVDA,TP1,493.92864990234375,493.92864990234375,493.92864990234375,859728000.0,4.641934468055982,3.9990992546081543,3438137603.9657593,MOMENTUM
52.0,2.0,2.0,4.360690593719482,1358.0,491.0410385131836,46.0,493.92864990234375,1.5332638025283813,3.2371907234191895,859728000.0,2019-03-19,2019-03-11,NVDA,TP2,493.92864990234375,493.92864990234375,493.92864990234375,859728000.0,9.041819572111573,3.9990992546081543,3438137603.9657593,MOMENTUM
53.0,8.0,1.0,24.952518463134766,227.0,204.73071670532227,50.0,498.1562805175781,4.870418548583984,2.097435712814331,144066000.0,2019-03-20,2019-03-15,AVGO,TP1,498.1562805175781,498.1562805175781,498.1562805175781,144066000.0,3.749996431248558,24.050621032714844,3464876769.6990967,MOMENTUM
55.0,7.0,0.0,36.10100173950195,444.0,-630.9229431152344,53.0,500.9024658203125,1.651304006576538,2.514957904815674,109172000.0,2019-03-22,2019-03-20,NFLX,STOP,500.9024658203125,500.9024658203125,500.9024658203125,109172000.0,-3.787105281966034,37.52199935913086,4096351714.035034,MOMENTUM
70.0,8.0,2.0,26.500659942626953,228.0,558.6088714599609,50.0,498.1562805175781,4.870418548583984,2.097435712814331,144066000.0,2019-04-12,2019-03-15,AVGO,TP2,498.1562805175781,498.1562805175781,498.1562805175781,144066000.0,10.18700891997527,24.050621032714844,3464876769.6990967,MOMENTUM
78.0,2.0,3.0,4.638648986816406,1400.0,895.3696250915527,46.0,493.92864990234375,1.5332638025283813,3.2371907234191895,859728000.0,2019-04-25,2019-03-11,NVDA,RUNNER,493.92864990234375,493.92864990234375,493.92864990234375,859728000.0,15.992344562873754,3.9990992546081543,3438137603.9657593,MOMENTUM
85.0,8.0,3.0,26.044260025024414,235.0,468.505163192749,50.0,498.1562805175781,4.870418548583984,2.097435712814331,144066000.0,2019-05-06,2019-03-15,AVGO,RUNNER,498.1562805175781,498.1562805175781,498.1562805175781,144066000.0,8.289345167418853,24.050621032714844,3464876769.6990967,MOMENTUM
85.0,9.0,0.0,27.420000076293945,595.0,-517.6504993438721,83.0,505.5431823730469,1.6775310039520264,3.5857388973236084,100514800.0,2019-05-06,2019-05-02,AMD,STOP,505.5431823730469,505.5431823730469,505.5431823730469,100514800.0,-3.075294489495357,28.290000915527344,2843563784.024048,MOMENTUM
122.0,4.0,1.0,194.73757934570312,29.0,204.1226348876953,114.0,502.5375061035156,1.647915005683899,2.4469411373138428,29459900.0,2019-06-27,2019-06-17,META,TP1,502.5375061035156,502.5375061035156,502.5375061035156,29459900.0,3.750002133967123,187.69886779785156,5529589875.437927,MOMENTUM
122.0,8.0,1.0,24.113893508911133,237.0,206.56584548950195,115.0,502.2988586425781,1.5135022401809692,2.9589548110961914,54920000.0,2019-06-27,2019-06-18,AVGO,TP1,502.2988586425781,502.2988586425781,502.2988586425781,54920000.0,3.7499970251926382,23.242307662963867,1276467536.8499756,MOMENTUM
124.0,8.0,2.0,25.347078323364258,237.0,498.8306465148926,115.0,502.2988586425781,1.5135022401809692,2.9589548110961914,54920000.0,2019-07-01,2019-06-18,AVGO,TP2,502.2988586425781,502.2988586425781,502.2988586425781,54920000.0,9.0557731655635,23.242307662963867,1276467536.8499756,MOMENTUM
128.0,8.0,3.0,23.20437240600586,246.0,-9.332073211669922,115.0,502.2988586425781,1.5135022401809692,2.9589548110961914,54920000.0,2019-07-08,2019-06-18,AVGO,RUNNER,502.2988586425781,502.2988586425781,502.2988586425781,54920000.0,-0.1632163961862395,23.242307662963867,1276467536.8499756,MOMENTUM
136.0,2.0,1.0,4.2862982749938965,1359.0,210.54484176635742,131.0,510.67901611328125,1.6528557538986206,2.6389389038085938,682560000.0,2019-07-18,2019-07-11,NVDA,TP1,510.67901611328125,510.67901611328125,510.67901611328125,682560000.0,3.7499963931688347,4.131371974945068,2819909255.218506,MOMENTUM
141.0,4.0,2.0,204.59176635742188,29.0,489.89405822753906,114.0,502.5375061035156,1.647915005683899,2.4469411373138428,29459900.0,2019-07-25,2019-06-17,META,TP2,502.5375061035156,502.5375061035156,502.5375061035156,29459900.0,9.000000243881958,187.69886779785156,5529589875.437927,MOMENTUM
142.0,4.0,3.0,198.36434936523438,31.0,330.6299285888672,114.0,502.5375061035156,1.647915005683899,2.4469411373138428,29459900.0,2019-07-26,2019-06-17,META,RUNNER,502.5375061035156,502.5375061035156,502.5375061035156,29459900.0,5.682230102138576,187.69886779785156,5529589875.437927,MOMENTUM
147.0,2.0,0.0,4.00490665435791,2761.0,-349.1707501411438,131.0,510.67901611328125,1.6528557538986206,2.6389389038085938,682560000.0,2019-08-02,2019-07-11,NVDA,STOP,510.67901611328125,510.67901611328125,510.67901611328125,682560000.0,-3.061097411564828,4.131371974945068,2819909255.218506,MOMENTUM
152.0,9.0,1.0,35.19199752807617,165.0,209.8798942565918,151.0,510.44793701171875,2.639557361602783,3.5433874130249023,167278800.0,2019-08-09,2019-08-08,AMD,TP1,510.44793701171875,510.44793701171875,510.44793701171875,167278800.0,3.749998313076,33.91999816894531,5674096589.703369,MOMENTUM
153.0,9.0,0.0,32.43000030517578,336.0,-500.6392822265625,151.0,510.44793701171875,2.639557361602783,3.5433874130249023,167278800.0,2019-08-12,2019-08-08,AMD,STOP,510.44793701171875,510.44793701171875,510.44793701171875,167278800.0,-4.392682618519907,33.91999816894531,5674096589.703369,MOMENTUM
176.0,8.0,0.0,24.500629425048828,668.0,-578.3970184326172,175.0,508.994140625,1.738653302192688,2.1554689407348633,33109000.0,2019-09-13,2019-09-12,AVGO,STOP,508.994140625,508.994140625,508.994140625,33109000.0,-3.4134154546523634,25.366493225097656,839859224.1897583,MOMENTUM
184.0,8.0,0.0,23.486881256103516,688.0,-697.458740234375,176.0,506.1021728515625,2.954948663711548,2.2540972232818604,62557000.0,2019-09-25,2019-09-13,AVGO,STOP,506.1021728515625,506.1021728515625,506.1021728515625,62557000.0,-4.137641328956561,24.500629425048828,1532685874.9427795,MOMENTUM
190.0,6.0,0.0,15.535332679748535,1036.0,-658.2070274353027,185.0,502.6148681640625,1.7833991050720215,3.468979835510254,178267504.0,2019-10-03,2019-09-26,TSLA,STOP,502.6148681640625,502.6148681640625,502.6148681640625,178267504.0,-3.928934675947534,16.17066764831543,2882704559.6787415,MOMENTUM
193.0,2.0,0.0,4.4077935218811035,3630.0,-640.9869575500488,192.0,499.3238220214844,1.5540176630020142,2.822195053100586,480984000.0,2019-10-08,2019-10-07,NVDA,STOP,499.3238220214844,499.3238220214844,499.3238220214844,480984000.0,-3.851789382064667,4.584373950958252,2205010520.427704,MOMENTUM
200.0,7.0,1.0,29.701549530029297,190.0,203.97436141967773,199.0,496.118896484375,1.6239943504333496,3.3497262001037598,161759008.0,2019-10-17,2019-10-16,NFLX,TP1,496.118896484375,496.118896484375,496.118896484375,161759008.0,3.749997418270265,28.628000259399414,4630836922.984192,MOMENTUM
201.0,7.0,0.0,27.530000686645508,387.0,-424.9258346557617,199.0,496.118896484375,1.6239943504333496,3.3497262001037598,161759008.0,2019-10-18,2019-10-16,NFLX,STOP,496.118896484375,496.118896484375,496.118896484375,161759008.0,-3.8354043691661657,28.628000259399414,4630836922.984192,MOMENTUM
203.0,7.0,0.0,26.66900062561035,599.0,-515.7390365600586,201.0,495.0141296386719,2.0498063564300537,3.531400680541992,234299008.0,2019-10-22,2019-10-18,NFLX,STOP,495.0141296386719,495.0141296386719,495.0141296386719,234299008.0,-3.127497419398241,27.530000686645508,6450251851.120361,MOMENTUM
207.0,4.0,1.0,188.0861358642578,29.0,203.3190460205078,203.0,492.4354553222656,1.5280104875564575,2.2966904640197754,19537600.0,2019-10-28,2019-10-22,META,TP1,492.4354553222656,492.4354553222656,492.4354553222656,19537600.0,3.8718742995245616,181.07513427734375,3537773543.4570312,MOMENTUM
221.0,2.0,0.0,5.061049461364746,3173.0,-496.6618185043335,220.0,496.7261962890625,1.7755661010742188,2.355753183364868,518080000.0,2019-11-15,2019-11-14,NVDA,STOP,496.7261962890625,496.7261962890625,496.7261962890625,518080000.0,-3.000004021183595,5.21757698059082,2703122282.104492,MOMENTUM
223.0,2.0,0.0,5.121118545532227,3128.0,-495.4291458129883,222.0,495.5301818847656,1.6667847633361816,2.538736343383789,574588032.0,2019-11-19,2019-11-18,NVDA,STOP,495.5301818847656,495.5301818847656,495.5301818847656,574588032.0,-3.000003070830882,5.27950382232666,3033539711.2071533,MOMENTUM
223.0,4.0,2.0,197.9373321533203,30.0,505.8659362792969,203.0,492.4354553222656,1.5280104875564575,2.2966904640197754,19537600.0,2019-11-19,2019-10-22,META,TP2,492.4354553222656,492.4354553222656,492.4354553222656,19537600.0,9.312265841067706,181.07513427734375,3537773543.4570312,MOMENTUM
239.0,4.0,3.0,195.38516235351562,31.0,443.6108703613281,203.0,492.4354553222656,1.5280104875564575,2.2966904640197754,19537600.0,2019-12-12,2019-10-22,META,RUNNER,492.4354553222656,492.4354553222656,492.4354553222656,19537600.0,7.902812350951467,181.07513427734375,3537773543.4570312,MOMENTUM
241.0,9.0,1.0,42.6931266784668,131.0,202.14939498901367,240.0,493.23895263671875,1.52647066116333,3.191179037094116,79927800.0,2019-12-16,2019-12-13,AMD,TP1,493.23895263671875,493.23895263671875,493.23895263671875,79927800.0,3.7500002317555965,41.150001525878906,3289029091.960144,MOMENTUM
244.0,7.0,1.0,33.22200012207031,172.0,287.92796325683594,242.0,496.4205017089844,1.836801528930664,2.213886022567749,104271000.0,2019-12-19,2019-12-17,NFLX,TP1,496.4205017089844,496.4205017089844,496.4205017089844,104271000.0,5.306199342476209,31.54800033569336,3289541543.0030823,MOMENTUM
246.0,9.0,2.0,45.459999084472656,132.0,568.919677734375,240.0,493.23895263671875,1.52647066116333,3.191179037094116,79927800.0,2019-12-23,2019-12-13,AMD,TP2,493.23895263671875,493.23895263671875,493.23895263671875,79927800.0,10.473869741859492,41.150001525878906,3289029091.960144,MOMENTUM
260.0,7.0,2.0,34.38732147216797,173.0,491.2025566101074,242.0,496.4205017089844,1.836801528930664,2.213886022567749,104271000.0,2020-01-14,2019-12-17,NFLX,TP2,496.4205017089844,496.4205017089844,496.4205017089844,104271000.0,9.000003506600086,31.54800033569336,3289541543.0030823,MOMENTUM
265.0,7.0,3.0,32.599998474121094,179.0,188.30766677856445,242.0,496.4205017089844,1.836801528930664,2.213886022567749,104271000.0,2020-01-22,2019-12-17,NFLX,RUNNER,496.4205017089844,496.4205017089844,496.4205017089844,104271000.0,3.3345953063069587,31.54800033569336,3289541543.0030823,MOMENTUM
270.0,7.0,0.0,33.911197662353516,485.0,-508.6686897277832,266.0,509.1123046875,2.640179395675659,2.632439613342285,182003008.0,2020-01-29,2020-01-23,NFLX,STOP,509.1123046875,509.1123046875,509.1123046875,182003008.0,-3.00000414641018,34.959999084472656,6362824993.05127,MOMENTUM
270.0,9.0,3.0,47.5099983215332,136.0,864.9595642089844,240.0,493.23895263671875,1.52647066116333,3.191179037094116,79927800.0,2020-01-29,2019-12-13,AMD,RUNNER,493.23895263671875,493.23895263671875,493.23895263671875,79927800.0,15.455641700655942,41.150001525878906,3289029091.960144,MOMENTUM
281.0,2.0,1.0,6.7904510498046875,846.0,207.64063167572021,278.0,503.71295166015625,1.786362886428833,2.4047677516937256,529608000.0,2020-02-13,2020-02-10,NVDA,TP1,503.71295166015625,503.71295166015625,503.71295166015625,529608000.0,3.75000173030712,6.545012950897217,3466291218.898773,MOMENTUM
282.0,2.0,2.0,7.2125325202941895,846.0,564.7215557098389,278.0,503.71295166015625,1.786362886428833,2.4047677516937256,529608000.0,2020-02-14,2020-02-10,NVDA,TP2,503.71295166015625,503.71295166015625,503.71295166015625,529608000.0,10.198903721121994,6.545012950897217,3466291218.898773,MOMENTUM
287.0,2.0,3.0,6.801616668701172,873.0,224.01504564285278,278.0,503.71295166015625,1.786362886428833,2.4047677516937256,529608000.0,2020-02-24,2020-02-10,NVDA,RUNNER,503.71295166015625,503.71295166015625,503.71295166015625,529608000.0,3.9205990840519087,6.545012950897217,3466291218.898773,MOMENTUM
333.0,0.0,1.0,66.60575103759766,91.0,494.8954658508301,332.0,508.6948547363281,1.574247121810913,3.149024486541748,80700000.0,2020-04-29,2020-04-28,GOOGL,TP1,508.6948547363281,508.6948547363281,508.6948547363281,80700000.0,8.891038538974126,61.16733932495117,4936204283.52356,MOMENTUM
334.0,0.0,2.0,66.83003997802734,91.0,515.3057594299316,332.0,508.6948547363281,1.574247121810913,3.149024486541748,80700000.0,2020-04-30,2020-04-28,GOOGL,TP2,508.6948547363281,508.6948547363281,508.6948547363281,80700000.0,9.257719422767604,61.16733932495117,4936204283.52356,MOMENTUM
336.0,6.0,1.0,50.74599838256836,121.0,482.9512939453125,335.0,515.7431030273438,1.7086132764816284,7.244132041931152,487976992.0,2020-05-04,2020-05-01,TSLA,TP1,515.7431030273438,515.7431030273438,515.7431030273438,487976992.0,8.5367587936316,46.75466537475586,22815200971.539917,MOMENTUM
337.0,1.0,1.0,72.53386688232422,80.0,209.736328125,335.0,515.7431030273438,1.5210795402526855,2.9053590297698975,240616800.0,2020-05-05,2020-05-01,AAPL,TP1,515.7431030273438,515.7431030273438,515.7431030273438,240616800.0,3.749997135382479,69.91216278076172,16822040889.385986,MOMENTUM
337.0,6.0,2.0,51.2140007019043,121.0,539.5795745849609,335.0,515.7431030273438,1.7086132764816284,7.244132041931152,487976992.0,2020-05-05,2020-05-01,TSLA,TP2,515.7431030273438,515.7431030273438,515.7431030273438,487976992.0,9.53773338212395,46.75466537475586,22815200971.539917,MOMENTUM
339.0,5.0,1.0,118.58832550048828,49.0,210.02985382080078,335.0,515.7431030273438,1.5521364212036133,3.381347179412842,195452000.0,2020-05-07,2020-05-01,AMZN,TP1,515.7431030273438,515.7431030273438,515.7431030273438,195452000.0,3.7499986650462107,114.302001953125,22340554885.742188,MOMENTUM
341.0,1.0,2.0,76.39203643798828,81.0,524.8697662353516,335.0,515.7431030273438,1.5210795402526855,2.9053590297698975,240616800.0,2020-05-11,2020-05-01,AAPL,TP2,515.7431030273438,515.7431030273438,515.7431030273438,240616800.0,9.268592759098107,69.91216278076172,16822040889.385986,MOMENTUM
348.0,5.0,2.0,124.89700317382812,49.0,519.1550598144531,335.0,515.7431030273438,1.5521364212036133,3.381347179412842,195452000.0,2020-05-20,2020-05-01,AMZN,TP2,515.7431030273438,515.7431030273438,515.7431030273438,195452000.0,9.269305033736952,114.302001953125,22340554885.742188,MOMENTUM
354.0,2.0,1.0,8.841314315795898,699.0,243.88032245635986,352.0,540.2100830078125,1.9890254735946655,3.9398021697998047,1175891968.0,2020-05-29,2020-05-27,NVDA,TP1,540.2100830078125,540.2100830078125,540.2100830078125,1175891968.0,4.108358694715957,8.492415428161621,9986163090.894531,MOMENTUM
362.0,2.0,2.0,9.334928512573242,699.0,588.9166460037231,352.0,540.2100830078125,1.9890254735946655,3.9398021697998047,1175891968.0,2020-06-10,2020-05-27,NVDA,TP2,540.2100830078125,540.2100830078125,540.2100830078125,1175891968.0,9.920770969561513,8.492415428161621,9986163090.894531,MOMENTUM
363.0,0.0,3.0,69.56934356689453,95.0,798.1904029846191,332.0,508.6948547363281,1.574247121810913,3.149024486541748,80700000.0,2020-06-11,2020-04-28,GOOGL,RUNNER,508.6948547363281,508.6948547363281,508.6948547363281,80700000.0,13.736095659331781,61.16733932495117,4936204283.52356,MOMENTUM
365.0,8.0,1.0,26.66498565673828,237.0,228.4193458557129,363.0,555.0189208984375,1.7507504224777222,2.7747769355773926,45115000.0,2020-06-15,2020-06-11,AVGO,TP1,555.0189208984375,555.0189208984375,555.0189208984375,45115000.0,3.7500001855311527,25.701190948486328,1159509229.6409607,MOMENTUM
