ticker,agent_name,entry_score,proximity_score,entry_price,breakout_level,rvol,live_volume,signal_date,source_universe,decision_source,data_quality_status,sector_etf,dollar_vol_M,dist_sma20,waiting_for,primary_reason,live_trigger_status,entry_gate_status,entry_gate_reason,entry_gate_source,gate_rs_percentile,gate_adr_pct,gate_dollar_vol_M,gate_dist_sma20,gate_sector_etf_dist
ACN,Ambos,65.0963597430407,70.0,190.2100067138672,184.79,1.81,399883,2026-06-01,finviz,finviz_live_promoter:none,ok,XLK,0.0,6.34,SMA20>SMA50 (-4.82%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,65.0963597430407,4.16,2016.37,6.34,
IBM,Ambos,91.220556745182,50.0,313.8999938964844,268.89,3.08,5527522,2026-06-01,finviz,finviz_live_promoter:none,ok,OTHER,0.0,26.48,SMA20>SMA50 (-1.07%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,91.220556745182,3.49,8468.39,26.48,
NTNX,Ambos,89.72162740899357,53.1,53.88999938964844,49.99,1.64,31360,2026-06-01,finviz,finviz_live_promoter:none,ok,OTHER,0.0,13.53,SMA50>SMA100 (-0.46%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,89.72162740899357,4.38,380.8,13.53,
RDDT,Ambos,86.29550321199143,19.22,179.72999572753906,177.13,1.54,175871,2026-06-01,finviz,finviz_live_promoter:none,ok,OTHER,0.0,11.08,Breakout > 177.13,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,86.29550321199143,6.24,1645.65,11.08,
WAT,Ambos,89.07922912205566,55.95,380.2349853515625,367.62,2.46,23029,2026-06-01,finviz,finviz_live_promoter:none,ok,OTHER,0.0,12.39,SMA50>SMA100 (-3.78%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,89.07922912205566,3.57,1158.3,12.39,
HPQ,Ambos,91.00642398286938,50.0,27.684999465942383,26.65,2.64,1748057,2026-06-01,finviz,finviz_live_promoter:none,ok,OTHER,0.0,21.39,SMA100>SMA200 (-12.42%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,91.00642398286938,5.09,1595.29,21.39,
AVGO,Ambos,71.30620985010707,100.0,444.0950012207031,442.36,2.13,2246214,2026-06-01,finviz,finviz_live_promoter:none,ok,XLK,0.0,5.64,OK,OK,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,71.30620985010707,3.67,18638.75,5.64,
ESTC,Ambos,93.14775160599572,50.0,63.31499862670898,59.19,3.27,209666,2026-06-01,finviz,finviz_live_promoter:none,ok,OTHER,0.0,22.77,SMA50>SMA100 (-11.10%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,93.14775160599572,5.47,483.43,22.77,
FLEX,Ambos,97.4304068522484,80.88,148.94500732421875,147.76,1.56,25663,2026-06-01,finviz,finviz_live_promoter:none,ok,OTHER,0.0,14.42,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,97.4304068522484,5.5,1721.94,14.42,
F,Ambos,94.21841541755887,50.0,17.229999542236328,16.75,1.87,4903486,2026-06-01,finviz,finviz_live_promoter:none,ok,OTHER,0.0,29.48,SMA50>SMA100 (-2.55%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,94.21841541755887,5.01,2688.18,29.48,
