source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
A,unknown,HPE,1D,2024-11-25,long,next_open,21.4925,19.7731,23.6417,0.667,0.667,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,INCY,1D,2024-11-25,long,next_open,484.3748,445.6249,532.8123,0.685,0.685,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,INMD,1D,2024-11-25,long,next_open,19.52,17.9584,21.472,0.697,0.697,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,IPGP,1D,2024-11-25,long,next_open,60.7043,55.8479,66.7747,0.802,0.8020000000000002,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,IR,1D,2024-11-25,long,next_open,105.2457,96.826,115.7702,0.659,0.659,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,IRDM,1D,2024-11-25,long,next_open,29.0734,26.7475,31.9807,0.699,0.699,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ITRI,1D,2024-11-25,long,next_open,118.7,109.204,130.57,0.685,0.685,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ITT,1D,2024-11-25,long,next_open,157.5721,144.9664,173.3294,0.652,0.652,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,JBTM,1D,2024-11-25,long,next_open,123.5274,113.6452,135.8801,0.911,0.911,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,JCI,1D,2024-11-25,long,next_open,82.2877,75.7047,90.5165,0.652,0.652,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,JHG,1D,2024-11-25,long,next_open,43.5472,40.0635,47.902,0.768,0.768,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KKR,1D,2024-11-25,long,next_open,158.0419,145.3986,173.8461,0.841,0.8409999999999999,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KMI,1D,2024-11-25,long,next_open,26.4181,24.3046,29.0599,0.857,0.857,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KNGRF,1D,2024-11-25,long,next_open,104.06,95.7352,114.466,0.864,0.864,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KNX,1D,2024-11-25,long,next_open,57.5004,52.9003,63.2504,0.599,0.599,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KRC,1D,2024-11-25,long,next_open,39.0835,35.9569,42.9919,0.715,0.715,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KRHC1,1D,2024-11-25,long,next_open,39.0835,35.9569,42.9919,0.715,0.715,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KVUE,1D,2024-11-25,long,next_open,23.0109,21.1701,25.312,0.583,0.583,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,L,1D,2024-11-25,long,next_open,21.4925,19.7731,23.6417,0.666,0.666,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,LDO-MI,1D,2024-11-25,long,next_open,24.7236,22.7457,27.196,0.714,0.714,0.5,,,{'origin': 'combo_pipeline'}
