date,ticker,index_member
2020-07-01,NI,SP500
2020-07-01,NRG,SP500
2020-07-01,PEG,SP500
2020-07-01,PNW,SP500
2020-07-01,PPL,SP500
2020-07-01,SO,SP500
2020-07-01,SRE,SP500
2020-07-01,WEC,SP500
2020-07-01,XEL,SP500
2020-08-01,AEE,SP500
2020-08-01,AEP,SP500
2020-08-01,AES,SP500
2020-08-01,ATO,SP500
2020-08-01,AWK,SP500
2020-08-01,CMS,SP500
2020-08-01,CNP,SP500
2020-08-01,D,SP500
2020-08-01,DTE,SP500
2020-08-01,DUK,SP500
2020-08-01,ED,SP500
2020-08-01,EIX,SP500
2020-08-01,ES,SP500
2020-08-01,ETR,SP500
2020-08-01,EVRG,SP500
2020-08-01,EXC,SP500
2020-08-01,FE,SP500
2020-08-01,LNT,SP500
2020-08-01,NEE,SP500
2020-08-01,NI,SP500
2020-08-01,NRG,SP500
2020-08-01,PEG,SP500
2020-08-01,PNW,SP500
2020-08-01,PPL,SP500
2020-08-01,SO,SP500
2020-08-01,SRE,SP500
2020-08-01,WEC,SP500
2020-08-01,XEL,SP500
2020-09-01,AEE,SP500
2020-09-01,AEP,SP500
2020-09-01,AES,SP500
2020-09-01,ATO,SP500
2020-09-01,AWK,SP500
2020-09-01,CMS,SP500
2020-09-01,CNP,SP500
2020-09-01,D,SP500
2020-09-01,DTE,SP500
2020-09-01,DUK,SP500
2020-09-01,ED,SP500
2020-09-01,EIX,SP500
2020-09-01,ES,SP500
2020-09-01,ETR,SP500
2020-09-01,EVRG,SP500
2020-09-01,EXC,SP500
2020-09-01,FE,SP500
2020-09-01,LNT,SP500
2020-09-01,NEE,SP500
2020-09-01,NI,SP500
2020-09-01,NRG,SP500
2020-09-01,PEG,SP500
2020-09-01,PNW,SP500
2020-09-01,PPL,SP500
2020-09-01,SO,SP500
2020-09-01,SRE,SP500
2020-09-01,WEC,SP500
2020-09-01,XEL,SP500
2020-10-01,AEE,SP500
2020-10-01,AEP,SP500
2020-10-01,AES,SP500
2020-10-01,ATO,SP500
2020-10-01,AWK,SP500
2020-10-01,CMS,SP500
2020-10-01,CNP,SP500
2020-10-01,D,SP500
2020-10-01,DTE,SP500
2020-10-01,DUK,SP500
2020-10-01,ED,SP500
2020-10-01,EIX,SP500
2020-10-01,ES,SP500
2020-10-01,ETR,SP500
2020-10-01,EVRG,SP500
2020-10-01,EXC,SP500
