ticker
NVDA
AAPL
MSFT
AVGO
AMZN
GOOGL
GOOG
TSLA
META
NFLX
COST
PLTR
AMD
CSCO
MU
TMUS
AMAT
ISRG
PEP
APP
LRCX
LIN
SHOP
INTC
QCOM
BKNG
TXN
ADBE
INTU
HON
