run_date,sector_etf,rank,rank_prev,rank_curr,performance_pct,rs_pct,strength,status
2026-05-11,XLK,1,,,,169.5,STRONG,
2026-05-11,XLY,2,,,,-24.35,VERY_WEAK,
2026-05-11,XLRE,3,,,,-56.62,VERY_WEAK,
2026-05-11,XLC,4,,,,-69.35,VERY_WEAK,
2026-05-11,XLP,5,,,,-74.33,VERY_WEAK,
2026-05-11,XLK,1,,,,169.5,STRONG,
2026-05-11,XLY,2,,,,-24.35,VERY_WEAK,
2026-05-11,XLRE,3,,,,-56.62,VERY_WEAK,
2026-05-11,XLC,4,,,,-69.35,VERY_WEAK,
2026-05-11,XLP,5,,,,-74.33,VERY_WEAK,
