ticker,rs,breakout_lvl,dist_sma20_pct,dist_sma20,rvol,waiting_desc,sector_etf,excluded_by_xlv,allowed_shadow_candidate,shadow_status,source_snapshot
AAPL,68.4,292.13,7.36,7.36,1.08,SMA50>SMA100 (-0.49%),XLK,False,True,shadow_allowed,paper_finviz
ABNB,61.199999999999996,147.25,1.1,1.1,2.09,Breakout > 147.25,XLY,False,True,shadow_allowed,paper_finviz
ACAD,48.0,23.07,1.49,1.49,1.04,Breakout > 23.07,UNKNOWN,False,True,shadow_allowed,paper_finviz
ACMR,80.80000000000001,63.95,14.23,14.23,0.99,Breakout > 63.95,UNKNOWN,False,True,shadow_allowed,paper_finviz
ADI,75.8,416.0,7.9,7.9,1.14,Dist SMA20 <= 6.77%,XLK,False,True,shadow_allowed,paper_finviz
ADSK,66.4,255.14,1.65,1.65,0.95,Breakout > 255.14,XLK,False,True,shadow_allowed,paper_finviz
AEHR,88.4,102.48,10.8,10.8,1.11,Breakout > 102.48,UNKNOWN,False,True,shadow_allowed,paper_finviz
AFRM,86.2,68.96,0.68,0.68,1.69,Breakout > 68.96,UNKNOWN,False,True,shadow_allowed,paper_finviz
AG,54.2,23.07,6.45,6.45,1.03,Breakout > 23.07,UNKNOWN,False,True,shadow_allowed,paper_finviz
AGNC,52.0,11.07,0.96,0.96,0.87,Breakout > 11.07,UNKNOWN,False,True,shadow_allowed,paper_finviz
AKAM,96.6,122.24,43.46,43.46,3.78,SMA20>SMA50 (-3.09%),UNKNOWN,False,True,shadow_allowed,paper_finviz
ALAB,86.8,231.73,4.41,4.41,0.75,Breakout > 231.73,UNKNOWN,False,True,shadow_allowed,paper_finviz
ALB,73.6,221.0,4.61,4.61,1.36,Breakout > 221.00,UNKNOWN,False,True,shadow_allowed,paper_finviz
ALGM,85.8,51.4,11.6,11.6,1.09,Breakout > 51.40,UNKNOWN,False,True,shadow_allowed,paper_finviz
AMAT,60.199999999999996,432.81,8.7,8.7,1.36,Dist SMA20 <= 6.77%,XLK,False,True,shadow_allowed,paper_finviz
AMD,98.4,430.6,39.53,39.53,1.24,Dist SMA20 <= 6.77%,XLK,False,True,shadow_allowed,paper_finviz
AMKR,86.4,79.23,8.91,8.91,0.98,Breakout > 79.23,UNKNOWN,False,True,shadow_allowed,paper_finviz
AMSC,92.2,57.18,17.32,17.32,0.59,Breakout > 57.18,UNKNOWN,False,True,shadow_allowed,paper_finviz
AMZN,69.6,278.56,5.04,5.04,0.71,Breakout > 278.56,XLY,False,True,shadow_allowed,paper_finviz
APLD,95.6,44.25,19.99,19.99,0.77,Breakout > 44.25,UNKNOWN,False,True,shadow_allowed,paper_finviz
APLS,41.199999999999996,41.14,0.21,0.21,1.81,Breakout > 41.14,UNKNOWN,False,True,shadow_allowed,paper_finviz
APP,76.4,512.69,1.22,1.22,1.73,Breakout > 512.69,UNKNOWN,False,True,shadow_allowed,paper_finviz
ARE,59.599999999999994,49.18,2.56,2.56,0.86,Breakout > 49.18,UNKNOWN,False,True,shadow_allowed,paper_finviz
ARES,82.19999999999999,125.5,7.41,7.41,1.2,SMA50>SMA100 (-15.27%),UNKNOWN,False,True,shadow_allowed,paper_finviz
ARIS,22.400000000000002,21.83,2.88,2.88,0.87,Breakout > 21.83,UNKNOWN,False,True,shadow_allowed,paper_finviz
ARM,90.8,239.5,9.16,9.16,1.08,Breakout > 239.50,XLK,False,True,shadow_allowed,paper_finviz
ARR,43.4,17.81,0.87,0.87,1.58,Breakout > 17.81,UNKNOWN,False,True,shadow_allowed,paper_finviz
ARWR,65.2,79.48,0.6,0.6,1.43,Breakout > 79.48,UNKNOWN,False,True,shadow_allowed,paper_finviz
ASML,58.199999999999996,1550.0,9.22,9.22,1.23,SMA100/SMA200 N/A,XLK,False,True,shadow_allowed,paper_finviz
ASX,88.0,34.22,12.33,12.33,1.3,SMA100/SMA200 N/A,UNKNOWN,False,True,shadow_allowed,paper_finviz
AU,32.0,112.26,7.29,7.29,1.19,Breakout > 112.26,XLB,False,True,shadow_allowed,paper_finviz
AVGO,71.2,437.68,4.83,4.83,1.1,Breakout > 437.68,XLK,False,True,shadow_allowed,paper_finviz
AVPT,83.39999999999999,11.14,13.26,13.26,3.58,SMA20>SMA50 (-0.82%),UNKNOWN,False,True,shadow_allowed,paper_finviz
AXON,72.6,438.97,1.59,1.59,1.47,Breakout > 438.97,UNKNOWN,False,True,shadow_allowed,paper_finviz
AXTI,98.0,110.8,38.41,38.41,1.03,SMA100/SMA200 N/A,UNKNOWN,False,True,shadow_allowed,paper_finviz
B,35.4,44.11,5.05,5.05,1.29,Breakout > 44.11,UNKNOWN,False,True,shadow_allowed,paper_finviz
BA,60.6,236.63,4.55,4.55,1.19,SMA50>SMA100 (-3.40%),XLI,False,True,shadow_allowed,paper_finviz
BABA,62.6,143.95,3.87,3.87,1.06,Breakout > 143.95,UNKNOWN,False,True,shadow_allowed,paper_finviz
BAM,64.0,50.33,3.63,3.63,1.83,Breakout > 50.33,UNKNOWN,False,True,shadow_allowed,paper_finviz
BCE,49.6,24.72,1.0,1.0,1.19,Breakout > 24.72,UNKNOWN,False,True,shadow_allowed,paper_finviz
BCS,38.0,24.73,1.2,1.2,0.95,Breakout > 24.73,UNKNOWN,False,True,shadow_allowed,paper_finviz
BE,95.39999999999999,302.99,7.04,7.04,1.26,Breakout > 302.99,XLI,False,True,shadow_allowed,paper_finviz
BEKE,76.0,18.93,12.6,12.6,1.4,Breakout > 18.93,UNKNOWN,False,True,shadow_allowed,paper_finviz
BG,42.6,133.93,0.17,0.17,0.66,Breakout > 133.93,UNKNOWN,False,True,shadow_allowed,paper_finviz
BIDU,85.39999999999999,141.3,11.52,11.52,2.31,Breakout > 141.30,UNKNOWN,False,True,shadow_allowed,paper_finviz
BIIB,65.8,195.98,4.36,4.36,0.83,Breakout > 195.98,XLV,True,False,blocked_by_sector,paper_finviz
BILL,77.4,40.81,8.99,8.99,3.67,SMA20>SMA50 (-2.76%),UNKNOWN,False,True,shadow_allowed,paper_finviz
BN,65.4,47.68,3.26,3.26,0.81,Breakout > 47.68,UNKNOWN,False,True,shadow_allowed,paper_finviz
BRK-B,35.8,484.86,0.67,0.67,1.0,Breakout > 484.86,UNKNOWN,False,True,shadow_allowed,paper_finviz
BRKR,74.6,44.28,13.69,13.69,1.23,Breakout > 44.28,UNKNOWN,False,True,shadow_allowed,paper_finviz
BTDR,82.0,15.11,9.13,9.13,0.87,Breakout > 15.11,UNKNOWN,False,True,shadow_allowed,paper_finviz
BTI,35.6,59.98,1.04,1.04,1.08,Breakout > 59.98,UNKNOWN,False,True,shadow_allowed,paper_finviz
BVN,26.400000000000002,38.17,6.28,6.28,0.51,Breakout > 38.17,UNKNOWN,False,True,shadow_allowed,paper_finviz
CALY,80.2,15.57,16.83,16.83,2.71,SMA100/SMA200 N/A,UNKNOWN,False,True,shadow_allowed,paper_finviz
CAT,69.0,931.35,7.31,7.31,0.83,Breakout > 931.35,XLI,False,True,shadow_allowed,paper_finviz
CCI,52.400000000000006,91.35,3.41,3.41,1.37,Breakout > 91.35,XLRE,False,True,shadow_allowed,paper_finviz
CEG,53.800000000000004,328.8,0.29,0.29,1.11,Breakout > 328.80,XLU,False,True,shadow_allowed,paper_finviz
CGNX,79.4,71.9,16.27,16.27,1.71,Breakout > 71.90,UNKNOWN,False,True,shadow_allowed,paper_finviz
CI,54.0,293.77,2.87,2.87,1.0,Breakout > 293.77,XLV,True,False,blocked_by_sector,paper_finviz
CIFR,80.4,22.97,9.65,9.65,0.91,Breakout > 22.97,UNKNOWN,False,True,shadow_allowed,paper_finviz
CLSK,89.60000000000001,14.63,15.23,15.23,0.78,Breakout > 14.63,UNKNOWN,False,True,shadow_allowed,paper_finviz
CMBT,77.60000000000001,15.27,9.62,9.62,0.59,Breakout > 15.27,UNKNOWN,False,True,shadow_allowed,paper_finviz
CNC,93.8,55.97,22.23,22.23,0.76,Breakout > 55.97,UNKNOWN,False,True,shadow_allowed,paper_finviz
CNH,21.8,11.8,3.26,3.26,1.13,Breakout > 11.80,UNKNOWN,False,True,shadow_allowed,paper_finviz
COHR,60.4,364.8,2.17,2.17,1.27,Breakout > 364.80,UNKNOWN,False,True,shadow_allowed,paper_finviz
COIN,76.6,216.05,2.71,2.71,1.28,Breakout > 216.05,XLF,False,True,shadow_allowed,paper_finviz
CORZ,81.8,25.01,10.86,10.86,0.88,Breakout > 25.01,UNKNOWN,False,True,shadow_allowed,paper_finviz
COST,43.6,1031.27,0.86,0.86,1.01,Breakout > 1031.27,XLP,False,True,shadow_allowed,paper_finviz
CPRX,81.39999999999999,32.56,11.51,11.51,1.58,Breakout > 32.56,UNKNOWN,False,True,shadow_allowed,paper_finviz
CRDO,95.8,202.28,6.53,6.53,0.66,Breakout > 202.28,UNKNOWN,False,True,shadow_allowed,paper_finviz
CRM,63.0,193.56,0.33,0.33,1.18,Breakout > 193.56,XLK,False,True,shadow_allowed,paper_finviz
CRSP,56.2,59.39,1.37,1.37,0.89,Breakout > 59.39,UNKNOWN,False,True,shadow_allowed,paper_finviz
CRWD,88.8,506.79,17.18,17.18,1.41,SMA50>SMA100 (-1.97%),XLK,False,True,shadow_allowed,paper_finviz
CSCO,74.4,94.72,8.61,8.61,1.37,Dist SMA20 <= 6.77%,XLK,False,True,shadow_allowed,paper_finviz
CTVA,27.800000000000004,84.62,0.42,0.42,1.31,Breakout > 84.62,UNKNOWN,False,True,shadow_allowed,paper_finviz
CVS,70.8,88.63,13.0,13.0,1.39,XLV > SMA20,XLV,True,False,blocked_by_sector,paper_finviz
CWAN,44.2,24.35,0.78,0.78,1.43,Breakout > 24.35,UNKNOWN,False,True,shadow_allowed,paper_finviz
CYTK,75.2,80.2,14.97,14.97,1.79,Breakout > 80.20,UNKNOWN,False,True,shadow_allowed,paper_finviz
DB,34.8,34.32,0.04,0.04,0.71,Breakout > 34.32,UNKNOWN,False,True,shadow_allowed,paper_finviz
DBX,86.0,25.64,18.04,18.04,2.78,SMA50>SMA100 (-3.63%),UNKNOWN,False,True,shadow_allowed,paper_finviz
DDOG,98.6,198.6,46.3,46.3,1.86,SMA100>SMA200 (-8.08%),XLK,False,True,shadow_allowed,paper_finviz
DEI,84.2,12.53,13.9,13.9,1.23,Breakout > 12.53,UNKNOWN,False,True,shadow_allowed,paper_finviz
DELL,92.4,239.45,23.99,23.99,1.86,Dist SMA20 <= 6.77%,UNKNOWN,False,True,shadow_allowed,paper_finviz
DEO,62.4,85.5,4.89,4.89,0.84,Breakout > 85.50,UNKNOWN,False,True,shadow_allowed,paper_finviz
DIS,60.0,110.48,4.01,4.01,0.94,Breakout > 110.48,XLC,False,True,shadow_allowed,paper_finviz
DKNG,70.39999999999999,25.27,9.02,9.02,2.3,SMA20>SMA50 (-0.85%),XLY,False,True,shadow_allowed,paper_finviz
