agent_name,combo_name,ticker,signal_date,entry_score,screener_score,screener_reason,pattern_signal,tier2_filter,rvol,adr_pct,consol_days,dollar_vol_M,entry_price
combo_pure_momentum,combo_pure_momentum,AER,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.06,2.89,15,220.3,133.04
combo_pure_momentum,combo_pure_momentum,AES,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.68,1.61,16,250.0,14.19
combo_pure_momentum,combo_pure_momentum,AFL,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.62,1.75,20,239.4,108.71
combo_pure_momentum,combo_pure_momentum,AFRM,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.68,5.56,20,306.5,46.88
combo_pure_momentum,combo_pure_momentum,AG,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.94,6.49,16,519.8,22.56
combo_pure_momentum,combo_pure_momentum,AGI,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.8,4.78,20,175.9,45.85
combo_pure_momentum,combo_pure_momentum,AGNC,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.79,2.21,13,225.9,10.23
combo_pure_momentum,combo_pure_momentum,AHR,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.94,2.33,19,133.8,52.16
combo_pure_momentum,combo_pure_momentum,AIG,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.67,2.08,19,316.2,76.74
combo_pure_momentum,combo_pure_momentum,AJG,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.72,3.13,20,547.5,207.93
combo_pure_momentum,combo_pure_momentum,AKAM,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.67,4.73,19,534.2,107.67
combo_pure_momentum,combo_pure_momentum,AKR,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,3.81,1.63,18,3.8,20.15
combo_pure_momentum,combo_pure_momentum,ALAB,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.72,6.29,20,574.4,120.31
combo_pure_momentum,combo_pure_momentum,ALB,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,3.14,5.96,16,76.4,158.22
combo_pure_momentum,combo_pure_momentum,ALC,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.89,2.02,17,137.7,77.32
combo_pure_momentum,combo_pure_momentum,ALGM,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.5,4.72,20,71.6,31.13
combo_pure_momentum,combo_pure_momentum,ALGN,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,4.37,1.21,17,70.9,164.23
combo_pure_momentum,combo_pure_momentum,ALHC,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.91,5.41,14,14.7,16.99
combo_pure_momentum,combo_pure_momentum,ALK,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,3.06,2.66,14,61.8,38.0
combo_pure_momentum,combo_pure_momentum,ALKS,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,3.4,1.88,13,23.5,27.76
combo_pure_momentum,combo_pure_momentum,ALL,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.5,2.25,20,309.3,206.17
combo_pure_momentum,combo_pure_momentum,ALLY,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.97,3.45,15,139.3,36.14
combo_pure_momentum,combo_pure_momentum,ALM,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.24,8.53,16,96.0,19.675
combo_pure_momentum,combo_pure_momentum,ALNY,2026-03-12,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.01,3.45,19,382.7,317.23
combo_pure_momentum,combo_pure_momentum,AM,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.89,2.3,18,68.4,23.14
combo_pure_momentum,combo_pure_momentum,AMCR,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.91,2.48,14,207.1,40.57
combo_pure_momentum,combo_pure_momentum,AME,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.57,2.33,16,308.4,214.49
combo_pure_momentum,combo_pure_momentum,AMGN,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.6,2.24,20,921.4,366.21
combo_pure_momentum,combo_pure_momentum,AMH,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.52,2.56,18,149.4,28.37
combo_pure_momentum,combo_pure_momentum,AMKR,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.61,4.94,19,201.1,42.99
combo_pure_momentum,combo_pure_momentum,AMPX,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.79,9.02,15,179.2,17.95
combo_pure_momentum,combo_pure_momentum,AMRX,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.29,3.42,14,26.1,11.83
combo_pure_momentum,combo_pure_momentum,AMSC,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.95,6.88,18,30.2,31.02
combo_pure_momentum,combo_pure_momentum,AMT,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.06,2.62,17,553.7,184.41
combo_pure_momentum,combo_pure_momentum,AMTM,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.88,4.21,17,54.7,27.9
combo_pure_momentum,combo_pure_momentum,AMX,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.33,2.91,18,67.6,22.99
combo_pure_momentum,combo_pure_momentum,ANET,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.68,4.28,20,1046.1,133.57
combo_pure_momentum,combo_pure_momentum,ANF,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.52,4.84,18,127.1,81.86
combo_pure_momentum,combo_pure_momentum,AON,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.62,2.37,20,477.5,321.41
combo_pure_momentum,combo_pure_momentum,AOS,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.63,2.6,14,84.6,66.84
combo_pure_momentum,combo_pure_momentum,APA,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.86,4.36,15,292.9,34.47
combo_pure_momentum,combo_pure_momentum,APD,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.66,2.29,19,475.9,287.98
combo_pure_momentum,combo_pure_momentum,APG,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.87,3.15,15,116.9,39.92
combo_pure_momentum,combo_pure_momentum,APGE,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.89,5.21,19,58.1,71.9
combo_pure_momentum,combo_pure_momentum,APH,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.82,3.87,20,1177.6,133.92
combo_pure_momentum,combo_pure_momentum,APLD,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.0,7.6,20,487.3,27.05
combo_pure_momentum,combo_pure_momentum,APLE,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.07,2.56,18,28.6,11.69
combo_pure_momentum,combo_pure_momentum,APLS,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.84,4.37,15,38.3,18.94
combo_pure_momentum,combo_pure_momentum,APO,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.09,4.55,17,702.8,104.44
combo_pure_momentum,combo_pure_momentum,APP,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.61,6.39,19,2772.2,458.67
combo_pure_momentum,combo_pure_momentum,APTV,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.77,3.38,19,150.5,70.5
combo_pure_momentum,combo_pure_momentum,AR,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.55,3.98,15,251.9,40.99
combo_pure_momentum,combo_pure_momentum,ARE,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.72,3.59,19,115.9,48.41
combo_pure_momentum,combo_pure_momentum,ARES,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.18,5.18,18,448.4,101.76
combo_pure_momentum,combo_pure_momentum,ARIS,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.1,5.49,20,25.9,18.58
combo_pure_momentum,combo_pure_momentum,ARM,2026-02-12,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.7,5.37,15,1043.7,122.19
combo_pure_momentum,combo_pure_momentum,ARMK,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.08,2.48,20,93.5,40.0
combo_pure_momentum,combo_pure_momentum,AROC,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,3.4,0.78,17,11.9,34.61
combo_pure_momentum,combo_pure_momentum,ARQT,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.61,5.5,16,32.4,22.75
combo_pure_momentum,combo_pure_momentum,ARR,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.97,2.48,19,60.0,17.08
combo_pure_momentum,combo_pure_momentum,ARWR,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.95,4.79,15,124.2,55.05
combo_pure_momentum,combo_pure_momentum,ARX,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.58,5.9,20,11.1,10.71
combo_pure_momentum,combo_pure_momentum,AS,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.63,4.32,19,191.2,32.34
combo_pure_momentum,combo_pure_momentum,ASML,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.79,3.15,18,2009.3,1345.6899
combo_pure_momentum,combo_pure_momentum,ASO,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.02,11.9,16,3301.5,56.34
combo_pure_momentum,combo_pure_momentum,ASTS,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.66,8.63,19,1074.1,86.34
combo_pure_momentum,combo_pure_momentum,ASX,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.67,3.27,20,161.3,21.5
combo_pure_momentum,combo_pure_momentum,ATI,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.75,3.97,16,329.5,141.97
combo_pure_momentum,combo_pure_momentum,ATO,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.65,1.57,18,222.8,188.58
combo_pure_momentum,combo_pure_momentum,AU,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.42,4.9,18,272.5,94.89
combo_pure_momentum,combo_pure_momentum,AUB,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.8,3.42,17,34.4,34.3
combo_pure_momentum,combo_pure_momentum,AUGO,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.71,5.93,17,57.9,75.385
combo_pure_momentum,combo_pure_momentum,AUPH,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.95,3.62,19,14.8,13.95
combo_pure_momentum,combo_pure_momentum,AVB,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.81,1.93,16,162.6,168.96
combo_pure_momentum,combo_pure_momentum,AVT,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.9,2.6,18,55.0,59.73
combo_pure_momentum,combo_pure_momentum,AWK,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.59,2.74,20,276.4,139.69
combo_pure_momentum,combo_pure_momentum,AXIA,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.58,3.28,20,26.9,10.94
combo_pure_momentum,combo_pure_momentum,AXON,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.49,5.09,16,557.6,496.18
combo_pure_momentum,combo_pure_momentum,AXP,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.58,2.75,15,1355.4,299.96
combo_pure_momentum,combo_pure_momentum,AXTA,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,2.49,1.48,15,20.5,27.59
combo_pure_momentum,combo_pure_momentum,AXTI,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,3.59,8.86,16,144.5,48.86
combo_pure_momentum,combo_pure_momentum,AZN,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.71,1.69,20,382.2,189.9
combo_pure_momentum,combo_pure_momentum,B,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,5.0,3.18,15,122.5,42.34
combo_pure_momentum,combo_pure_momentum,BA,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,1.35,2.94,18,1387.2,209.89
combo_pure_momentum,combo_pure_momentum,BABA,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.64,2.35,15,1350.3,135.21
combo_pure_momentum,combo_pure_momentum,BAC,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.73,2.67,20,2132.6,46.72
combo_pure_momentum,combo_pure_momentum,BAH,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.52,3.71,20,187.6,78.27
combo_pure_momentum,combo_pure_momentum,BALL,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.7,2.09,15,115.5,62.19
combo_pure_momentum,combo_pure_momentum,BAM,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.75,3.36,20,178.8,42.93
combo_pure_momentum,combo_pure_momentum,BANC,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.84,3.51,14,46.9,16.78
combo_pure_momentum,combo_pure_momentum,BAX,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.81,4.47,19,191.0,17.4
combo_pure_momentum,combo_pure_momentum,BBIO,2026-03-13,0.0,0.0,qullamaggie_momentum=FAIL,breakout,n/a,0.6,4.91,20,210.1,69.41
