day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type
240.0,2.0,0.0,243.1954345703125,199.0,-1537.3399810791016,238.0,1500.0,1.6833215951919556,2.3814053535461426,42196900.0,2022-12-15,2022-12-13,MSFT,STOP,1500.0,1500.0,1500.0,42196900.0,-3.078791290111134,250.92076110839844,10588078264.414978,MOMENTUM
77.0,7.0,0.0,102.56999969482422,460.0,-2019.3997192382812,75.0,1476.93994140625,1.6737961769104004,2.417959213256836,86774200.0,2023-04-25,2023-04-21,AMZN,STOP,1476.93994140625,1476.93994140625,1476.93994140625,86774200.0,-4.104337534802515,106.95999908447266,9281368352.555847,MOMENTUM
80.0,7.0,0.0,105.44999694824219,439.0,-1918.4312057495117,79.0,1446.64892578125,2.4912519454956055,2.652500867843628,149961200.0,2023-04-28,2023-04-27,AMZN,STOP,1446.64892578125,1446.64892578125,1446.64892578125,149961200.0,-3.9792412663683407,109.81999969482422,16468738938.235474,MOMENTUM
89.0,5.0,1.0,115.69583129882812,140.0,669.7392272949219,88.0,1417.8724365234375,1.9270026683807373,2.400428295135498,63153400.0,2023-05-11,2023-05-10,GOOGL,TP1,1417.8724365234375,1417.8724365234375,1417.8724365234375,63153400.0,4.3131964982866675,110.91197967529297,7004468617.225647,MOMENTUM
94.0,5.0,2.0,121.90889739990234,140.0,1539.5684814453125,88.0,1417.8724365234375,1.9270026683807373,2.400428295135498,63153400.0,2023-05-18,2023-05-10,GOOGL,TP2,1417.8724365234375,1417.8724365234375,1417.8724365234375,63153400.0,9.914995437647098,110.91197967529297,7004468617.225647,MOMENTUM
108.0,5.0,3.0,121.22406005859375,146.0,1505.563735961914,88.0,1417.8724365234375,1.9270026683807373,2.400428295135498,63153400.0,2023-06-08,2023-05-10,GOOGL,RUNNER,1417.8724365234375,1417.8724365234375,1417.8724365234375,63153400.0,9.29753522882788,110.91197967529297,7004468617.225647,MOMENTUM
119.0,6.0,0.0,276.53826904296875,171.0,-1742.2973327636719,118.0,1473.595458984375,2.1449849605560303,2.884157419204712,51092000.0,2023-06-26,2023-06-23,META,STOP,1473.595458984375,1473.595458984375,1473.595458984375,51092000.0,-3.5535084708330342,286.7271423339844,14649463156.12793,MOMENTUM
136.0,2.0,0.0,340.361328125,136.0,-1684.116455078125,134.0,1447.4610595703125,2.5302090644836426,2.0123441219329834,64738600.0,2023-07-20,2023-07-18,MSFT,STOP,1447.4610595703125,1447.4610595703125,1447.4610595703125,64738600.0,-3.5105318203993465,352.7445373535156,22836187505.914307,MOMENTUM
161.0,5.0,1.0,133.1118927001953,121.0,582.164794921875,140.0,1422.1993408203125,1.8156275749206543,2.168489456176758,61682100.0,2023-08-24,2023-07-26,GOOGL,TP1,1422.1993408203125,1422.1993408203125,1422.1993408203125,61682100.0,3.750004905861571,128.3006134033203,7913851266.004944,MOMENTUM
194.0,5.0,2.0,139.84767150878906,122.0,1408.7410888671875,140.0,1422.1993408203125,1.8156275749206543,2.168489456176758,61682100.0,2023-10-11,2023-07-26,GOOGL,TP2,1422.1993408203125,1422.1993408203125,1422.1993408203125,61682100.0,9.000002259669571,128.3006134033203,7913851266.004944,MOMENTUM
204.0,5.0,0.0,124.45159149169922,126.0,-484.9767608642578,140.0,1422.1993408203125,1.8156275749206543,2.168489456176758,61682100.0,2023-10-25,2023-07-26,GOOGL,STOP,1422.1993408203125,1422.1993408203125,1422.1993408203125,61682100.0,-3.000002735389482,128.3006134033203,7913851266.004944,MOMENTUM
236.0,4.0,1.0,134.41000366210938,123.0,742.9210510253906,234.0,1444.7882080078125,2.3852546215057373,2.975329637527466,118579104.0,2023-12-11,2023-12-07,AMD,TP1,1444.7882080078125,1444.7882080078125,1444.7882080078125,118579104.0,4.705156013605843,128.3699951171875,15221999001.480469,MOMENTUM
239.0,4.0,2.0,139.9232940673828,124.0,1432.6090698242188,234.0,1444.7882080078125,2.3852546215057373,2.975329637527466,118579104.0,2023-12-14,2023-12-07,AMD,TP2,1444.7882080078125,1444.7882080078125,1444.7882080078125,118579104.0,8.999999524537209,128.3699951171875,15221999001.480469,MOMENTUM
