day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct
39.0,6.0,1.0,102.47655487060547,15.0,146.80973052978516,38.0,200.0,1.939675211906433,3.567430019378662,1651100.0,2014-02-28,2014-02-27,MELI,TP1,200.0,200.0,200.0,1651100.0,10.559278964033476,92.68923950195312,153039203.3416748,MOMENTUM,0.6128803491592407
54.0,13.0,1.0,4.114799976348877,393.0,119.78641319274902,45.0,200.0,2.2925240993499756,2.6871583461761475,42135800.0,2014-03-21,2014-03-10,AMD,TP1,200.0,200.0,200.0,42135800.0,8.000001001232892,3.809999942779541,160537395.58897018,MOMENTUM,2.5571978092193604
64.0,6.0,0.0,87.84403228759766,38.0,-184.1178741455078,38.0,200.0,1.939675211906433,3.567430019378662,1651100.0,2014-04-04,2014-02-27,MELI,STOP,200.0,200.0,200.0,1651100.0,-5.227367535207117,92.68923950195312,153039203.3416748,MOMENTUM,0.6128803491592407
69.0,13.0,0.0,3.6500000953674316,919.0,-147.03985977172852,45.0,200.0,2.2925240993499756,2.6871583461761475,42135800.0,2014-04-11,2014-03-10,AMD,STOP,200.0,200.0,200.0,42135800.0,-4.199471123755013,3.809999942779541,160537395.58897018,MOMENTUM,2.5571978092193604
69.0,30.0,0.0,0.42577096819877625,11273.0,-199.98818585276604,63.0,200.0,1.589080572128296,2.54241681098938,599548032.0,2014-04-11,2014-04-03,NVDA,STOP,200.0,200.0,200.0,599548032.0,-4.0000002687851595,0.443511426448822,265906402.896904,MOMENTUM,2.694861650466919
87.0,7.0,0.0,63.71520233154297,75.0,-199.1100311279297,83.0,200.0,1.6439236402511597,5.402163505554199,2812400.0,2014-05-08,2014-05-02,VRTX,STOP,200.0,200.0,200.0,2812400.0,-4.000000459809806,66.37000274658203,186658995.7244873,MOMENTUM,0.8126420378684998
92.0,12.0,0.0,15.948285102844238,300.0,-199.3535041809082,87.0,200.0,1.5193204879760742,2.737901210784912,21343300.0,2014-05-15,2014-05-08,AMAT,STOP,200.0,200.0,200.0,21343300.0,-3.999998851879875,16.612796783447266,354571905.58815,MOMENTUM,1.5451970100402832
96.0,18.0,0.0,49.58749771118164,95.0,-253.42079162597656,95.0,200.0,1.5419975519180298,4.270386219024658,10653800.0,2014-05-21,2014-05-20,CRM,STOP,200.0,200.0,200.0,10653800.0,-5.104933387266809,52.25508499145508,556715224.4819641,MOMENTUM,1.4724891185760498
102.0,6.0,0.0,82.87349700927734,57.0,-196.82464599609375,101.0,200.0,2.1648902893066406,4.330686092376709,2114600.0,2014-05-30,2014-05-29,MELI,STOP,200.0,200.0,200.0,2114600.0,-4.00000176756596,86.3265609741211,182546145.83587646,MOMENTUM,3.0329983234405518
104.0,18.0,0.0,50.33837890625,95.0,-217.7541160583496,97.0,200.0,1.6934232711791992,4.581233978271484,13735500.0,2014-06-03,2014-05-22,CRM,STOP,200.0,200.0,200.0,13735500.0,-4.355169326865252,52.63052749633789,722906610.4259491,MOMENTUM,2.883524179458618
126.0,31.0,0.0,13.416000366210938,357.0,-199.5630054473877,123.0,200.0,1.7519770860671997,3.2599172592163086,18450000.0,2014-07-03,2014-06-30,PANW,STOP,200.0,200.0,200.0,18450000.0,-4.0,13.975000381469727,257838757.03811646,MOMENTUM,5.972237586975098
135.0,6.0,0.0,85.86476135253906,55.0,-244.34490203857422,119.0,200.0,1.8535915613174438,3.3040459156036377,1160200.0,2014-07-17,2014-06-24,MELI,STOP,200.0,200.0,200.0,1160200.0,-4.919458186696355,90.3073959350586,104774640.76385498,MOMENTUM,4.376649856567383
155.0,35.0,1.0,346.0352478027344,4.0,102.5289306640625,144.0,200.0,2.79339337348938,2.725492477416992,2373700.0,2014-08-14,2014-07-30,REGN,TP1,200.0,200.0,200.0,2373700.0,7.999997333070705,320.40301513671875,760540637.0300293,MOMENTUM,4.294572353363037
165.0,31.0,0.0,13.678400039672852,350.0,-199.4765281677246,155.0,200.0,1.7112421989440918,2.885301113128662,11653200.0,2014-08-28,2014-08-14,PANW,STOP,200.0,200.0,200.0,11653200.0,-3.999997322706262,14.248332977294922,166038673.85101318,MOMENTUM,4.860963344573975
167.0,35.0,2.0,365.2594299316406,7.0,313.9949035644531,144.0,200.0,2.79339337348938,2.725492477416992,2373700.0,2014-09-02,2014-07-30,REGN,TP2,200.0,200.0,200.0,2373700.0,13.999997714060603,320.40301513671875,760540637.0300293,MOMENTUM,4.294572353363037
172.0,35.0,3.0,344.4794921875,4.0,96.305908203125,144.0,200.0,2.79339337348938,2.725492477416992,2373700.0,2014-09-09,2014-07-30,REGN,RUNNER,200.0,200.0,200.0,2373700.0,7.5144352310503715,320.40301513671875,760540637.0300293,MOMENTUM,4.294572353363037
