symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,trade_type,signal_type,initial_shares,R_inicial,adr_valor,reason,r_multiple,outcome_category,was_stopped_out,hit_target,hold_time_category,context_adr,context_rvol,context_trend,context_vol,context_dollar_vol,dist_sma20_pct,consolidation_days,sector,sector_strength,time_since_earnings,spx_vs_voltrig,spy_at_entry,vix_at_entry,spy_ema20_at_entry,base_risk_dollars,adjusted_risk_dollars,risk_reduction_factor,size_multipliers_applied,rvol_classification,price_vs_sma20,price_vs_sma50,volume_at_entry,avg_volume_20d,atr_at_entry,atr_pct_price,volatility_regime,consolidation_quality,is_vcp_pattern,days_to_next_earnings,earnings_risk_level,vix_regime,spy_above_ema20,returns_pct,is_profitable,bars_held,position_value,monetary_risk,source,Result,month_key
AMZN,2024-11-06,2024-11-15,207.09,201.81428571428572,10,-52.75714285714287,STOP,BLUE_SKY_PLUS,10,52.75714285714287,4.4113121411406935,STOP,-1.0,BIG_LOSS,True,False,SWING,2.1301425182967275,1.9303842154119455,Uptrend,72292167,14970984864.03,8.69582332795339,20,XLY,0.0,6,True,582.2203369140625,16.270000457763672,564.7810557828508,150.0,52.75714285714287,0.46895238095238106,"MARKET_SAFE: Full Risk ($150), OVEREXTENDED(>7%SMA20): -50%",NORMAL,8.69582332795339,11.144624870119287,72292167,37449626.05,5.2757142857142885,2.5475466153432267,LOW,A,False,92,LOW,CALM,True,-2.547546615343226,False,9,2070.9,103.54500000000002,vectorbt_advanced,LOSS,2024-11
NFLX,2024-11-18,2024-11-21,84.7,89.75,17,85.84999999999995,TP1,BLUE_SKY_PLUS,34,55.03142857142856,1.6859153134667813,TP1,3.1200353045013225,BIG_WIN,False,True,SWING,1.990454915545196,1.4016713260560212,Uptrend,40840810,3459216607.0,8.230363280900622,20,XLC,0.0,32,True,579.3734130859375,15.579999923706055,575.6623848614131,150.0,55.03142857142856,0.4891682539682539,"MARKET_SAFE: Full Risk ($150), OVEREXTENDED(>7%SMA20): -50%",NORMAL,8.230363280900622,14.583643354013393,40840810,29137223.0,1.6185714285714283,1.9109461966604822,LOW,A,True,64,LOW,CALM,True,5.962219598583231,True,3,1439.9,71.995,vectorbt_advanced,WIN,2024-11
META,2024-12-06,2024-12-09,623.77,609.2035714285714,3,-43.69928571428568,STOP,BLUE_SKY_PLUS,3,43.69928571428568,15.753160496666403,STOP,-1.0,BIG_LOSS,True,False,SWING,2.5254758158722614,1.4446892618370246,Uptrend,16935503,10563858706.31,7.48224768974424,20,XLK,-0.2967555155758703,37,True,598.7401123046875,12.770000457763672,588.296055063328,150.0,43.69928571428568,0.3884380952380949,"MARKET_SAFE: Full Risk ($150), OVEREXTENDED(>7%SMA20): -50%",NORMAL,7.48224768974424,7.619658871716302,16935503,11722592.15,14.566428571428569,2.335224292836874,LOW,A,True,54,LOW,CALM,True,-2.3352242928368723,False,3,1871.31,93.5655,vectorbt_advanced,LOSS,2024-12
NFLX,2024-11-18,2024-12-18,84.7,90.415,10,57.150000000000034,TP2,BLUE_SKY_PLUS,34,55.03142857142856,1.6859153134667813,TP2,3.530891438658432,BIG_WIN,False,True,LONG,1.990454915545196,1.4016713260560212,Uptrend,40840810,3459216607.0,8.230363280900622,20,XLC,0.0,32,True,579.3734130859375,15.579999923706055,575.6623848614131,150.0,55.03142857142856,0.4891682539682539,"MARKET_SAFE: Full Risk ($150), OVEREXTENDED(>7%SMA20): -50%",NORMAL,8.230363280900622,14.583643354013393,40840810,29137223.0,1.6185714285714283,1.9109461966604822,LOW,A,True,64,LOW,CALM,True,6.747343565525387,True,30,847.0,42.35,vectorbt_advanced,WIN,2024-11
NFLX,2024-11-18,2024-12-18,84.7,88.95,7,29.75,PHASE3_SMA20_BREAK_DEF,BLUE_SKY_PLUS,34,55.03142857142856,1.6859153134667813,PHASE3_SMA20_BREAK_DEF,2.625772285966461,WIN,False,True,LONG,1.990454915545196,1.4016713260560212,Uptrend,40840810,3459216607.0,8.230363280900622,20,XLC,0.0,32,True,579.3734130859375,15.579999923706055,575.6623848614131,150.0,55.03142857142856,0.4891682539682539,"MARKET_SAFE: Full Risk ($150), OVEREXTENDED(>7%SMA20): -50%",NORMAL,8.230363280900622,14.583643354013393,40840810,29137223.0,1.6185714285714283,1.9109461966604822,LOW,A,True,64,LOW,CALM,True,5.017709563164108,True,30,592.9,29.645,vectorbt_advanced,WIN,2024-11
AAPL,2024-12-16,2024-12-19,251.04,247.72071428571428,33,-109.5364285714285,STOP,BLUE_SKY_PLUS,33,109.5364285714285,3.4178207093570783,STOP,-1.0,BIG_LOSS,True,False,SWING,1.361464591044088,1.2222265293464463,Uptrend,51694753,12977450793.119999,4.968483112593175,20,XLK,0.5495645416198971,46,True,597.7352294921875,14.6899995803833,591.8253113727869,150.0,109.5364285714285,0.9736571428571422,MARKET_SAFE: Full Risk ($150),NORMAL,4.968483112593175,7.822916836679029,51694753,42295557.95,3.319285714285712,1.3222138759901658,LOW,A,True,45,LOW,CALM,True,-1.3222138759901658,False,3,8284.32,414.216,vectorbt_advanced,LOSS,2024-12
AAPL,2024-12-20,2024-12-31,254.49,250.25928571428574,8,-33.845714285714166,STOP,BLUE_SKY_PLUS,8,33.845714285714166,4.39219201513112,STOP,-1.0,BIG_LOSS,True,False,POSITION,1.7258800012303508,2.933830705534534,Uptrend,147495267,37536070498.83,4.403155601685286,20,XLK,-12.891053824480045,50,False,584.2886962890625,18.360000610351562,588.989360426079,150.0,33.845714285714166,0.4512761904761889,"RVOL_WARNING: -50%, MARKET_DANGER: Half Risk ($150->$75)",WARNING,4.403155601685286,8.375890463228263,147495267,50273953.0,4.230714285714285,1.6624284984534894,LOW,A,False,41,LOW,CALM,False,-1.6624284984534836,False,11,2035.92,101.796,vectorbt_advanced,LOSS,2024-12
