symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,trade_type,signal_type,r_multiple,outcome_category,was_stopped_out,hit_target,hold_time_category,context_adr,context_rvol,context_trend,context_vol,context_dollar_vol,dist_sma20_pct,consolidation_days,sector,sector_strength,time_since_earnings,spx_vs_voltrig,spy_at_entry,vix_at_entry,spy_ema20_at_entry,base_risk_dollars,adjusted_risk_dollars,risk_reduction_factor,size_multipliers_applied,rvol_classification,price_vs_sma20,price_vs_sma50,volume_at_entry,avg_volume_20d,atr_at_entry,atr_pct_price,volatility_regime,consolidation_quality,is_vcp_pattern,days_to_next_earnings,earnings_risk_level,vix_regime,spy_above_ema20,returns_pct,is_profitable,bars_held,position_value,monetary_risk,source,Result,month_key
NVDA,2024-01-08,2024-01-09,52.25,54.30714285714286,96,197.48571428571427,TP1,BLUE_SKY_PLUS,1.591160220994473,WIN,False,True,SCALP,2.3710578275207785,1.6912315055652516,Uptrend,642509890.0,33571141752.5,7.116865012249248,19,XLK,0.0,48,True,463.150390625,13.079999923706055,460.3566781286636,500.0,249.52142857142888,0.4990428571428578,OVEREXTENDED: -50%,NORMAL,7.116865012249248,10.349401050906444,642509890.0,379906528.4,1.2928571428571434,2.474367737525633,LOW,B,False,44,LOW,CALM,True,3.9371155160628843,True,1,5016.0,250.8,vectorbt_advanced,WIN,2024-01
NVDA,2024-01-08,2024-01-16,52.25,56.58714285714286,57,247.2171428571429,TP2,BLUE_SKY_PLUS,3.3546961325966813,BIG_WIN,False,True,SWING,2.3710578275207785,1.6912315055652516,Uptrend,642509890.0,33571141752.5,7.116865012249248,19,XLK,0.0,48,True,463.150390625,13.079999923706055,460.3566781286636,500.0,249.52142857142888,0.4990428571428578,OVEREXTENDED: -50%,NORMAL,7.116865012249248,10.349401050906444,642509890.0,379906528.4,1.2928571428571434,2.474367737525633,LOW,B,False,44,LOW,CALM,True,8.30075187969925,True,8,2978.25,148.9125,vectorbt_advanced,WIN,2024-01
AMD,2024-01-16,2024-01-18,158.74,168.34214285714287,21,201.64500000000018,TP1,BLUE_SKY_PLUS,1.6736802788844638,WIN,False,True,SCALP,3.533502692051693,1.8568897127780968,Uptrend,112711434.0,17891813033.16,10.82796322025261,18,XLK,0.0,77,True,463.472412109375,13.84000015258789,461.88542446308213,500.0,246.69714285714284,0.4933942857142857,OVEREXTENDED: -50%,NORMAL,10.82796322025261,21.98514415517951,112711434.0,60699045.95,5.737142857142857,3.6141759210928917,LOW,B,False,14,LOW,CALM,True,6.048974963552265,True,2,3333.54,166.67700000000002,vectorbt_advanced,WIN,2024-01
AMD,2024-01-16,2024-01-25,158.74,182.35857142857142,12,283.42285714285697,TP2,BLUE_SKY_PLUS,4.1167828685258945,BIG_WIN,False,True,SWING,3.533502692051693,1.8568897127780968,Uptrend,112711434.0,17891813033.16,10.82796322025261,18,XLK,0.0,77,True,463.472412109375,13.84000015258789,461.88542446308213,500.0,246.69714285714284,0.4933942857142857,OVEREXTENDED: -50%,NORMAL,10.82796322025261,21.98514415517951,112711434.0,60699045.95,5.737142857142857,3.6141759210928917,LOW,B,False,14,LOW,CALM,True,14.878777515794011,True,9,1904.88,95.24400000000001,vectorbt_advanced,WIN,2024-01
AMD,2024-01-16,2024-03-25,158.74,178.63,10,198.89999999999986,PHASE3_SMA50_BREAK,BLUE_SKY_PLUS,3.4668824701195198,BIG_WIN,False,True,LONG,3.533502692051693,1.8568897127780968,Uptrend,112711434.0,17891813033.16,10.82796322025261,18,XLK,0.0,77,True,463.472412109375,13.84000015258789,461.88542446308213,500.0,246.69714285714284,0.4933942857142857,OVEREXTENDED: -50%,NORMAL,10.82796322025261,21.98514415517951,112711434.0,60699045.95,5.737142857142857,3.6141759210928917,LOW,B,False,14,LOW,CALM,True,12.529923144765014,True,69,1587.4,79.37,vectorbt_advanced,WIN,2024-01
NVDA,2024-01-08,2024-04-19,52.25,76.2,40,958.0000000000001,PHASE3_SMA50_BREAK,BLUE_SKY_PLUS,18.524861878453017,BIG_WIN,False,True,LONG,2.3710578275207785,1.6912315055652516,Uptrend,642509890.0,33571141752.5,7.116865012249248,19,XLK,0.0,48,True,463.150390625,13.079999923706055,460.3566781286636,500.0,249.52142857142888,0.4990428571428578,OVEREXTENDED: -50%,NORMAL,7.116865012249248,10.349401050906444,642509890.0,379906528.4,1.2928571428571434,2.474367737525633,LOW,B,False,44,LOW,CALM,True,45.83732057416268,True,102,2090.0,104.5,vectorbt_advanced,WIN,2024-01
AVGO,2024-06-12,2024-06-13,149.55,157.75500000000002,60,492.30000000000075,TP1,BLUE_SKY_PLUS,1.9928868841082636,WIN,False,True,SCALP,2.749674538173307,1.9614190718757303,Uptrend,56697369.0,8479091533.950001,6.757755196008092,19,XLK,1.3226070477812653,97,True,529.9412841796875,12.039999961853027,518.7124701115052,500.0,498.17428571428513,0.9963485714285703,,NORMAL,6.757755196008092,11.265036217866685,56697369.0,28906300.45,4.11714285714286,2.753020967664901,LOW,B,False,85,LOW,CALM,True,5.486459378134411,True,1,8973.0,448.65000000000003,vectorbt_advanced,WIN,2024-06
AVGO,2024-06-12,2024-06-13,149.55,165.96000000000004,36,590.7600000000009,TP2,BLUE_SKY_PLUS,3.9857737682165273,BIG_WIN,False,True,SCALP,2.749674538173307,1.9614190718757303,Uptrend,56697369.0,8479091533.950001,6.757755196008092,19,XLK,1.3226070477812653,97,True,529.9412841796875,12.039999961853027,518.7124701115052,500.0,498.17428571428513,0.9963485714285703,,NORMAL,6.757755196008092,11.265036217866685,56697369.0,28906300.45,4.11714285714286,2.753020967664901,LOW,B,False,85,LOW,CALM,True,10.972918756268822,True,1,5383.8,269.19,vectorbt_advanced,WIN,2024-06
GOOGL,2024-06-21,2024-06-27,179.63,184.5832142857143,39,193.17535714285754,TP1,BLUE_SKY_PLUS,1.5527317510076173,WIN,False,True,SWING,1.7552691842230506,2.3723712968549284,Uptrend,58582743.0,10523218125.09,2.3929499749190617,20,XLK,0.9882599102292884,57,True,534.7445068359375,13.199999809265137,525.8058732357505,500.0,248.81999999999982,0.49763999999999964,RVOL_WARNING: -50%,WARNING,2.3929499749190617,6.043969018607744,58582743.0,24693749.7,3.19,1.7758726270667484,LOW,A,False,32,LOW,CALM,True,2.7574538137918476,True,6,7005.57,350.2785,vectorbt_advanced,WIN,2024-06
AMZN,2024-06-26,2024-06-27,193.61,199.69785714285715,64,389.62285714285645,TP1,BLUE_SKY_PLUS,1.5693242496777728,WIN,False,True,SCALP,2.095963856281253,1.6648256803066666,Uptrend,65103893.0,12604764723.730001,5.157674049773515,20,XLY,0.49276967439468633,57,True,535.7265014648438,12.550000190734863,528.1093412065285,500.0,496.54857142857145,0.9930971428571429,,NORMAL,5.157674049773515,5.7118583359541475,65103893.0,39105531.45,3.8792857142857144,2.003659787348646,LOW,A,False,36,LOW,CALM,True,3.1443918923904404,True,1,12391.04,619.5520000000001,vectorbt_advanced,WIN,2024-06
