ticker,agent_name,entry_score,proximity_score,entry_price,breakout_level,rvol,live_volume,signal_date,source_universe,decision_source,data_quality_status,sector_etf,dollar_vol_M,dist_sma20,waiting_for,primary_reason,live_trigger_status,entry_gate_status,entry_gate_reason,entry_gate_source,gate_rs_percentile,gate_adr_pct,gate_dollar_vol_M,gate_dist_sma20,gate_sector_etf_dist
VSH,Ambos,98.21428571428571,80.0,47.25,42.79,1.7,8278978,2026-05-25,finviz,finviz_live_promoter:none,ok,OTHER,0.0,37.02,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,98.21428571428571,6.04,430.02,37.02,
SMTC,Ambos,94.41964285714286,80.0,156.60499572753906,149.52,2.23,6118063,2026-05-25,finviz,finviz_live_promoter:none,ok,OTHER,0.0,25.98,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,94.41964285714286,7.04,1004.52,25.98,
BBY,Ambos,57.58928571428571,70.0,61.630001068115234,61.6,1.57,4936350,2026-05-25,finviz,finviz_live_promoter:none,ok,OTHER,0.0,5.04,SMA20>SMA50 (-4.42%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,57.58928571428571,3.06,339.09,5.04,
HPQ,Ambos,89.0625,50.0,25.25,22.78,2.88,45908444,2026-05-25,finviz,finviz_live_promoter:none,ok,OTHER,0.0,19.05,SMA100>SMA200 (-13.01%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,89.0625,4.57,1227.96,19.05,
LION,Ambos,90.625,80.0,14.970000267028809,13.03,2.67,10485725,2026-05-25,finviz,finviz_live_promoter:none,ok,OTHER,0.0,18.68,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,90.625,4.19,168.08,18.68,
IBM,Ambos,77.23214285714286,58.19,253.85000610351562,253.63,2.52,17770449,2026-05-25,finviz,finviz_live_promoter:none,ok,OTHER,0.0,11.49,SMA20>SMA50 (-3.75%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,77.23214285714286,2.88,4829.53,11.49,
HPE,Ambos,92.41071428571429,80.0,37.57500076293945,34.69,1.94,28181912,2026-05-25,finviz,finviz_live_promoter:none,ok,OTHER,0.0,20.5,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,92.41071428571429,3.88,1153.97,20.5,
EL,Ambos,80.35714285714286,64.48,88.33000183105469,87.9,2.12,7281939,2026-05-25,finviz,finviz_live_promoter:none,ok,XLP,0.0,8.98,SMA50>SMA100 (-16.11%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,80.35714285714286,4.11,715.91,8.98,0.6
QBTS,Ambos,97.09821428571429,50.0,29.3799991607666,25.83,3.9,133923061,2026-05-25,finviz,finviz_live_promoter:none,ok,XLK,0.0,37.13,SMA50>SMA100 (-10.09%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,97.09821428571429,9.6,4152.27,37.13,5.76
F,Ambos,87.05357142857143,10.0,14.944999694824219,14.94,1.54,97297133,2026-05-25,finviz,finviz_live_promoter:none,ok,OTHER,0.0,18.17,Breakout > 14.94,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,87.05357142857143,4.55,1636.53,18.17,
