ticker,agent_name,entry_score,entry_price,breakout_level,rvol,live_volume,signal_date,source_universe,decision_source,data_quality_status,sector_etf,dollar_vol_M,dist_sma20,waiting_for,primary_reason,live_trigger_status,entry_gate_status,entry_gate_reason,entry_gate_source,gate_rs_percentile,gate_adr_pct,gate_dollar_vol_M,gate_dist_sma20,gate_sector_etf_dist
ARM,finviz_live,96.62162162162164,298.1600036621094,259.44,1.76,20784728,2026-05-22,finviz,finviz_live_promoter,ok,XLK,0.0,34.91,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,96.62162162162164,7.54,6477.94,34.91,5.34
QBTS,finviz_live,94.36936936936937,25.71999931335449,24.78,3.86,104547192,2026-05-22,finviz,finviz_live_promoter,ok,XLK,0.0,23.19,SMA50>SMA100 (-11.07%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,94.36936936936937,9.05,2995.6,23.19,5.34
GTLS,finviz_live,55.85585585585585,208.2700042724609,208.1,2.41,2354178,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,0.33,OK,OK,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,55.85585585585585,0.2,526.79,0.33,
CPRT,finviz_live,60.36036036036037,34.38999938964844,34.27,2.11,14115487,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,3.37,SMA50>SMA100 (-7.80%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,60.36036036036037,2.4,574.22,3.37,
APLD,finviz_live,93.69369369369367,48.0099983215332,47.79,1.82,39298345,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,21.52,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,93.69369369369367,9.67,2061.37,21.52,
GH,finviz_live,95.27027027027027,118.01000213623048,115.08,2.28,3700347,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,24.55,SMA50>SMA100 (-7.10%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,95.27027027027027,6.26,582.27,24.55,
FSLR,finviz_live,91.8918918918919,248.7400054931641,240.84,1.63,3883216,2026-05-22,finviz,finviz_live_promoter,ok,XLK,0.0,13.71,SMA50>SMA100 (-6.17%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,91.8918918918919,5.2,1068.57,13.71,5.34
IBM,finviz_live,80.4054054054054,253.0599975585937,234.23,3.59,23960575,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,11.69,SMA20>SMA50 (-4.19%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,80.4054054054054,2.83,6424.45,11.69,
GFS,finviz_live,93.91891891891892,81.25,76.98,2.25,9985685,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,17.33,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,93.91891891891892,5.52,885.33,17.33,
ENPH,finviz_live,98.87387387387388,62.36000061035156,53.89,1.93,16614415,2026-05-22,finviz,finviz_live_promoter,ok,XLK,0.0,54.01,SMA50>SMA100 (-2.96%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,98.87387387387388,10.11,1139.36,54.01,5.34
RGTI,finviz_live,93.01801801801804,22.040000915527344,21.02,4.41,125390206,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,22.14,SMA50>SMA100 (-8.94%),MA stack roto,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,93.01801801801804,8.88,3188.54,22.14,
IONQ,finviz_live,95.72072072072072,60.43000030517578,59.15,1.92,5022970,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,18.63,Breakout > 59.15,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,95.72072072072072,9.31,3678.5,18.63,
MT,finviz_live,76.8018018018018,65.0,65.0,1.97,304394,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,6.35,Breakout > 65.00,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,76.8018018018018,2.99,268.33,6.35,
VSAT,finviz_live,84.23423423423422,76.04000091552734,75.72,1.59,243336,2026-05-22,finviz,finviz_live_promoter,ok,OTHER,0.0,4.91,Breakout > 75.72,Falta breakout,PASS,BLOCKED,screener_fail:qullamaggie_momentum=FAIL,canonical_signal_engine,84.23423423423422,5.5,198.92,4.91,
