ticker,entry_date,final_exit_date,entry_price,exit_price,total_shares,total_pnl,exit_phases,entry_signal,hold_days,r_multiple,return_pct,outcome_category,is_winner,was_stopped_out,hit_tp1,hit_tp2,had_runner
GME,2022-11-03,2022-11-03,28.170000076293945,26.19809913635254,80.0,-157.7520751953125,STOP,MOMENTUM,0,0.0,-7.000003317716817,SMALL_WIN,False,True,False,False,False
GNRC,2019-10-14,2019-10-14,86.1500015258789,82.3421401977539,68.0,-258.9345703125,STOP,MOMENTUM,0,0.0,-4.420036286338478,SMALL_WIN,False,True,False,False,False
GNSS,2020-11-06,2020-11-06,46.54999923706055,44.21685409545898,118.0,-275.3111267089844,STOP,MOMENTUM,0,0.0,-5.012127131774561,SMALL_WIN,False,True,False,False,False
GNTX,2020-11-06,2020-11-06,46.54999923706055,44.21685409545898,118.0,-275.3111267089844,STOP,MOMENTUM,0,0.0,-5.012127131774561,SMALL_WIN,False,True,False,False,False
GO,2020-11-06,2020-11-06,46.54999923706055,44.21685409545898,118.0,-275.3111267089844,STOP,MOMENTUM,0,0.0,-5.012127131774561,SMALL_WIN,False,True,False,False,False
GOCO,2020-11-06,2020-11-06,46.54999923706055,44.21685409545898,118.0,-275.3111267089844,STOP,MOMENTUM,0,0.0,-5.012127131774561,SMALL_WIN,False,True,False,False,False
GOOGL,2020-05-26,2020-05-26,66.60574340820312,70.97097778320312,37.0,161.513671875,TP1,MOMENTUM,0,0.0,6.5538407825388525,SMALL_WIN,True,False,True,False,False
GOOGL,2020-07-07,2020-07-07,66.60574340820312,75.33621215820312,22.0,192.0703125,TP2,MOMENTUM,0,0.0,13.107681565077705,SMALL_WIN,True,False,False,True,False
GOOGL,2020-07-28,2020-07-28,66.60574340820312,74.61870574951172,16.0,128.2073974609375,RUNNER,MOMENTUM,0,0.0,12.030437513774107,SMALL_WIN,True,False,False,False,True
GPRE,2021-08-05,2021-08-05,36.0,33.439998626708984,84.0,-215.0401153564453,STOP,MOMENTUM,0,0.0,-7.111114925808376,SMALL_WIN,False,True,False,False,False
GPRO,2021-08-05,2021-08-05,36.0,33.439998626708984,84.0,-215.0401153564453,STOP,MOMENTUM,0,0.0,-7.111114925808376,SMALL_WIN,False,True,False,False,False
GRCE,2021-08-05,2021-08-05,36.0,33.439998626708984,84.0,-215.0401153564453,STOP,MOMENTUM,0,0.0,-7.111114925808376,SMALL_WIN,False,True,False,False,False
GRDX,2021-08-05,2021-08-05,36.0,33.439998626708984,84.0,-215.0401153564453,STOP,MOMENTUM,0,0.0,-7.111114925808376,SMALL_WIN,False,True,False,False,False
GS,2022-08-05,2022-08-05,290.8507995605469,307.9813842773437,7.0,119.91409301757812,TP1,MOMENTUM,0,0.0,5.889818677713751,SMALL_WIN,True,False,True,False,False
GS,2022-08-11,2022-08-11,290.8507995605469,325.11199951171875,4.0,137.0447998046875,TP2,MOMENTUM,0,0.0,11.779647847947437,SMALL_WIN,True,False,False,True,False
GS,2022-08-23,2022-08-23,290.8507995605469,311.0882568359375,4.0,80.9498291015625,RUNNER,MOMENTUM,0,0.0,6.958020162216457,SMALL_WIN,True,False,False,False,True
GTM,2021-02-02,2021-02-02,50.220001220703125,46.7046012878418,76.0,-267.17039489746094,STOP,MOMENTUM,0,0.0,-6.999999696161117,SMALL_WIN,False,True,False,False,False
GTX,2021-02-02,2021-02-02,50.220001220703125,46.7046012878418,76.0,-267.17039489746094,STOP,MOMENTUM,0,0.0,-6.999999696161117,SMALL_WIN,False,True,False,False,False
GURE,2021-02-02,2021-02-02,50.220001220703125,46.7046012878418,76.0,-267.17039489746094,STOP,MOMENTUM,0,0.0,-6.999999696161117,SMALL_WIN,False,True,False,False,False
GWAV,2021-02-02,2021-02-02,50.220001220703125,46.7046012878418,76.0,-267.17039489746094,STOP,MOMENTUM,0,0.0,-6.999999696161117,SMALL_WIN,False,True,False,False,False
GWW,2018-08-09,2018-08-09,306.3394470214844,322.72918701171875,11.0,180.28713989257807,TP1,MOMENTUM,0,0.0,5.350189193585936,SMALL_WIN,True,False,True,False,False
GWW,2018-10-10,2018-10-10,306.3394470214844,286.9355163574219,11.0,-213.4432373046875,STOP,MOMENTUM,0,0.0,-6.334127339043494,SMALL_WIN,False,True,False,False,False
GWW,2022-11-10,2022-11-10,558.7776489257812,592.035400390625,4.0,133.031005859375,TP1,MOMENTUM,0,0.0,5.951875764676686,SMALL_WIN,True,False,True,False,False
GWW,2023-01-04,2023-01-04,558.7776489257812,532.9641723632812,4.0,-103.25390625,STOP,MOMENTUM,0,0.0,-4.619632981405925,SMALL_WIN,False,True,False,False,False
HAFC,2021-06-23,2021-06-23,4490.0,15.57637882232666,1.0,-4474.423621177673,STOP,MOMENTUM,0,0.0,-99.6530873313513,SMALL_WIN,False,True,False,False,False
HAIN,2021-06-23,2021-06-23,4490.0,39.86000061035156,1.0,-4450.139999389648,STOP,MOMENTUM,0,0.0,-99.11224942961356,SMALL_WIN,False,True,False,False,False
HAL,2022-01-11,2022-01-11,23.428916931152344,25.09648323059082,93.0,155.08366584777832,TP1,MOMENTUM,0,0.0,7.117556071152359,SMALL_WIN,True,False,True,False,False
HAL,2022-01-14,2022-01-14,23.428916931152344,26.47844886779785,55.0,167.72425651550293,TP2,MOMENTUM,0,0.0,13.016102902267267,SMALL_WIN,True,False,False,True,False
HAL,2022-02-18,2022-02-18,23.428916931152344,29.721460342407227,38.0,239.11664962768555,RUNNER,MOMENTUM,0,0.0,26.85802092237554,SMALL_WIN,True,False,False,False,True
HALO,2021-06-23,2021-06-23,4490.0,43.130001068115234,1.0,-4446.869998931885,STOP,MOMENTUM,0,0.0,-99.03942091162327,SMALL_WIN,False,True,False,False,False
HALO,2023-07-21,2023-07-21,40.27000045776367,42.94321441650391,45.0,120.29462814331056,TP1,MOMENTUM,0,0.0,6.638226790049277,SMALL_WIN,True,False,True,False,False
HALO,2023-09-11,2023-09-11,40.27000045776367,37.5,46.0,-127.4200210571289,STOP,MOMENTUM,0,0.0,-6.878570713374904,SMALL_WIN,False,True,False,False,False
HALO,2024-02-23,2024-02-23,38.36000061035156,40.69169616699219,50.0,116.58477783203124,TP1,MOMENTUM,0,0.0,6.078455473255153,SMALL_WIN,True,False,True,False,False
HALO,2024-05-08,2024-05-08,38.36000061035156,43.02339553833008,30.0,139.90184783935547,TP2,MOMENTUM,0,0.0,12.156920890976432,SMALL_WIN,True,False,False,True,False
HALO,2024-05-28,2024-05-28,38.36000061035156,43.08000183105469,20.0,94.4000244140625,RUNNER,MOMENTUM,0,0.0,12.304486823781275,SMALL_WIN,True,False,False,False,True
HAR,2021-07-13,2021-07-13,4490.0,4272.5,1.0,-217.5,STOP,MOMENTUM,0,0.0,-4.844097995545657,SMALL_WIN,False,True,False,False,False
HAS,2020-12-02,2020-12-02,78.7722396850586,75.43892669677734,82.0,-273.3316650390625,STOP,MOMENTUM,0,0.0,-4.231583361864863,SMALL_WIN,False,True,False,False,False
HBI,2021-08-11,2021-08-11,18.088701248168945,19.216768264770508,135.0,152.28904724121094,TP1,MOMENTUM,0,0.0,6.23630741159901,SMALL_WIN,True,False,True,False,False
HBI,2021-08-19,2021-08-19,18.088701248168945,17.307510375976562,135.0,-105.46076774597168,STOP,MOMENTUM,0,0.0,-4.3186675564751225,SMALL_WIN,False,True,False,False,False
HBI,2024-06-13,2024-06-13,5.300000190734863,4.940000057220459,542.0,-195.12007236480716,STOP,MOMENTUM,0,0.0,-6.79245510488348,SMALL_WIN,False,True,False,False,False
HD,2022-12-01,2022-12-01,287.0736389160156,303.4898986816406,8.0,131.330078125,TP1,MOMENTUM,0,0.0,5.718483880168333,SMALL_WIN,True,False,True,False,False
HD,2022-12-13,2022-12-13,287.0736389160156,319.9061889648437,5.0,164.16275024414062,TP2,MOMENTUM,0,0.0,11.436978390911538,SMALL_WIN,True,False,False,True,False
HD,2022-12-19,2022-12-19,287.0736389160156,294.02691650390625,4.0,27.8131103515625,RUNNER,MOMENTUM,0,0.0,2.422123331890056,SMALL_WIN,True,False,False,False,True
HPE,2021-01-29,2021-01-29,11.27462387084961,10.644903182983398,571.0,-359.57051277160645,STOP,MOMENTUM,0,0.0,-5.585292202024986,SMALL_WIN,False,True,False,False,False
HPQ,2020-09-04,2020-09-04,16.457887649536133,15.793413162231444,413.0,-274.42796325683594,STOP,MOMENTUM,0,0.0,-4.03742267206093,SMALL_WIN,False,True,False,False,False
HSIC,2019-06-07,2019-06-07,66.70999908447266,70.37026977539062,45.0,164.7121810913086,TP1,MOMENTUM,0,0.0,5.486839665944365,SMALL_WIN,True,False,True,False,False
HSIC,2019-08-06,2019-08-06,66.70999908447266,61.7599983215332,46.0,-227.70003509521484,STOP,MOMENTUM,0,0.0,-7.420178130524977,SMALL_WIN,False,True,False,False,False
HSY,2024-12-11,2024-12-11,187.5017547607422,171.38038635253906,23.0,-370.7914733886719,STOP,MOMENTUM,0,0.0,-8.59798268489512,SMALL_WIN,False,True,False,False,False
HUBB,2018-12-04,2018-12-04,97.36700439453124,92.7342300415039,70.0,-324.29420471191406,STOP,MOMENTUM,0,0.0,-4.758053697796161,SMALL_WIN,False,True,False,False,False
HUM,2020-11-06,2020-11-06,431.1069641113281,409.7976684570313,12.0,-255.7115478515625,STOP,MOMENTUM,0,0.0,-4.942925405583105,SMALL_WIN,False,True,False,False,False
HWM,2022-10-31,2022-10-31,35.7892951965332,34.09517288208008,131.0,-221.93002319335935,STOP,MOMENTUM,0,0.0,-4.73360066229309,SMALL_WIN,False,True,False,False,False
IBKR,2018-05-09,2018-05-09,17.717525482177734,18.87011337280273,164.0,189.0244140625,TP1,MOMENTUM,0,0.0,6.5053547787155805,SMALL_WIN,True,False,True,False,False
IBKR,2018-06-04,2018-06-04,17.717525482177734,16.74458122253418,165.0,-160.53580284118652,STOP,MOMENTUM,0,0.0,-5.491422945163819,SMALL_WIN,False,True,False,False,False
IBKR,2023-01-20,2023-01-20,19.906082153320312,19.0972900390625,270.0,-218.37387084960935,STOP,MOMENTUM,0,0.0,-4.063040170478281,SMALL_WIN,False,True,False,False,False
ICLR,2018-12-06,2018-12-06,147.1699981689453,139.6539306640625,36.0,-270.57843017578125,STOP,MOMENTUM,0,0.0,-5.10706502574979,SMALL_WIN,False,True,False,False,False
ICMB,2018-12-06,2018-12-06,147.1699981689453,139.6539306640625,36.0,-270.57843017578125,STOP,MOMENTUM,0,0.0,-5.10706502574979,SMALL_WIN,False,True,False,False,False
ICUI,2018-12-06,2018-12-06,147.1699981689453,139.6539306640625,36.0,-270.57843017578125,STOP,MOMENTUM,0,0.0,-5.10706502574979,SMALL_WIN,False,True,False,False,False
IDCC,2018-12-06,2018-12-06,147.1699981689453,139.6539306640625,36.0,-270.57843017578125,STOP,MOMENTUM,0,0.0,-5.10706502574979,SMALL_WIN,False,True,False,False,False
IGIC,2021-02-01,2021-02-01,14.859999656677246,13.819799423217772,280.0,-291.25606536865234,STOP,MOMENTUM,0,0.0,-7.000001732786483,SMALL_WIN,False,True,False,False,False
IGOV,2021-02-01,2021-02-01,14.859999656677246,13.819799423217772,280.0,-291.25606536865234,STOP,MOMENTUM,0,0.0,-7.000001732786483,SMALL_WIN,False,True,False,False,False
IGSB,2021-02-01,2021-02-01,14.859999656677246,13.819799423217772,280.0,-291.25606536865234,STOP,MOMENTUM,0,0.0,-7.000001732786483,SMALL_WIN,False,True,False,False,False
IHRT,2021-02-01,2021-02-01,14.859999656677246,13.819799423217772,280.0,-291.25606536865234,STOP,MOMENTUM,0,0.0,-7.000001732786483,SMALL_WIN,False,True,False,False,False
