ticker,entry_date,final_exit_date,entry_price,exit_price,total_shares,total_pnl,exit_phases,entry_signal,context_adr,context_rvol,context_trend,dist_sma20_pct,consolidation_days,sector,sector_strength,vix_regime,spy_above_ema20,base_risk_dollars,adjusted_risk_dollars,risk_reduction_factor,rvol_classification,volatility_regime,is_vcp_pattern,hold_days,r_multiple,return_pct,outcome_category,is_winner,was_stopped_out,hit_tp1,hit_tp2,had_runner
IONS,2022-09-09,2022-09-13,46.84000015258789,46.84000015258789,744,0.0,STOP_BE,UNKNOWN,3.260195780774132,2.0352405464264502,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2387.1202660203526,1.0,UNKNOWN,UNKNOWN,False,4,0.0,0.0,SMALL_WIN,False,True,False,False,False
IRDM,2018-10-01,2018-10-05,21.34266662597656,20.488959960937496,844,-720.528425292969,STOP,UNKNOWN,4.294765781212021,2.4249783448761404,,0,15.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1536.8390388194389,1.0,UNKNOWN,UNKNOWN,False,4,-0.46883792452751644,-4.000000000000002,SMALL_LOSS,False,True,False,False,False
IRTC,2024-01-08,2024-02-13,112.91000366210938,118.78440856933594,855,2511.3080978393555,"STOP_BE,TP1",UNKNOWN,4.840375811675246,1.6560408244416462,,0,13.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2575.403391338413,1.0,UNKNOWN,UNKNOWN,False,36,0.9751125226771765,2.6013660068624684,SMALL_WIN,True,True,True,False,False
JBL,2021-12-21,2022-01-19,66.13741302490234,66.13741302490234,458,0.0,STOP_BE,UNKNOWN,3.238985795151202,1.6258529320078972,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2407.8031149179046,1.0,UNKNOWN,UNKNOWN,False,29,0.0,0.0,SMALL_WIN,False,True,False,False,False
JKHY,2020-05-05,2020-06-11,164.3612823486328,171.96830738300275,95,355.59823374951554,"STOP_BE,TP1",UNKNOWN,3.597614015277657,1.7562625019877638,,0,17.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1538.1824816332787,1.0,UNKNOWN,UNKNOWN,False,37,0.23118078511200627,2.277385068514352,SMALL_WIN,True,True,True,False,False
JYNT,2019-07-22,2019-07-29,20.68000030517578,19.852800292968748,1274,-1053.8528155517602,STOP,UNKNOWN,4.245033350738836,2.3831154251368765,,0,17.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1621.758900743302,1.0,UNKNOWN,UNKNOWN,False,7,-0.6498208920381118,-4.000000000000009,BIG_LOSS,False,True,False,False,False
KIDS,2024-05-06,2024-05-08,33.599998474121094,33.599998474121094,1361,0.0,STOP_BE,UNKNOWN,5.180197517570373,2.047045203388939,,0,12.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2814.612010901332,1.0,UNKNOWN,UNKNOWN,False,2,0.0,0.0,SMALL_WIN,False,True,False,False,False
KKR,2024-06-10,2024-07-01,108.03030395507812,103.709091796875,198,-855.6000073242186,STOP,UNKNOWN,3.193075807478181,4.513576499918703,,0,16.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2863.95381649919,1.0,UNKNOWN,UNKNOWN,False,21,-0.29874783678253514,-3.9999999999999996,SMALL_LOSS,False,True,False,False,False
KRNT,2018-08-28,2018-09-19,20.25,21.341018190697813,842,458.4999084472659,"STOP_BE,TP1",UNKNOWN,3.696362136948832,5.038336035873721,,0,17.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1514.801164747446,1.0,UNKNOWN,UNKNOWN,False,22,0.3026799286384949,2.689070164788516,SMALL_WIN,True,True,True,False,False
KRNT,2020-02-03,2020-02-25,43.54999923706055,41.807999267578126,1023,-1782.065968780517,STOP,UNKNOWN,3.367319578209412,1.7933250044618954,,0,17.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1783.76581702871,1.0,UNKNOWN,UNKNOWN,False,22,-0.9990470451715324,-3.9999999999999987,BIG_LOSS,False,True,False,False,False
KRNT,2021-09-10,2021-12-14,141.22000122070312,150.89642482021597,194,931.3370186941956,"STOP_BE,TP1",UNKNOWN,3.1651540347627245,2.132478903622866,,0,19.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2393.0512898319853,1.0,UNKNOWN,UNKNOWN,False,95,0.3891838936555281,3.3994520892448845,SMALL_WIN,True,True,True,False,False
KTOS,2023-05-04,2023-05-08,13.979999542236328,13.420799560546875,1798,-1005.4415670776364,STOP,UNKNOWN,3.1269915708997638,2.9429095391275597,,0,19.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2412.984782986321,1.0,UNKNOWN,UNKNOWN,False,4,-0.4166796136332436,-3.9999999999999987,SMALL_LOSS,False,True,False,False,False
KTOS,2024-05-08,2024-06-14,19.84000015258789,20.860122606393716,4430,2258.8060569763184,"STOP_BE,TP1",UNKNOWN,3.762428850411185,1.8880967465135488,,0,17.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2837.044921887278,1.0,UNKNOWN,UNKNOWN,False,37,0.796182689794598,2.5700025026441984,SMALL_WIN,True,True,True,False,False
LAKE,2020-12-10,2021-01-14,22.06038475036621,25.558431691987344,1571,3555.5854889258735,"RUNNER,TP1,TP2",UNKNOWN,4.238218009247437,2.3603694616827826,,0,16.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2169.8480019832477,1.0,UNKNOWN,UNKNOWN,False,35,1.6386334368472157,10.25939751356229,WIN,True,False,True,True,True
