#,symbol,phase,exit_date,days_to_exit,exit_price,shares,exit_pct,pnl,return_pct,reason
1024,QCOM,TP2,2017-11-21,19,53.37520352728657,57,30,303.9220835269217,20.85286457832848,TP2: Take Profit 2 (+3R)
103,SOHU,PHASE3_SMA20_BREAK,2017-08-18,92,53.40999984741211,16,30,147.3599853515625,20.83710164139861,UNKNOWN
925,ALNY,TP2,2017-08-18,74,42.46893010820661,46,30,197.6110717228481,20.82198652804952,TP2: Take Profit 2 (+3R)
70,FIZZ,PHASE3_SMA20_BREAK,2018-09-07,101,46.43585968017578,26,30,207.5265045166016,20.75668041994726,UNKNOWN
22,APPS,PHASE3_SMA20_BREAK,2018-06-22,43,35.54999923706055,35,30,212.7999973297119,20.63115054417687,UNKNOWN
21,APPN,PHASE3_SMA20_BREAK,2018-06-22,43,35.54999923706055,35,30,212.7999973297119,20.63115054417687,UNKNOWN
98,QCOM,PHASE3_SMA20_BREAK,2017-12-01,29,53.187347412109375,24,30,216.52569580078125,20.427518197473663,UNKNOWN
6,ADTN,PHASE3_SMA20_BREAK,2019-03-06,42,13.027871131896973,61,30,133.74500846862793,20.235111625785198,UNKNOWN
42,CARG,PHASE3_SMA20_BREAK,2018-08-29,34,49.20000076293945,17,30,140.7600440979004,20.2346113501978,UNKNOWN
939,APPS,TP2,2018-06-06,27,35.28821441105434,85,30,290.91075488499246,19.74284096797821,TP2: Take Profit 2 (+3R)
938,APPN,TP2,2018-06-06,27,35.28821441105434,85,30,290.91075488499246,19.74284096797821,TP2: Take Profit 2 (+3R)
977,DECK,TP2,2017-05-26,64,11.069046565464564,270,30,294.6855436052594,19.665368275292582,TP2: Take Profit 2 (+3R)
55,DECK,PHASE3_SMA20_BREAK,2017-06-20,89,11.063332557678224,108,30,195.83991622924805,19.603595218142942,UNKNOWN
1013,MYGN,TP2,2017-08-09,55,27.95071452004569,107,30,287.3250532150269,19.49856883029958,TP2: Take Profit 2 (+3R)
81,LOW,PHASE3_SMA20_BREAK,2018-10-02,132,98.46210479736328,4,30,64.1871337890625,19.47063141220963,UNKNOWN
927,ALOT,TP2,2018-09-04,27,57.514286858694895,15,30,83.46856662205289,19.22530028511156,TP2: Take Profit 2 (+3R)
971,CRVL,TP2,2019-12-18,62,39.004286357334685,76,30,281.89281054905496,19.133428093218235,TP2: Take Profit 2 (+3R)
968,COTY,TP2,2019-06-10,38,13.027427419495444,148,30,179.19107873591156,18.526354836003232,TP2: Take Profit 2 (+3R)
77,JBL,PHASE3_SMA20_BREAK,2019-11-29,66,37.75157165527344,10,30,58.870697021484375,18.475323137982024,UNKNOWN
54,CYBR,PHASE3_SMA20_BREAK,2018-06-22,66,63.45000076293945,20,30,197.3999786376953,18.421050008557792,UNKNOWN
996,FSLR,TP2,2018-01-11,36,74.85071127755302,26,30,174.1606439862933,18.35975536199213,TP2: Take Profit 2 (+3R)
989,ERIC,TP2,2018-05-08,19,6.374058083757998,302,30,177.82004286025307,18.3412205397338,TP2: Take Profit 2 (+3R)
715,AAPL,TP1,2017-02-24,11,39.98999793188913,147,40,443.1099826948986,17.89504743694552,TP1: Take Profit 1 (+1.5R)
1,CLLS,PHASE3_EMA10_BREAK_DEF,2018-03-01,78,31.56999969482422,12,30,57.24000549316406,17.79850967744599,UNKNOWN
1016,NFLX,TP2,2018-01-23,21,23.68342958177839,124,30,264.655763081142,17.786985469749016,TP2: Take Profit 2 (+3R)
39,BRKR,PHASE3_SMA20_BREAK,2017-07-19,79,28.06839370727539,43,30,182.02891540527344,17.760443132431586,UNKNOWN
1019,OLLI,TP2,2018-01-12,52,55.31071308680943,53,30,257.6321056910923,17.682368269807295,TP2: Take Profit 2 (+3R)
1021,PETS,TP2,2018-01-10,36,37.57765605162303,78,30,259.72539569033324,17.68226603020388,TP2: Take Profit 2 (+3R)
20,APLE,PHASE3_SMA20_BREAK,2019-08-15,58,26.920000076293945,44,30,177.32003021240234,17.605944928369016,UNKNOWN
47,CMG,PHASE3_SMA20_BREAK,2019-04-17,69,13.764200210571287,26,30,53.26360511779785,17.4860885864747,UNKNOWN
38,BLDR,PHASE3_SMA20_BREAK,2019-12-12,58,25.299999237060547,47,30,176.71992111206055,17.455887473165184,UNKNOWN
1009,MELI,TP2,2017-05-05,32,257.8931798833839,7,30,153.19485088119177,17.440654682731456,TP2: Take Profit 2 (+3R)
937,APLE,TP2,2019-08-14,57,26.86625010626657,109,30,258.4562965801784,17.371126354928222,TP2: Take Profit 2 (+3R)
999,GGAL,TP2,2017-09-22,39,37.74752299895048,23,30,72.50296286575076,17.336296229539368,TP2: Take Profit 2 (+3R)
955,BLDR,TP2,2019-11-19,35,25.25428649357387,116,30,256.2857048852102,17.243664903324316,TP2: Take Profit 2 (+3R)
964,CHEF,TP2,2018-09-17,10,35.91428593226841,53,30,163.19287572588237,17.175485739828446,TP2: Take Profit 2 (+3R)
