Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
ADBE,2018-10-16,2018-10-18,2,2,$-20.64,-1.05R,-3.96%,STOP,BIG_LOSS
ADSK,2018-11-21,2018-12-17,26,4,$-31.08,-1.26R,-5.75%,STOP,BIG_LOSS
AMAT,2018-11-16,2018-11-20,4,19,$-8.14,-0.30R,-1.31%,"STOP_BE,TP1",SMALL_LOSS
AMD,2018-03-07,2018-03-09,2,81,$-43.74,-1.05R,-4.41%,STOP,BIG_LOSS
BKR,2019-11-18,2019-11-20,2,79,$-5.26,-0.07R,-0.36%,"STOP_BE,TP1",SMALL_LOSS
CPRT,2018-02-20,2018-03-22,30,80,$69.13,+2.49R,+7.38%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
DE,2018-02-16,2018-02-21,5,7,$-45.67,-1.19R,-4.34%,STOP,BIG_LOSS
DLTR,2019-08-29,2019-10-07,39,13,$141.65,+3.43R,+11.16%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",BIG_WIN
EA,2019-02-05,2019-02-06,1,18,$-215.44,-3.95R,-13.31%,STOP,BIG_LOSS
ILMN,2018-04-26,2018-05-29,33,5,$115.34,+2.98R,+9.77%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
KLAC,2019-08-06,2019-10-02,57,5,$62.88,+2.58R,+10.07%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
LRCX,2018-01-25,2018-02-01,7,79,$-74.40,-1.00R,-5.30%,STOP,BIG_LOSS
LRCX,2018-04-18,2018-04-19,1,53,$-63.44,-1.51R,-6.57%,STOP,BIG_LOSS
MNST,2018-11-08,2018-12-13,35,24,$12.21,+0.58R,+1.88%,"STOP_BE,TP1",SMALL_WIN
MU,2017-06-09,2017-06-12,3,43,$-41.84,-1.00R,-3.26%,STOP,BIG_LOSS
NVDA,2017-02-10,2017-02-13,3,482,$-62.20,-1.48R,-4.61%,STOP,BIG_LOSS
ON,2018-05-31,2018-06-19,19,28,$-20.78,-1.00R,-2.95%,STOP,BIG_LOSS
SSRM,2018-03-16,2018-03-20,4,144,$1.37,+0.03R,+0.11%,"STOP_BE,TP1",SMALL_WIN
TTWO,2018-02-01,2018-02-05,4,12,$-87.72,-1.21R,-5.86%,STOP,BIG_LOSS
TTWO,2018-05-03,2018-06-25,53,7,$81.71,+3.13R,+11.11%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",BIG_WIN
TTWO,2018-08-03,2018-10-10,68,4,$15.30,+0.56R,+3.10%,"STOP_BE,TP1",SMALL_WIN
TTWO,2019-01-14,2019-01-23,9,9,$-46.53,-1.15R,-4.92%,STOP,BIG_LOSS
WDC,2017-06-23,2017-06-27,4,21,$-42.11,-1.00R,-3.16%,STOP,BIG_LOSS
WDC,2018-09-21,2018-09-25,4,24,$-15.43,-0.28R,-1.52%,"STOP_BE,TP1",SMALL_LOSS
WDC,2019-01-24,2019-03-06,41,26,$103.46,+2.53R,+13.87%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
WDC,2019-03-21,2019-03-22,1,33,$-79.95,-1.09R,-6.55%,STOP,BIG_LOSS
WDC,2019-08-01,2019-08-02,1,17,$-27.46,-1.00R,-3.98%,STOP,BIG_LOSS
