Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
AAOI,2017-02-13,2017-03-14,29,143,$551.48,+2.76R,+11.37%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
AAON,2017-02-13,2017-03-14,29,143,$551.48,+2.76R,+11.37%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
AAP,2017-02-13,2017-03-14,29,143,$551.48,+2.76R,+11.37%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
AAVM,2017-01-04,2017-03-09,64,61,$-129.54,-0.65R,-7.00%,STOP,BIG_LOSS
AAVM,2018-03-13,2018-04-20,38,182,$44.68,+0.22R,+1.04%,"STOP_BE,TP1",SMALL_WIN
AAVM,2018-05-07,2018-07-11,65,126,$94.73,+0.47R,+3.01%,"PHASE3_SMA20_BREAK,TP1,TP2",SMALL_WIN
AAVM,2018-10-29,2018-12-17,49,177,$152.93,+0.76R,+3.15%,"PHASE3_SMA20_BREAK,TP1,TP2",SMALL_WIN
AAVM,2019-01-28,2019-04-09,71,160,$141.53,+0.71R,+2.90%,"PHASE3_SMA20_BREAK,TP1,TP2",SMALL_WIN
AAVM,2019-06-14,2019-11-07,146,36,$7.22,+0.04R,+0.57%,"STOP_BE,TP1",SMALL_WIN
AAVM,2022-03-29,2022-04-07,9,91,$-198.99,-0.99R,-7.00%,STOP,BIG_LOSS
AAXJ,2017-01-04,2017-03-09,64,61,$-129.54,-0.65R,-7.00%,STOP,BIG_LOSS
AAXJ,2018-03-13,2018-04-20,38,182,$44.68,+0.22R,+1.04%,"STOP_BE,TP1",SMALL_WIN
AAXJ,2018-05-07,2018-07-11,65,126,$94.73,+0.47R,+3.01%,"PHASE3_SMA20_BREAK,TP1,TP2",SMALL_WIN
AAXJ,2018-10-29,2018-12-17,49,177,$152.93,+0.76R,+3.15%,"PHASE3_SMA20_BREAK,TP1,TP2",SMALL_WIN
AAXJ,2019-01-28,2019-04-09,71,160,$141.53,+0.71R,+2.90%,"PHASE3_SMA20_BREAK,TP1,TP2",SMALL_WIN
AAXJ,2019-06-14,2019-11-07,146,36,$7.22,+0.04R,+0.57%,"STOP_BE,TP1",SMALL_WIN
AAXJ,2022-03-29,2022-04-07,9,91,$-198.99,-0.99R,-7.00%,STOP,BIG_LOSS
AB,2017-01-04,2017-03-09,64,61,$-129.54,-0.65R,-7.00%,STOP,BIG_LOSS
AB,2018-03-13,2018-04-20,38,182,$44.68,+0.22R,+1.04%,"STOP_BE,TP1",SMALL_WIN
AB,2018-05-07,2018-07-11,65,126,$94.73,+0.47R,+3.01%,"PHASE3_SMA20_BREAK,TP1,TP2",SMALL_WIN
