Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
AAP,2018-07-18,2018-07-18,0,87,$-504.60,+0.00R,-11.89%,STOP,SMALL_WIN
AAPB,2018-07-18,2018-07-18,0,87,$-504.60,+0.00R,-11.89%,STOP,SMALL_WIN
AAPL,2018-07-18,2018-07-18,0,87,$-504.60,+0.00R,-11.89%,STOP,SMALL_WIN
AAUC,2024-08-05,2024-08-05,0,149,$-273.45,+0.00R,-7.58%,STOP,SMALL_WIN
AAUM,2024-08-05,2024-08-05,0,149,$-273.45,+0.00R,-7.58%,STOP,SMALL_WIN
ABCB,2023-11-08,2023-11-08,0,565,$-293.80,+0.00R,-11.06%,STOP,SMALL_WIN
ABCL,2023-11-08,2023-11-08,0,565,$-293.80,+0.00R,-11.06%,STOP,SMALL_WIN
ABCS,2023-11-08,2023-11-08,0,565,$-293.80,+0.00R,-11.06%,STOP,SMALL_WIN
ABEO,2023-11-08,2023-11-08,0,565,$-293.80,+0.00R,-11.06%,STOP,SMALL_WIN
ABEV,2021-11-03,2021-11-03,0,862,$138.08,+0.00R,+6.83%,TP1,SMALL_WIN
ABEV,2021-12-01,2021-12-01,0,863,$-130.75,+0.00R,-6.46%,STOP,SMALL_WIN
ABFL,2021-11-03,2021-11-03,0,862,$138.08,+0.00R,+6.83%,TP1,SMALL_WIN
ABFL,2021-12-01,2021-12-01,0,863,$-130.75,+0.00R,-6.46%,STOP,SMALL_WIN
ABG,2021-11-03,2021-11-03,0,862,$138.08,+0.00R,+6.83%,TP1,SMALL_WIN
ABG,2021-12-01,2021-12-01,0,863,$-130.75,+0.00R,-6.46%,STOP,SMALL_WIN
ABVC,2019-06-12,2019-06-12,0,140,$-322.91,+0.00R,-6.16%,STOP,SMALL_WIN
ACA,2019-06-12,2019-06-12,0,140,$-322.91,+0.00R,-6.16%,STOP,SMALL_WIN
ACAD,2019-06-12,2019-06-12,0,140,$-322.91,+0.00R,-6.16%,STOP,SMALL_WIN
ACB,2019-06-12,2019-06-12,0,140,$-322.91,+0.00R,-6.16%,STOP,SMALL_WIN
ACCL,2019-12-10,2019-12-10,0,74,$-312.28,+0.00R,-8.36%,STOP,SMALL_WIN
