#,symbol,phase,exit_date,days_to_exit,exit_price,shares,exit_pct,pnl,return_pct,reason
1531,XOM,TP2,2022-01-18,13,62.72295343061076,340,30,981.8184068270166,8.310871200471297,TP2: Take Profit 2 (+3R)
1530,XOM,TP2,2021-10-26,29,55.99873523668964,643,30,2015.1762893921127,10.310793926714794,TP2: Take Profit 2 (+3R)
1529,WFC,TP2,2022-02-08,35,53.204915024694685,231,30,766.1279667062064,11.650098172565436,TP2: Take Profit 2 (+3R)
1528,WFC,TP2,2021-05-11,27,40.77765636363899,476,30,922.3491122821316,8.620662865685997,TP2: Take Profit 2 (+3R)
1527,WFC,TP2,2017-02-14,92,44.91742927107506,198,30,412.7720424756264,8.445490375630984,TP2: Take Profit 2 (+3R)
1526,VRTX,TP2,2018-08-30,62,185.21715000697543,54,30,488.2285853794647,8.976902030131201,TP2: Take Profit 2 (+3R)
1525,VRNS,TP2,2017-05-01,46,10.574999400547572,2597,30,1363.2493632180342,9.020614520493734,TP2: Take Profit 2 (+3R)
1524,UPS,TP2,2020-07-29,28,98.6824088218806,217,30,871.126639511857,7.345760048951355,TP2: Take Profit 2 (+3R)
1523,UNIT,TP2,2021-08-06,21,15.798144631945046,5403,30,6939.247090726424,15.67747161326298,TP2: Take Profit 2 (+3R)
1522,UNH,TP2,2019-11-15,31,239.156873285718,44,30,614.3491216884338,10.963218558422724,TP2: Take Profit 2 (+3R)
1521,TSLA,TP2,2021-10-22,25,296.8188214983259,247,30,4888.756626674111,12.52229229422494,TP2: Take Profit 2 (+3R)
1520,TSLA,TP2,2020-01-07,22,30.36333342960903,404,30,1193.0602387019571,19.384015041578262,TP2: Take Profit 2 (+3R)
1519,TSLA,TP2,2017-05-01,34,21.037621361868723,1465,30,2233.4981264386865,13.737358095502673,TP2: Take Profit 2 (+3R)
1518,TSLA,TP2,2017-02-06,33,17.050285952431814,818,30,939.63348865509,12.672051904880169,TP2: Take Profit 2 (+3R)
1517,TSLA,TP2,2015-05-28,36,16.44361925125122,571,30,620.4860544204712,12.401705297019218,TP2: Take Profit 2 (+3R)
1516,THRM,TP2,2018-08-16,51,45.84285926818848,486,30,1845.772047042847,16.05787156503412,TP2: Take Profit 2 (+3R)
1515,TGT,TP2,2020-12-28,40,152.9303663900429,76,30,346.8249836456808,5.307158086729364,TP2: Take Profit 2 (+3R)
1514,TGT,TP2,2018-01-10,42,55.92320584921251,354,30,1393.8685200379346,13.323345018492146,TP2: Take Profit 2 (+3R)
1513,TECH,TP2,2020-05-11,7,67.87869372457621,209,30,1268.0107535053758,17.57019997669808,TP2: Take Profit 2 (+3R)
1512,TAP,TP2,2015-12-04,52,74.28028903581796,95,30,387.4113959667432,10.269940302220167,TP2: Take Profit 2 (+3R)
1511,SWKS,TP2,2019-11-01,22,82.14428234672114,363,30,1946.6547892580188,12.25957017776492,TP2: Take Profit 2 (+3R)
1510,SPSC,TP2,2021-09-08,23,136.8885884966169,313,30,3081.495364052908,13.685395177587733,TP2: Take Profit 2 (+3R)
1509,SNT,TP2,2021-09-28,43,4.049656646237028,6658,30,2212.993719895977,15.850874803565986,TP2: Take Profit 2 (+3R)
1508,SLB,TP2,2022-01-13,10,32.25914849108639,993,30,1944.1618237235032,11.270482726448758,TP2: Take Profit 2 (+3R)
1507,SLB,TP2,2021-06-03,29,32.78689299527482,763,30,2470.171219827531,19.740146922924467,TP2: Take Profit 2 (+3R)
1506,SLB,TP2,2018-01-10,20,59.97079074331295,533,30,1923.501426651742,11.178480930264044,TP2: Take Profit 2 (+3R)
1505,SFM,TP2,2017-05-19,64,23.87642819540841,387,30,695.1715360369,14.350714344242329,TP2: Take Profit 2 (+3R)
1504,SCHW,TP2,2022-01-11,26,88.90324033743245,358,30,2029.568929647068,11.941644084316302,TP2: Take Profit 2 (+3R)
1503,SCHW,TP2,2020-11-09,39,41.3261486233304,624,30,2287.770921185139,17.373440682557888,TP2: Take Profit 2 (+3R)
1502,SCHW,TP2,2016-11-09,96,29.91422913541133,169,30,341.75120708389284,12.753881207706325,TP2: Take Profit 2 (+3R)
1501,SCHW,TP2,2015-12-01,34,29.905968330032017,4,30,5.341992659819894,9.807229946474612,TP2: Take Profit 2 (+3R)
1500,SBUX,TP2,2021-04-16,49,105.61819037622271,243,30,1258.8173683462408,8.955844249513685,TP2: Take Profit 2 (+3R)
1499,SBUX,TP2,2020-08-25,27,73.13607832815785,251,30,698.6675933398885,6.801839908947524,TP2: Take Profit 2 (+3R)
1498,SBUX,TP2,2019-03-05,39,61.62508851960494,111,30,262.25050171775393,6.892250555370909,TP2: Take Profit 2 (+3R)
