Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
AAL,2023-12-04,2024-01-03,30,7151,"$2,600.02",+1.02R,+2.72%,"STOP_BE,TP1",WIN
AAPU,2022-10-28,2022-11-02,5,255,"$-1,562.35",-0.67R,-4.00%,STOP,BIG_LOSS
ABEV,2020-09-17,2020-09-18,1,10061,$-791.03,-0.39R,-4.00%,STOP,SMALL_LOSS
ABEV,2021-10-28,2021-11-29,32,16587,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ABSI,2021-02-22,2021-02-25,3,3032,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ABT,2024-10-28,2024-10-31,3,11649,"$-1,998.97",-0.65R,-4.00%,STOP,BIG_LOSS
ABVC,2019-06-07,2019-06-12,5,687,"$-1,029.69",-0.65R,-4.00%,STOP,BIG_LOSS
ACEI,2022-12-06,2022-12-15,9,4380,$-839.91,-0.36R,-4.00%,STOP,SMALL_LOSS
ACFN,2022-03-18,2022-04-06,19,307,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ACGL,2022-03-18,2022-04-06,19,273,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ACGLO,2022-03-18,2022-04-06,19,242,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
ACHC,2018-10-09,2018-10-10,1,304,$-470.47,-0.31R,-4.00%,STOP,SMALL_LOSS
ACHC,2022-11-30,2022-12-06,6,291,"$-1,036.66",-0.44R,-4.00%,STOP,SMALL_LOSS
AD,2024-01-26,2024-01-29,3,1609,"$-1,732.53",-0.65R,-4.00%,STOP,BIG_LOSS
AEON,2022-11-10,2022-12-13,33,3659,"$5,064.67",+2.20R,+12.86%,"RUNNER,TP1,TP2",WIN
AERO,2021-09-23,2021-11-26,64,1539,"$2,556.83",+1.08R,+2.90%,"STOP_BE,TP1",WIN
AGIO,2023-06-28,2023-06-29,1,2181,"$-2,546.54",-1.00R,-4.00%,STOP,BIG_LOSS
AGL,2023-03-02,2023-03-10,8,756,$-739.97,-0.30R,-4.00%,STOP,SMALL_LOSS
AGL,2023-08-04,2023-08-09,5,2142,$0.00,+0.00R,+0.00%,STOP_BE,SMALL_WIN
AGRH,2020-05-14,2020-06-05,22,1033,"$1,870.28",+1.07R,+7.80%,"RUNNER,TP1,TP2",WIN
