,symbol,entry_date,final_exit_date,entry_price,total_pnl,total_shares,exit_phases,hold_days,r_multiple
105,VTRS,2025-11-03T00:00:00.000,2025-12-12T00:00:00.000,10.41,674.52,540,TP1,39,0.67
58,IWM,2025-10-15T00:00:00.000,2025-11-20T00:00:00.000,249.49,-1057.45,50,STOP,36,-1.06
46,FTNT,2025-11-03T00:00:00.000,2025-11-06T00:00:00.000,87.52,-994.23,142,STOP,3,-0.99
88,SO,2025-07-10T00:00:00.000,2025-11-03T00:00:00.000,91.77,0,136,STOP,116,0
78,PAYX,2024-04-08T00:00:00.000,2025-10-29T00:00:00.000,116.18,604.35,107,"STOP,TP1",569,0.6
104,VICI,2025-07-10T00:00:00.000,2025-10-28T00:00:00.000,32.64,-1054.77,382,STOP,110,-1.05
43,EW,2025-07-10T00:00:00.000,2025-10-13T00:00:00.000,78.8,-996.03,158,STOP,95,-1
112,XEL,2025-02-14T00:00:00.000,2025-09-24T00:00:00.000,66.44,914.87,84,TP1,222,0.91
73,MDT,2025-05-12T00:00:00.000,2025-09-16T00:00:00.000,84.46,668.94,66,TP1,127,0.67
52,HRB,2025-07-10T00:00:00.000,2025-08-12T00:00:00.000,55.74,-1157.05,224,STOP,33,-1.16
84,PSA,2025-05-12T00:00:00.000,2025-07-31T00:00:00.000,295.77,-1241.27,42,STOP,80,-1.24
3,ACGL,2025-05-08T00:00:00.000,2025-07-10T00:00:00.000,94.56,-998.55,132,STOP,63,-1
99,TJX,2025-05-12T00:00:00.000,2025-06-26T00:00:00.000,129.91,-997.67,96,STOP,45,-1
107,WCN,2024-11-08T00:00:00.000,2025-04-07T00:00:00.000,183.13,0,68,STOP,150,0
48,GDDY,2024-10-31T00:00:00.000,2025-04-04T00:00:00.000,166.8,576.61,74,"STOP,TP1",155,0.58
16,AVB,2024-06-21T00:00:00.000,2025-04-04T00:00:00.000,192.2,484.01,65,"STOP,TP1",287,0.48
19,BK,2025-02-14T00:00:00.000,2025-03-11T00:00:00.000,86.03,-997.94,145,STOP,25,-1
27,COST,2024-05-03T00:00:00.000,2025-03-07T00:00:00.000,737,2973.46,16,"RUNNER,TP1,TP2",308,2.97
42,EVRG,2024-11-08T00:00:00.000,2025-02-26T00:00:00.000,59.5,671.2,94,TP1,110,0.67
91,SRE,2024-05-03T00:00:00.000,2025-02-25T00:00:00.000,69.04,643.94,181,"STOP,TP1",298,0.64
