ticker,rs,breakout_lvl,dist_sma20_pct,dist_sma20,rvol,waiting_desc,sector_etf,excluded_by_xlv,allowed_shadow_candidate,shadow_status,source_snapshot
AA,2.9787234042553195,75.7,0.0,0.0,1.0,Breakout > 75.70,XLB,False,True,shadow_allowed,paper_finviz
AAOI,93.40425531914893,191.87,0.0,0.0,1.0,Breakout > 191.87,UNKNOWN,False,True,shadow_allowed,paper_finviz
AAPL,68.93617021276596,287.22,0.0,0.0,0.37,Breakout > 287.22,XLK,False,True,shadow_allowed,paper_finviz
ABNB,71.27659574468085,147.25,0.0,0.0,1.0,Breakout > 147.25,XLY,False,True,shadow_allowed,paper_finviz
ACMR,83.61702127659575,57.27,0.0,0.0,1.0,Breakout > 57.27,UNKNOWN,False,True,shadow_allowed,paper_finviz
ADBE,55.53191489361702,258.75,0.0,0.0,1.0,Breakout > 258.75,XLK,False,True,shadow_allowed,paper_finviz
ADEA,64.25531914893618,34.34,0.0,0.0,3.15,Breakout > 34.34,UNKNOWN,False,True,shadow_allowed,paper_finviz
ADM,55.319148936170215,77.37,0.0,0.0,1.0,Breakout > 77.37,UNKNOWN,False,True,shadow_allowed,paper_finviz
ADMA,72.3404255319149,11.42,0.0,0.0,1.0,Breakout > 11.42,UNKNOWN,False,True,shadow_allowed,paper_finviz
ADPT,55.74468085106383,15.61,0.0,0.0,1.0,Breakout > 15.61,UNKNOWN,False,True,shadow_allowed,paper_finviz
AEHR,98.08510638297872,102.48,0.0,0.0,1.0,Breakout > 102.48,UNKNOWN,False,True,shadow_allowed,paper_finviz
AEM,3.1914893617021276,224.35,0.0,0.0,1.0,Breakout > 224.35,UNKNOWN,False,True,shadow_allowed,paper_finviz
AEO,17.4468085106383,20.5,0.0,0.0,1.0,Breakout > 20.50,UNKNOWN,False,True,shadow_allowed,paper_finviz
AESI,98.29787234042553,17.85,0.0,0.0,2.16,SMA50>SMA100 (-100.00%),UNKNOWN,False,True,shadow_allowed,paper_finviz
AFRM,91.91489361702128,68.88,0.0,0.0,1.0,Breakout > 68.88,UNKNOWN,False,True,shadow_allowed,paper_finviz
AG,8.085106382978724,23.3,0.0,0.0,1.0,Breakout > 23.30,UNKNOWN,False,True,shadow_allowed,paper_finviz
AGI,1.9148936170212765,50.4,0.0,0.0,1.0,Breakout > 50.40,UNKNOWN,False,True,shadow_allowed,paper_finviz
