ticker,agent_name,entry_score,proximity_score,entry_price,breakout_level,rvol,live_volume,signal_date,source_universe,decision_source,data_quality_status,sector_etf,dollar_vol_M,dist_sma20,waiting_for,primary_reason,live_trigger_status,entry_gate_status,entry_gate_reason,entry_gate_source,gate_rs_percentile,gate_adr_pct,gate_dollar_vol_M,gate_dist_sma20,gate_sector_etf_dist
UMC,Ambos,98.60788863109047,80.0,22.34140014648437,21.52,1.56,1093453,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,36.45,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,98.60788863109047,4.88,609.01,36.45,
IREN,Ambos,95.1276102088167,50.0,65.91000366210938,65.61,1.53,4082945,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,24.6,SMA100>SMA200 (-3.91%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,95.1276102088167,9.55,5765.27,24.6,
MGM,Ambos,61.7169373549884,90.73,41.89599990844727,40.8,1.92,35551,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,10.48,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,61.7169373549884,3.61,421.7,10.48,
ASTS,Ambos,97.91183294663574,50.0,128.18499755859375,127.1,1.51,1573082,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,55.12,SMA20>SMA50 (-2.49%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,97.91183294663574,10.08,4694.62,55.12,
COHU,Ambos,84.45475638051045,80.0,54.650001525878906,52.43,1.56,46386,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,15.14,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,84.45475638051045,5.7,129.67,15.14,
APP,Ambos,85.38283062645012,50.0,574.9949951171875,538.82,1.63,164143,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,17.7,SMA50>SMA100 (-4.73%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,85.38283062645012,6.66,4694.08,17.7,
BBY,Ambos,69.37354988399072,64.09,69.40499877929688,63.31,1.83,1507490,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,9.13,SMA20>SMA50 (-3.79%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,69.37354988399072,2.96,448.11,9.13,
DLTR,Ambos,33.874709976798144,30.0,107.86000061035156,99.5,1.62,1409297,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,2.88,Breakout > 99.50,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,33.874709976798144,4.04,598.59,2.88,
UAL,Ambos,84.91879350348029,50.0,112.3000030517578,106.67,1.78,207715,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,16.76,SMA50>SMA100 (-6.42%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,84.91879350348029,3.83,1194.44,16.76,
VSAT,Ambos,92.80742459396753,80.0,87.04000091552734,83.25,1.59,68198,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,21.22,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,92.80742459396753,5.97,264.03,21.22,
SNOW,Ambos,83.9907192575406,14.79,232.3099060058593,181.27,2.11,4905406,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,12.85,Breakout > 181.27,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,83.9907192575406,4.6,2980.21,12.85,
DAL,Ambos,83.52668213457076,82.93,80.71499633789062,79.59,1.56,278215,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,13.6,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,83.52668213457076,3.14,978.83,13.6,
JHX,Ambos,57.540603248259856,58.82,22.459999084472656,22.4,1.51,309760,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,11.24,SMA50>SMA100 (-6.69%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,57.540603248259856,4.58,259.92,11.24,
VIK,Ambos,79.35034802784223,89.71,92.36000061035156,92.0,1.52,90975,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,10.88,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,79.35034802784223,3.67,553.85,10.88,
LINE,Ambos,81.20649651972158,58.37,43.09000015258789,42.24,1.54,20976,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,11.42,SMA50>SMA100 (-0.46%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,81.20649651972158,3.65,72.53,11.42,
KMX,Ambos,69.83758700696056,63.28,42.130001068115234,42.09,1.57,19710,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,9.46,SMA20>SMA50 (-4.52%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,69.83758700696056,4.22,181.38,9.46,
BTDR,Ambos,90.2552204176334,50.0,15.270000457763672,15.27,2.15,1167931,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,16.05,SMA100>SMA200 (-14.63%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,90.2552204176334,8.59,284.59,16.05,
HPQ,Ambos,86.77494199535964,10.0,25.63999938964844,25.57,1.82,5205163,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,17.34,Breakout > 25.57,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,86.77494199535964,4.88,891.21,17.34,
SMTC,Ambos,96.98375870069606,40.0,168.41000366210938,168.29,2.14,1904561,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,20.23,Breakout > 168.29,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,96.98375870069606,7.43,1135.97,20.23,
NTNX,Ambos,74.94199535962876,30.0,49.40999984741211,49.32,1.7,3399124,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,3.57,Breakout > 49.32,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,74.94199535962876,3.84,311.47,3.57,
AXTA,Ambos,62.87703016241299,69.15,30.280000686645508,30.27,4.59,2346369,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,7.11,SMA50>SMA100 (-7.66%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,62.87703016241299,3.45,341.06,7.11,
PL,Ambos,92.34338747099768,40.0,51.17499923706055,51.13,1.57,6586629,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,23.57,Breakout > 51.13,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,92.34338747099768,9.6,777.25,23.57,
LUNR,Ambos,96.2877030162413,40.0,45.6150016784668,45.52,1.91,16949529,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,29.43,Breakout > 45.52,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,96.2877030162413,13.74,1197.28,29.43,
NTAP,Ambos,88.16705336426914,50.0,142.43499755859375,142.42,2.14,2863297,2026-05-28,finviz,finviz_live_promoter:none,ok,OTHER,0.0,19.1,SMA100>SMA200 (-3.94%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,88.16705336426914,3.97,860.11,19.1,
