ticker,status,eligible,reason,price,breakout_level,live_rvol
HST,ok,True,eligible,,,
FE,ok,True,eligible,,,
UMC,ok,True,eligible,,,
FDX,ok,True,eligible,,,
MDLZ,ok,True,eligible,,,
EW,ok,True,eligible,,,
EXC,ok,True,eligible,,,
RGTI,ok,True,eligible,,,
CPB,ok,True,eligible,,,
KVUE,ok,True,eligible,,,
GM,ok,True,eligible,,,
RCL,ok,True,eligible,,,
VST,ok,True,eligible,,,
NVTS,ok,True,eligible,,,
GXO,ok,True,eligible,,,
NOW,ok,True,eligible,,,
VSAT,ok,True,eligible,,,
EVRG,ok,True,eligible,,,
ELF,ok,True,eligible,,,
JHX,ok,True,eligible,,,
WEC,ok,True,eligible,,,
EXEL,ok,True,eligible,,,
MRVL,ok,True,eligible,,,
WERN,ok,True,eligible,,,
PK,ok,True,eligible,,,
NKE,ok,True,eligible,,,
IRT,ok,True,eligible,,,
LQDA,ok,True,eligible,,,
LUNR,ok,True,eligible,,,
COF,ok,True,eligible,,,
HPQ,ok,True,eligible,,,
GS,ok,True,eligible,,,
HD,ok,True,eligible,,,
IREN,ok,True,eligible,,,
PL,ok,True,eligible,,,
PSO,ok,True,eligible,,,
MXL,ok,True,eligible,,,
ASX,ok,True,eligible,,,
SWKS,ok,True,eligible,,,
INOD,ok,True,eligible,,,
JOBY,ok,True,eligible,,,
FITB,ok,True,eligible,,,
XPEV,ok,True,eligible,,,
GFS,ok,True,eligible,,,
LION,ok,True,eligible,,,
RF,ok,True,eligible,,,
TIGO,ok,True,eligible,,,
ECL,ok,True,eligible,,,
LEVI,ok,True,eligible,,,
CELH,ok,True,eligible,,,
NCLH,ok,True,eligible,,,
WULF,ok,True,eligible,,,
QGEN,ok,True,eligible,,,
VIK,ok,True,eligible,,,
CCI,ok,True,eligible,,,
GPK,ok,True,eligible,,,
WBD,ok,True,eligible,,,
DKNG,warn,True,rvol_1.0_default,,,
ACMR,ok,True,eligible,,,
SOLV,ok,True,eligible,,,
STLD,ok,True,eligible,,,
CIFR,ok,True,eligible,,,
MTSI,ok,True,eligible,,,
RPRX,ok,True,eligible,,,
CSCO,ok,True,eligible,,,
ESTC,ok,True,eligible,,,
TWST,ok,True,eligible,,,
FND,ok,True,eligible,,,
MCHP,ok,True,eligible,,,
GSAT,ok,True,eligible,,,
USAR,ok,True,eligible,,,
BCE,ok,True,eligible,,,
VSCO,ok,True,eligible,,,
NTAP,ok,True,eligible,,,
CDNS,ok,True,eligible,,,
HLT,ok,True,eligible,,,
CPRX,ok,True,eligible,,,
META,ok,True,eligible,,,
W,ok,True,eligible,,,
QCOM,ok,True,eligible,,,
TJX,ok,True,eligible,,,
SOFI,ok,True,eligible,,,
IRDM,ok,True,eligible,,,
BANC,ok,True,eligible,,,
MLYS,ok,True,eligible,,,
SN,ok,True,eligible,,,
DAL,ok,True,eligible,,,
LNT,ok,True,eligible,,,
WMG,ok,True,eligible,,,
ES,ok,True,eligible,,,
DRH,ok,True,eligible,,,
FBIN,ok,True,eligible,,,
APP,ok,True,eligible,,,
AFRM,ok,True,eligible,,,
NWSA,ok,True,eligible,,,
NOK,ok,True,eligible,,,
UPS,ok,True,eligible,,,
CHKP,ok,True,eligible,,,
ADI,ok,True,eligible,,,
RBRK,ok,True,eligible,,,
TXN,ok,True,eligible,,,
HRL,ok,True,eligible,,,
PANW,ok,True,eligible,,,
LINE,ok,True,eligible,,,
AMKR,ok,True,eligible,,,
AEE,ok,True,eligible,,,
ROST,ok,True,eligible,,,
MU,ok,True,eligible,,,
SNPS,ok,True,eligible,,,
COLD,ok,True,eligible,,,
WSM,ok,True,eligible,,,
HR,ok,True,eligible,,,
CRWD,ok,True,eligible,,,
HOOD,ok,True,eligible,,,
CNP,ok,True,eligible,,,
EQR,ok,True,eligible,,,
CALY,ok,True,eligible,,,
SMTC,ok,True,eligible,,,
KNX,ok,True,eligible,,,
BAX,ok,True,eligible,,,
HPE,ok,True,eligible,,,
RKLB,warn,True,rvol_1.0_default,,,
DFTX,ok,True,eligible,,,
TXRH,ok,True,eligible,,,
STM,ok,True,eligible,,,
CPT,ok,True,eligible,,,
DELL,ok,True,eligible,,,
ETN,ok,True,eligible,,,
CGNX,ok,True,eligible,,,
RYAAY,ok,True,eligible,,,
TVTX,ok,True,eligible,,,
RMBS,ok,True,eligible,,,
PFE,ok,True,eligible,,,
SMCI,ok,True,eligible,,,
ZETA,ok,True,eligible,,,
NTRS,ok,True,eligible,,,
TSM,ok,True,eligible,,,
CRSP,ok,True,eligible,,,
FTNT,ok,True,eligible,,,
ELAN,ok,True,eligible,,,
CORZ,ok,True,eligible,,,
NTRA,ok,True,eligible,,,
BTDR,ok,True,eligible,,,
HIW,ok,True,eligible,,,
SLB,ok,True,eligible,,,
SW,ok,True,eligible,,,
NTNX,ok,True,eligible,,,
MAR,ok,True,eligible,,,
WING,ok,True,eligible,,,
PSN,ok,True,eligible,,,
BRZE,ok,True,eligible,,,
UAL,ok,True,eligible,,,
TTMI,ok,True,eligible,,,
WPC,warn,True,rvol_1.0_default,,,
BDX,ok,True,eligible,,,
