day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,entry_score,stop_loss,tp1_target,tp2_target,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct,rs_percentile,pattern_confidence,pattern_type,pattern_bonus,stop_distance,stop_distance_pct,risk_per_share,r_multiple,outcome,is_big_win,is_big_loss
17.0,14.0,0.0,57.16829299926758,190.0,-1230.6671905517578,15.0,1000.0,0.7514509558677673,2.656637191772461,4969300.0,0.5,58.4014778137207,74.13350677490234,81.99952697753906,2019-01-28,2019-01-24,ABBV,STOP,1000.0,1000.0,1000.0,4969300.0,-10.176991123921837,63.64548873901367,316273527.19078064,MOMENTUM,-2.1219875812530518,,0.0,NONE,0.0,5.2631578947368425,8.269490892463853,5.2631578947368425,-1.2306671905517579,LOSS,False,True
36.0,4.0,0.0,137.60572814941406,86.0,0.0,15.0,1000.0,0.9487376809120178,3.198870897293091,1207800.0,0.5,137.60572814941406,160.75228881835938,178.11221313476562,2019-02-25,2019-01-24,AAP,STOP,1000.0,1000.0,1000.0,1207800.0,0.0,137.60572814941406,166200198.4588623,MOMENTUM,-2.6833484172821045,,0.0,NONE,0.0,11.627906976744185,8.450162019504344,11.627906976744185,0.0,BE,False,False
59.0,77.0,1.0,158.4260711669922,37.0,835.8157501220703,15.0,1000.0,0.9169284105300903,2.2616922855377197,1989400.0,0.5,135.83645629882812,157.3198699951172,173.43243408203125,2019-03-28,2019-01-24,ACN,TP1,1000.0,1000.0,1000.0,1989400.0,16.63000897083837,135.83645629882812,270233046.1608887,MOMENTUM,3.8981869220733643,,0.0,NONE,0.0,27.027027027027028,19.89674036222645,27.027027027027028,0.8358157501220703,WIN,False,False
92.0,0.0,0.0,64.42735290527344,183.0,-765.6856155395508,15.0,1000.0,1.0013724565505981,2.4911038875579834,2050300.0,0.5,68.6114273071289,79.5086441040039,87.68156433105469,2019-05-15,2019-01-24,A,STOP,1000.0,1000.0,1000.0,2050300.0,-6.09821798798337,68.6114273071289,140674009.4078064,MOMENTUM,5.216791152954102,,0.0,NONE,0.0,5.46448087431694,7.964388861721241,5.46448087431694,-0.7656856155395508,LOSS,False,False
97.0,112.0,0.0,32.65781784057617,351.0,-997.7652740478516,15.0,1000.0,0.8111433386802673,1.9504883289337158,2554700.0,0.5,32.65781784057617,41.18572998046875,45.449684143066406,2019-05-22,2019-01-24,ADM,STOP,1000.0,1000.0,1000.0,2554700.0,-8.007323265455156,35.50045394897461,90693009.70344543,MOMENTUM,2.841270923614502,,0.0,NONE,0.0,2.849002849002849,8.0252575167004,2.849002849002849,-0.9977652740478515,LOSS,False,False
101.0,357.0,0.0,296.140380859375,37.0,-979.3753662109375,94.0,1000.0,0.7305527925491333,3.629114866256714,865800.0,0.9908083081245422,296.140380859375,375.5491943359375,415.2535705566406,2019-05-29,2019-05-17,ALGN,STOP,1000.0,1000.0,1000.0,865800.0,-8.204831125528365,322.6099853515625,279315725.3173828,MOMENTUM,1.5864087343215942,37.84764207980653,0.0,NONE,0.0,27.027027027027028,8.377616395715238,27.027027027027028,-0.9793753662109375,LOSS,False,False
103.0,4021.0,0.0,62.67226028442383,183.0,-998.7519035339355,94.0,1000.0,1.055762529373169,1.99844229221344,2979800.0,0.9824120998382568,62.67226028442383,79.04524230957031,87.23173522949219,2019-05-31,2019-05-17,TSN,STOP,1000.0,1000.0,1000.0,2979800.0,-8.010666382976341,68.12992095947266,203013538.47503662,MOMENTUM,7.083278179168701,94.24425634824668,0.0,NONE,0.0,5.46448087431694,8.020676961547494,5.46448087431694,-0.9987519035339355,LOSS,False,False
110.0,15.0,1.0,72.5617904663086,80.0,791.4108276367188,15.0,1000.0,1.3899255990982056,2.547060489654541,10196300.0,0.5,62.66915512084961,72.5617904663086,79.98126983642578,2019-06-11,2019-01-24,ABC,TP1,1000.0,1000.0,1000.0,10196300.0,15.78549340003432,62.66915512084961,638993506.3587189,MOMENTUM,1.8325616121292114,,0.0,NONE,0.0,12.5,19.946016466785483,12.5,0.7914108276367188,WIN,False,False
110.0,29.0,1.0,72.5617904663086,80.0,791.4108276367188,15.0,1000.0,1.3899255990982056,2.547060489654541,10196300.0,0.5,62.66915512084961,72.5617904663086,79.98126983642578,2019-06-11,2019-01-24,ABMD,TP1,1000.0,1000.0,1000.0,10196300.0,15.78549340003432,62.66915512084961,638993506.3587189,MOMENTUM,1.8325616121292114,,0.0,NONE,0.0,12.5,19.946016466785483,12.5,0.7914108276367188,WIN,False,False
110.0,41.0,1.0,72.56180572509766,80.0,791.4111328125,15.0,1000.0,1.3899255990982056,2.547060489654541,10196300.0,0.5,62.669166564941406,72.56180572509766,79.98128509521484,2019-06-11,2019-01-24,ABT,TP1,1000.0,1000.0,1000.0,10196300.0,15.78549660446645,62.669166564941406,638993623.0461121,MOMENTUM,1.8325790166854858,,0.0,NONE,0.0,12.5,19.94601282441945,12.5,0.7914111328125,WIN,False,False
