ticker,entry_date,final_exit_date,entry_price,exit_price,total_shares,total_pnl,exit_phases,entry_signal,context_adr,context_rvol,context_trend,dist_sma20_pct,consolidation_days,sector,sector_strength,vix_regime,spy_above_ema20,base_risk_dollars,adjusted_risk_dollars,risk_reduction_factor,rvol_classification,volatility_regime,is_vcp_pattern,hold_days,r_multiple,return_pct,outcome_category,is_winner,was_stopped_out,hit_tp1,hit_tp2,had_runner
ANIK,2016-04-14,2016-04-27,47.68,44.64,19,-57.759999999999984,STOP,BLUE_SKY_PLUS,2.899042718344508,3.283779074460677,Uptrend,6.196267094302634,19,UNKNOWN,0.0,CALM,True,150.0,37.19249999999992,0.2479499999999995,DANGER,LOW,False,13,-1.5530012771392112,-6.375838926174496,BIG_LOSS,False,True,False,False,False
AON,2013-02-20,2013-03-18,59.02,60.11003774680604,123,134.07464285714258,"STOP_BE,TP1",BLUE_SKY_PLUS,1.520067116128141,1.544312758319138,Uptrend,3.4485780640638155,20,UNKNOWN,0.0,CALM,True,150.0,112.10571428571446,0.9964952380952397,NORMAL,LOW,False,26,1.1959661798812302,1.8468955384717676,WIN,True,True,True,False,False
APD,2013-06-04,2013-06-05,95.39,94.1,30,-38.70000000000019,STOP,BLUE_SKY_PLUS,1.1984627393511225,1.321049635832029,Uptrend,2.1853240492769217,20,XLB,0.1836263186121283,CALM,False,150.0,36.53571428571425,0.4871428571428566,NORMAL,LOW,True,1,-1.0592375366568978,-1.35234301289444,BIG_LOSS,False,True,False,False,False
APD,2013-06-14,2013-06-20,96.35,94.28,35,-72.44999999999976,STOP,BLUE_SKY_PLUS,1.1003889842655918,1.6553687892630369,Uptrend,1.6280529288603574,20,XLB,0.4438479772685304,CALM,False,150.0,37.32500000000009,0.4976666666666678,NORMAL,LOW,False,6,-1.941058271935689,-2.1484172288531327,BIG_LOSS,False,True,False,False,False
APD,2013-09-18,2013-09-23,109.37,107.42,65,-126.75000000000018,STOP,BLUE_SKY_PLUS,1.5899279938510442,1.2856057207839329,Uptrend,4.784624817965816,20,XLB,0.5369559207939121,CALM,True,150.0,111.3357142857145,0.9896507936507956,NORMAL,LOW,True,5,-1.138448707256046,-1.7829386486239396,BIG_LOSS,False,True,False,False,False
APD,2016-07-26,2016-08-01,149.85,147.15321428571428,55,-148.32321428571404,STOP,BLUE_SKY_PLUS,1.1716483597595937,1.2424952032234142,Uptrend,3.245853974465866,20,XLB,0.1724885856594771,CALM,True,150.0,148.32321428571404,0.988821428571427,NORMAL,LOW,True,6,-1.0,-1.799656799656797,BIG_LOSS,False,True,False,False,False
APD,2017-09-18,2018-02-02,150.9499969482422,157.44883622305736,68,441.9210706874308,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BLUE_SKY_PLUS,0.0,2531000.0,Downtrend,2.9567228098319203,20,XLB,0.6289487118701167,CALM,True,150.0,148.77427237374525,0.991828482491635,NORMAL,LOW,False,137,2.97041325517125,4.305292750051187,WIN,True,False,True,True,False
APH,2016-10-20,2016-10-25,16.61,16.21035714285714,187,-74.73321428571447,STOP,BLUE_SKY_PLUS,1.4736328693068663,2.3498868320634494,Uptrend,3.071672354948789,20,UNKNOWN,0.0,CALM,False,150.0,74.73321428571447,0.4982214285714297,WARNING,LOW,False,5,-1.0,-2.4060376709383395,BIG_LOSS,False,True,False,False,False
APO,2017-04-12,2017-04-21,25.799999237060547,25.01000022888184,68,-53.71993255615234,STOP,BLUE_SKY_PLUS,0.0,2365800.0,Downtrend,6.580738510471014,20,UNKNOWN,0.0,CALM,False,150.0,37.30285862513958,0.4973714483351943,NORMAL,LOW,False,9,-1.4401023014345815,-3.062011750155064,BIG_LOSS,False,True,False,False,False
ARE,2015-01-06,2015-01-09,91.33,90.03142857142858,28,-36.359999999999786,STOP,BLUE_SKY_PLUS,1.4189918112319688,3.085910361723257,Uptrend,2.3706775766406936,20,UNKNOWN,0.0,CAUTION,False,150.0,36.359999999999786,0.4847999999999972,DANGER,LOW,False,3,-1.0,-1.4218454271010852,BIG_LOSS,False,True,False,False,False
