step,equity,run_date
0,75040.87831,2026-04-24
1,56310.13815,2026-04-24
2,42263.66711,2026-04-24
3,31702.347400000006,2026-04-24
4,23795.739480000007,2026-04-24
5,17875.365610000008,2026-04-24
6,99991.79110999999,2026-04-24
