order_id,ticker,agent,combo,signal_date,entry_score,entry_price_signal,stop_price,tp1_price,tp2_price,size_requested,size_filled,fill_price,entry_fee,status,filled_at
ord_AMAT_2026-04-24,AMAT,combo_ideal_setup,combo_ideal_setup,2026-03-13,1.0,341.53,314.2076,375.683,423.4972,73,73,341.8715,2.5,filled,2026-04-24 09:30:00
ord_D_2026-04-24,D,combo_pullback_entry,combo_pullback_entry,2026-03-13,0.994,63.21,58.1532,69.531,78.3804,296,296,63.2732,1.87,filled,2026-04-24 09:30:00
ord_AHR_2026-04-24,AHR,combo_pullback_entry,combo_pullback_entry,2026-03-13,0.982,52.16,47.9872,57.376,64.6784,269,269,52.2122,1.4,filled,2026-04-24 09:30:00
ord_CLMT_2026-04-24,CLMT,combo_pullback_entry,combo_pullback_entry,2026-03-13,0.964,28.59,26.3028,31.449,35.4516,369,369,28.6186,1.06,filled,2026-04-24 09:30:00
ord_BTU_2026-04-24,BTU,combo_pullback_entry,combo_pullback_entry,2026-03-13,0.959,34.64,31.8688,38.104,42.9536,228,228,34.6746,0.79,filled,2026-04-24 09:30:00
ord_AA_2026-04-24,AA,combo_pullback_entry,combo_pullback_entry,2026-03-13,0.907,63.59,58.5028,69.949,78.8516,93,93,63.6536,0.59,filled,2026-04-24 09:30:00
