ticker,agent_name,entry_score,proximity_score,entry_price,breakout_level,rvol,live_volume,signal_date,source_universe,decision_source,data_quality_status,sector_etf,dollar_vol_M,dist_sma20,waiting_for,primary_reason,live_trigger_status,entry_gate_status,entry_gate_reason,entry_gate_source,gate_rs_percentile,gate_adr_pct,gate_dollar_vol_M,gate_dist_sma20,gate_sector_etf_dist
PL,Ambos,91.1504424778761,80.0,48.42499923706055,45.78,1.8,2030464,2026-05-27,finviz,finviz_live_promoter:none,ok,OTHER,0.0,20.57,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,91.1504424778761,9.42,816.06,20.57,
VSH,Ambos,98.89380530973452,80.0,49.72999954223633,47.94,1.72,377229,2026-05-27,finviz,finviz_live_promoter:none,ok,OTHER,0.0,41.43,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,98.89380530973452,6.04,495.15,41.43,
SAN,Ambos,60.84070796460177,30.0,12.699999809265137,12.52,1.72,772554,2026-05-27,finviz,finviz_live_promoter:none,ok,OTHER,0.0,3.84,Breakout > 12.52,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,60.84070796460177,2.0,178.76,3.84,
HON,Ambos,72.34513274336283,68.81,233.4900054931641,228.99,1.59,136127,2026-05-27,finviz,finviz_live_promoter:none,ok,XLI,0.0,7.25,SMA20>SMA50 (-2.55%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,72.34513274336283,2.11,1526.29,7.25,
ASTS,Ambos,96.01769911504424,50.0,121.04499816894533,107.59,2.1,3805852,2026-05-27,finviz,finviz_live_promoter:none,ok,OTHER,0.0,48.4,SMA20>SMA50 (-4.96%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,96.01769911504424,9.92,5755.52,48.4,
PATH,Ambos,62.16814159292036,30.0,11.3100004196167,11.3,1.54,2717794,2026-05-27,finviz,finviz_live_promoter:none,ok,OTHER,0.0,5.47,Breakout > 11.30,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,62.16814159292036,5.43,568.77,5.47,
MRVL,Ambos,88.71681415929203,80.0,208.72999572753903,198.4,1.75,5381464,2026-05-27,finviz,finviz_live_promoter:none,ok,OTHER,0.0,19.87,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,88.71681415929203,6.34,8801.86,19.87,
ACMR,Ambos,97.56637168141592,50.0,85.5999984741211,76.36,2.08,203553,2026-05-27,finviz,finviz_live_promoter:none,ok,OTHER,0.0,40.31,SMA50>SMA100 (-2.23%),MA stack roto,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,97.56637168141592,8.46,312.4,40.31,
COHU,Ambos,67.69911504424779,30.0,53.06499862670898,52.43,1.79,158145,2026-05-27,finviz,finviz_live_promoter:none,ok,OTHER,0.0,5.84,Breakout > 52.43,Falta breakout,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,67.69911504424779,5.56,131.42,5.84,
ASX,Ambos,86.06194690265487,80.0,40.26789855957031,35.71,1.58,1430160,2026-05-27,finviz,finviz_live_promoter:none,ok,OTHER,0.0,16.99,Dist SMA20 <= 6.77%,Extendido de SMA20,PASS,BLOCKED,Qulla:screener_fail:qullamaggie_momentum=FAIL; Minervini:screener_fail:minervini_trend=FAIL,canonical_signal_engine:A+B_rejected,86.06194690265487,3.79,533.42,16.99,
