symbol,phase,exit_date,entry_date,entry_price,exit_price,shares_sold,shares_remaining,pct_sold,pnl,return_pct,reason,signal_type,pre_trade_context
TSLA,FASE_3,2024-07-24,2024-07-02,218.88999938964844,218.88999938964844,17,0,31.48148148148148,0.0,0.0,STOP_LOSS,BLUE_SKY,"{'R_inicial': 13.945045824547805, 'adr_valor': 7.4129997253417965, 'initial_shares': 54, 'initial_stop': 218.88999938964844, 'entry_stage': 'FULL', 'context_adr': 3.876937827399827, 'context_vol': 77038440, 'context_trend': 'Weak', 'context_rvol': 1.84314231536167}"
PLTR,FASE_1,2024-11-06,2024-11-06,53.439998626708984,55.1022985458374,96,144,40.0,159.58079223632785,3.1105912459690965,TP1: +1ADR Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 3.6896072710962784, 'adr_valor': 1.662299919128418, 'initial_shares': 240, 'initial_stop': 53.439998626708984, 'entry_stage': 'FULL', 'context_adr': 3.5602123984979412, 'context_vol': 53672785, 'context_trend': 'Weak', 'context_rvol': 4.505691971701068}"
ORCL,FASE_1,2024-11-07,2024-11-07,183.0607561340332,185.90175802612305,50,75,40.0,142.05009460449247,1.5519448035108783,TP1: +1ADR Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 3.7832898396063968, 'adr_valor': 2.8410018920898437, 'initial_shares': 125, 'initial_stop': 183.0607561340332, 'entry_stage': 'FULL', 'context_adr': 1.57426659359362, 'context_vol': 5643110, 'context_trend': 'Uptrend', 'context_rvol': 2.0173233204213723}"
PLTR,FASE_2,2024-11-08,2024-11-06,53.439998626708984,58.38999938964844,72,72,30.0,356.4000549316406,9.262726216586154,TP2: +1.5ADR Resistance,BLUE_SKY,"{'R_inicial': 3.6896072710962784, 'adr_valor': 1.662299919128418, 'initial_shares': 240, 'initial_stop': 53.439998626708984, 'entry_stage': 'FULL', 'context_adr': 3.5602123984979412, 'context_vol': 53672785, 'context_trend': 'Weak', 'context_rvol': 4.505691971701068}"
ORCL,FASE_2,2024-11-08,2024-11-07,183.0607561340332,189.25,37,38,29.599999999999998,229.00202304077166,3.380977986038235,TP2: +1.5ADR Resistance,BLUE_SKY,"{'R_inicial': 3.7832898396063968, 'adr_valor': 2.8410018920898437, 'initial_shares': 125, 'initial_stop': 183.0607561340332, 'entry_stage': 'FULL', 'context_adr': 1.57426659359362, 'context_vol': 5643110, 'context_trend': 'Uptrend', 'context_rvol': 2.0173233204213723}"
CRM,FASE_1,2024-11-11,2024-11-11,322.77212667228025,331.29480025435385,18,29,38.297872340425535,153.4081244773247,2.6404614518424347,TP1: +1R Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 8.522673582073594, 'adr_valor': 6.366129270265764, 'initial_shares': 47, 'initial_stop': 322.77212667228025, 'entry_stage': 'FULL', 'context_adr': 1.8985931253095547, 'context_vol': 4048035, 'context_trend': 'Weak', 'context_rvol': 2.230760837987872}"
CRM,FASE_2,2024-11-11,2024-11-11,322.77212667228025,339.81747383642744,14,15,29.78723404255319,238.63486029806063,5.2809229036848695,TP2: +2R Resistance,BLUE_SKY,"{'R_inicial': 8.522673582073594, 'adr_valor': 6.366129270265764, 'initial_shares': 47, 'initial_stop': 322.77212667228025, 'entry_stage': 'FULL', 'context_adr': 1.8985931253095547, 'context_vol': 4048035, 'context_trend': 'Weak', 'context_rvol': 2.230760837987872}"
ORCL,FASE_3,2024-11-15,2024-11-07,183.0607561340332,183.0607561340332,38,0,30.4,0.0,0.0,STOP_LOSS,BLUE_SKY,"{'R_inicial': 3.7832898396063968, 'adr_valor': 2.8410018920898437, 'initial_shares': 125, 'initial_stop': 183.0607561340332, 'entry_stage': 'FULL', 'context_adr': 1.57426659359362, 'context_vol': 5643110, 'context_trend': 'Uptrend', 'context_rvol': 2.0173233204213723}"
CRM,FASE_3,2024-11-15,2024-11-11,322.77212667228025,322.77212667228025,15,0,31.914893617021278,0.0,0.0,STOP_LOSS,BLUE_SKY,"{'R_inicial': 8.522673582073594, 'adr_valor': 6.366129270265764, 'initial_shares': 47, 'initial_stop': 322.77212667228025, 'entry_stage': 'FULL', 'context_adr': 1.8985931253095547, 'context_vol': 4048035, 'context_trend': 'Weak', 'context_rvol': 2.230760837987872}"
AFRM,FASE_1,2024-11-22,2024-11-19,63.2446510734558,68.0604091219243,10,15,40.0,48.157580484684956,7.614490659257825,TP1: +1R Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 4.815758048468496, 'adr_valor': 3.548400115966797, 'initial_shares': 25, 'initial_stop': 63.2446510734558, 'entry_stage': 'FULL', 'context_adr': 6.826230526840446, 'context_vol': 12153440, 'context_trend': 'Weak', 'context_rvol': 1.5001784034232724}"
AFRM,FASE_2,2024-11-25,2024-11-19,63.2446510734558,69.3499984741211,7,8,28.000000000000004,42.737431804657064,9.653539543722378,TP2: +1.5ADR Resistance,BLUE_SKY,"{'R_inicial': 4.815758048468496, 'adr_valor': 3.548400115966797, 'initial_shares': 25, 'initial_stop': 63.2446510734558, 'entry_stage': 'FULL', 'context_adr': 6.826230526840446, 'context_vol': 12153440, 'context_trend': 'Weak', 'context_rvol': 1.5001784034232724}"
AFRM,FASE_3,2024-12-18,2024-11-19,63.2446510734558,63.2446510734558,8,0,32.0,0.0,0.0,STOP_LOSS,BLUE_SKY,"{'R_inicial': 4.815758048468496, 'adr_valor': 3.548400115966797, 'initial_shares': 25, 'initial_stop': 63.2446510734558, 'entry_stage': 'FULL', 'context_adr': 6.826230526840446, 'context_vol': 12153440, 'context_trend': 'Weak', 'context_rvol': 1.5001784034232724}"
PLTR,FASE_3,2024-12-31,2024-11-06,53.439998626708984,75.62999725341797,72,0,30.0,1597.6799011230469,41.523202090088674,END_OF_BACKTEST,BLUE_SKY,"{'R_inicial': 3.6896072710962784, 'adr_valor': 1.662299919128418, 'initial_shares': 240, 'initial_stop': 53.439998626708984, 'entry_stage': 'FULL', 'context_adr': 3.5602123984979412, 'context_vol': 53672785, 'context_trend': 'Weak', 'context_rvol': 4.505691971701068}"
