adr,max_exposure,total_trades,win_rate,total_pnl,avg_return,sharpe_ratio,max_drawdown,profit_factor,score
3.5,35,41,14.634146341463413,-5993.413376979336,-0.41292444728501654,-0.5451192024866139,50.0116407580452,0.8693630432755707,7.252391899933675
3.5,30,41,14.634146341463413,-5993.413376979336,-0.41292444728501654,-0.5451192024866139,50.0116407580452,0.8693630432755707,7.252391899933675
3.5,15,41,14.634146341463413,-5867.220670986728,-0.41292444728501654,-0.5451192024866139,50.0116407580452,0.8693630432755707,7.252391899933675
3.5,20,41,14.634146341463413,-5996.073947002544,-0.41292444728501654,-0.5451192024866139,50.0116407580452,0.8693630432755707,7.252391899933675
3.5,25,41,14.634146341463413,-5993.413376979336,-0.41292444728501654,-0.5451192024866139,50.0116407580452,0.8693630432755707,7.252391899933675
3.5,40,41,14.634146341463413,-5993.413376979336,-0.41292444728501654,-0.5451192024866139,50.0116407580452,0.8693630432755707,7.252391899933675
3.0,30,48,18.75,-6166.6795728776515,-0.49240904758131127,-0.7021617983480075,53.36203515172146,0.8318790523419157,6.19555114410408
3.0,40,48,18.75,-6166.6795728776515,-0.49240904758131143,-0.7021617983480077,53.36203515172146,0.8318790523419157,6.195551144104077
3.0,35,48,18.75,-6166.6795728776515,-0.49240904758131143,-0.7021617983480077,53.36203515172146,0.8318790523419157,6.195551144104077
3.0,15,48,18.75,-6040.908451394988,-0.49240904758131143,-0.7021617983480077,53.36203515172146,0.8318790523419157,6.195551144104077
3.0,20,48,18.75,-6170.509237560522,-0.49240904758131143,-0.7021617983480077,53.36203515172146,0.8318790523419157,6.195551144104077
3.0,25,48,18.75,-6166.6795728776515,-0.49240904758131143,-0.7021617983480077,53.36203515172146,0.8318790523419157,6.195551144104077
2.5,40,64,15.625,-10372.183060959413,-0.8783295069174509,-1.4401848866328446,66.91018475103269,0.678407503064659,-5.209153593402048
2.5,20,91,17.582417582417584,-10850.432453921183,-1.0236975734351799,-1.6964548054559334,79.8641545576748,0.6682610652755976,-8.894176842811499
2.5,15,91,17.582417582417584,-10677.431302628094,-1.0236975734351803,-1.696454805455934,79.8641545576748,0.6682610652755976,-8.894176842811508
2.5,35,91,17.582417582417584,-10875.381761713465,-1.0236975734351803,-1.696454805455934,79.8641545576748,0.6682610652755976,-8.894176842811508
2.5,25,91,17.582417582417584,-10875.381761713465,-1.0236975734351803,-1.696454805455934,79.8641545576748,0.6682610652755976,-8.894176842811508
2.5,30,91,17.582417582417584,-10875.381761713465,-1.0236975734351803,-1.696454805455934,79.8641545576748,0.6682610652755976,-8.894176842811508
