symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,reason,signal_type,context_adr,context_vol,context_trend,context_rvol,is_profitable,signal_reason,returns_pct,position_value,monetary_risk
EXAS,2020-12-22,2020-12-24,143.74514570617674,139.55999755859375,65,-272.03462959289453,-2.911505725652589,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (142.98) and AVWAP (141.04) converge within 1.4%. Trend: Uptrend. Clear path above with SMA20 support.,BLUE_SKY,4.77970625656406,1834235,Uptrend,1.11,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (142.98) and AVWAP (141.04) converge within 1.4%. Trend: Uptrend. Clear path above with SMA20 support.,-2.911505725652589,9343.434470901488,500.0
LITE,2020-12-23,2020-12-28,98.9523036804199,98.94000244140625,120,-1.4761486816382785,-0.012431483205667315,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (98.41) and AVWAP (97.75) converge within 0.7%. Trend: Uptrend. Clear path above with SMA20 support.,BLUE_SKY,3.2396098532104185,997545,Uptrend,1.43,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (98.41) and AVWAP (97.75) converge within 0.7%. Trend: Uptrend. Clear path above with SMA20 support.,-0.012431483205667315,11874.276441650389,500.0
COHR,2020-12-23,2020-12-28,78.84225153350829,78.19000244140625,136,-88.70587652587733,-0.827283695500287,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (78.40) and AVWAP (78.11) converge within 0.4%. Trend: Uptrend. Clear path above with SMA20 support.,BLUE_SKY,3.6597676643990815,1220650,Uptrend,0.91,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (78.40) and AVWAP (78.11) converge within 0.4%. Trend: Uptrend. Clear path above with SMA20 support.,-0.827283695500287,10722.546208557127,500.0
GH,2020-12-23,2020-12-28,136.98149999999998,131.59178914856295,84,-452.73571152071054,-3.9346268302194316,STOP_LOSS | Blue Sky Breakout: Base (136.25) and AVWAP (135.93) converge within 0.2%. Trend: Uptrend. Clear path above with SMA20 support.,BLUE_SKY,3.383804179988842,901490,Weak,1.19,False,STOP_LOSS | Blue Sky Breakout: Base (136.25) and AVWAP (135.93) converge within 0.2%. Trend: Uptrend. Clear path above with SMA20 support.,-3.9346268302194316,11506.445999999998,500.0
MU,2021-01-08,2021-01-08,82.54000091552734,78.05000305175781,175,-785.749626159668,-5.439784121597795,STOP_LOSS | Blue Sky Breakout: Base (80.08) and AVWAP (79.11) converge within 1.2%. Trend: Uptrend. Clear path above with SMA20 support.,BLUE_SKY,3.0085285651236395,16470130,Weak,3.11,False,STOP_LOSS | Blue Sky Breakout: Base (80.08) and AVWAP (79.11) converge within 1.2%. Trend: Uptrend. Clear path above with SMA20 support.,-5.439784121597795,14444.500160217285,500.0
GH,2021-01-12,2021-01-14,157.45334509277345,157.27000427246094,57,-10.450426757813005,-0.11644136249025526,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (156.62) and AVWAP (154.57) converge within 1.3%. Trend: Uptrend. Clear path above with SMA20 support.,BLUE_SKY,4.5768181605997755,1212130,Uptrend,1.49,False,MOMENTUM_FAIL (3-Day Rule) | Blue Sky Breakout: Base (156.62) and AVWAP (154.57) converge within 1.3%. Trend: Uptrend. Clear path above with SMA20 support.,-0.11644136249025526,8974.840670288086,500.0
LITE,2021-01-06,2021-01-19,102.17835276031492,95.01000213623047,60,-430.1010374450672,-7.015527683147943,STOP_LOSS | Blue Sky Breakout: Base (101.62) and AVWAP (101.38) converge within 0.2%. Trend: Uptrend. Clear path above with SMA20 support.,BLUE_SKY,3.451413942969487,1093620,Uptrend,1.34,False,STOP_LOSS | Blue Sky Breakout: Base (101.62) and AVWAP (101.38) converge within 0.2%. Trend: Uptrend. Clear path above with SMA20 support.,-7.015527683147943,6130.701165618895,500.0
MU,2021-01-20,2021-01-21,86.15865030670165,82.6640410574069,133,-464.7830301562004,-4.056016705060803,STOP_LOSS | Blue Sky Breakout: Base (85.68) and AVWAP (85.50) converge within 0.2%. Trend: Uptrend. Clear path above with SMA20 support.,BLUE_SKY,3.5222773906402205,19608465,Weak,1.08,False,STOP_LOSS | Blue Sky Breakout: Base (85.68) and AVWAP (85.50) converge within 0.2%. Trend: Uptrend. Clear path above with SMA20 support.,-4.056016705060803,11459.10049079132,500.0
COHR,2021-01-12,2021-01-27,86.5199966430664,86.5199966430664,60,0.0,0.0,STOP_LOSS | Blue Sky Breakout: Base (85.45) and AVWAP (85.22) converge within 0.3%. Trend: Uptrend. Clear path above with SMA20 support.,BLUE_SKY,3.912569191434226,1206160,Uptrend,1.97,False,STOP_LOSS | Blue Sky Breakout: Base (85.45) and AVWAP (85.22) converge within 0.3%. Trend: Uptrend. Clear path above with SMA20 support.,0.0,5191.199798583984,500.0
ASTS,2021-02-10,2021-02-10,23.09000015258789,20.8035,271,-619.6415413513184,-9.902555814109094,"STOP_LOSS | Risk Clamped: 23.1% -> 8.0% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 22.50. Institutions defending position.",VWAP_RECLAIM,10.73990180902253,2489210,Uptrend,1.83,False,"STOP_LOSS | Risk Clamped: 23.1% -> 8.0% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 22.50. Institutions defending position.",-9.902555814109094,6257.390041351318,500.0
