date,symbol,camino,entry_price,exit_price,return_pct,risk_pct,outcome,hold_days,stop_loss,base_high
2024-01-31,LUNR,Camino AMINO_3,3.7799999713897705,3.5,-7.407406706588533,3.7037033532942667,LOSS,5,3.742199971675873,3.704399971961975
2024-02-21,LUNR,Camino AMINO_3,9.31999969482422,5.880000114440918,-36.90986795089355,18.454933975446774,LOSS,5,9.226799697875979,9.133599700927736
2024-02-27,LUNR,Camino AMINO_1,6.704999923706055,5.300000190734863,-20.954507814440152,10.477253907220076,LOSS,5,6.637949924468994,6.570899925231934
2024-03-15,LUNR,Camino AMINO_2,5.489999771118164,6.400000095367432,16.575598582655772,8.287799291327886,WIN,5,5.435099773406982,5.380199775695801
2024-03-19,LUNR,Camino AMINO_2,5.489999771118164,7.130000114440918,29.872502945272988,14.936251472636494,WIN,5,5.435099773406982,5.380199775695801
2024-03-20,LUNR,Camino AMINO_2,5.605000019073486,6.880000114440918,22.747548457246765,11.373774228623382,WIN,5,5.548950018882752,5.4929000186920165
2024-03-22,LUNR,Camino AMINO_1,6.400000095367432,6.650000095367432,3.90624994179234,1.95312497089617,WIN,5,6.336000094413757,6.272000093460083
2024-04-01,LUNR,Camino AMINO_1,6.650000095367432,5.119999885559082,-23.007521622055148,11.503760811027574,LOSS,5,6.583500094413758,6.517000093460083
2024-05-03,LUNR,Camino AMINO_1,5.570000171661377,5.769999980926514,3.590660737905908,1.795330368952954,WIN,5,5.514300169944764,5.458600168228149
2024-05-07,LUNR,Camino AMINO_1,5.760000228881836,5.699999809265137,-1.0416739102864037,0.5208369551432018,LOSS,5,5.702400226593017,5.644800224304199
2024-05-08,LUNR,Camino AMINO_1,5.860000133514404,5.210000038146973,-11.092151545355144,5.546075772677572,LOSS,5,5.8014001321792605,5.742800130844116
2024-05-13,LUNR,Camino AMINO_1,6.070000171661377,5.190000057220459,-14.497530305671464,7.248765152835732,LOSS,5,6.009300169944763,5.9486001682281495
2024-07-11,LUNR,Camino AMINO_1,4.190000057220459,4.050000190734863,-3.3412855506848875,1.6706427753424438,LOSS,5,4.148100056648254,4.10620005607605
2024-08-19,LUNR,Camino AMINO_1,4.25,5.25,23.52941176470588,11.76470588235294,WIN,5,4.2075,4.165
2024-08-20,LUNR,Camino AMINO_3,5.670000076293945,4.880000114440918,-13.932979739382848,6.966489869691424,LOSS,5,5.613300075531006,5.556600074768066
2024-08-21,LUNR,Camino AMINO_3,5.380000114440918,4.670000076293945,-13.197026450635214,6.598513225317607,LOSS,5,5.326200113296509,5.272400112152099
2024-08-29,LUNR,Camino AMINO_1,4.820000171661377,5.039999961853027,4.564310837271609,2.2821554186358046,WIN,5,4.771800169944763,4.723600168228149
2024-08-30,LUNR,Camino AMINO_1,4.96999979019165,5.519999980926514,11.066402695233403,5.533201347616702,WIN,5,4.920299792289734,4.870599794387817
2024-09-12,LUNR,Camino AMINO_1,5.699999809265137,9.279999732971191,62.80701830703394,31.40350915351697,WIN,5,5.642999811172485,5.585999813079834
2024-09-18,LUNR,Camino AMINO_3,7.46999979019165,7.989999771118164,6.961177985698076,3.480588992849038,WIN,5,7.395299792289734,7.320599794387817
2024-10-10,LUNR,Camino AMINO_2,7.230000019073486,8.350000381469727,15.491014653410287,7.745507326705144,WIN,5,7.1577000188827515,7.085400018692017
2024-10-22,LUNR,Camino AMINO_1,8.579999923706055,8.319999694824219,-3.030305724869181,1.5151528624345905,LOSS,5,8.494199924468994,8.408399925231933
2024-10-28,LUNR,Camino AMINO_1,8.220000267028809,7.579999923706055,-7.785892001608021,3.8929460008040104,LOSS,5,8.137800264358521,8.055600261688232
2024-11-05,LUNR,Camino AMINO_2,7.739999771118164,10.399999618530272,34.36692410945422,17.18346205472711,WIN,5,7.662599773406982,7.5851997756958
2024-11-07,LUNR,Camino AMINO_1,9.520000457763672,10.229999542236328,7.457973217781137,3.7289866088905685,WIN,5,9.424800453186036,9.329600448608398
2024-11-08,LUNR,Camino AMINO_1,9.729999542236328,12.420000076293944,27.64646105460506,13.82323052730253,WIN,5,9.632699546813965,9.5353995513916
2024-11-11,LUNR,Camino AMINO_3,11.0,11.68000030517578,6.181820956143466,3.090910478071733,WIN,5,10.89,10.78
2024-11-13,LUNR,Camino AMINO_3,11.760000228881836,12.06999969482422,2.636049829157684,1.318024914578842,WIN,5,11.642400226593017,11.5248002243042
2024-11-15,LUNR,Camino AMINO_1,12.420000076293944,15.119999885559082,21.73912876553541,10.869564382767704,WIN,5,12.295800075531004,12.171600074768065
2024-11-21,LUNR,Camino AMINO_3,13.994999885559082,16.350000381469727,16.827442051933716,8.413721025966858,WIN,5,13.85504988670349,13.7150998878479
2024-12-12,LUNR,Camino AMINO_2,11.68000030517578,12.779999732971191,9.417803074097227,4.708901537048614,WIN,5,11.563200302124022,11.446400299072264
2024-02-22,MU,Camino AMINO_1,85.91000366210938,90.61000061035156,5.470837792915987,2.7354188964579933,WIN,5,85.05090362548827,84.19180358886719
2024-02-26,MU,Camino AMINO_1,89.45999908447266,95.7699966430664,7.053429044455423,3.5267145222277114,WIN,5,88.56539909362793,87.6707991027832
2024-02-27,MU,Camino AMINO_1,91.8499984741211,94.47000122070312,2.8524799021311056,1.4262399510655528,WIN,5,90.93149848937988,90.01299850463867
2024-02-29,MU,Camino AMINO_1,90.61000061035156,98.9800033569336,9.237393985433677,4.618696992716838,WIN,5,89.70390060424805,88.79780059814453
2024-03-01,MU,Camino AMINO_1,95.1500015258789,97.62000274658205,2.595902449913607,1.2979512249568035,WIN,5,94.19850151062012,93.24700149536133
2024-03-04,MU,Camino AMINO_1,95.7699966430664,94.51000213623048,-1.315646393443994,0.657823196721997,LOSS,5,94.81229667663574,93.85459671020507
2024-03-15,MU,Camino AMINO_1,93.25,110.20999908447266,18.18766657852296,9.09383328926148,WIN,5,92.3175,91.385
2024-03-18,MU,Camino AMINO_1,93.77999877929688,117.12999725341795,24.8986977799747,12.44934888998735,WIN,5,92.8421987915039,91.90439880371093
2024-03-19,MU,Camino AMINO_1,94.0,118.8000030517578,26.38298196995512,13.19149098497756,WIN,5,93.06,92.12
2024-03-20,MU,Camino AMINO_1,96.25,119.25,23.89610389610389,11.948051948051946,WIN,5,95.2875,94.325
2024-03-21,MU,Camino AMINO_1,109.8499984741211,117.88999938964844,7.319072396183455,3.6595361980917276,WIN,5,108.75149848937988,107.65299850463867
2024-03-22,MU,Camino AMINO_1,110.20999908447266,124.3000030517578,12.78468749145492,6.39234374572746,WIN,5,109.10789909362794,108.0057991027832
2024-03-25,MU,Camino AMINO_3,117.12999725341795,122.75,4.798090052390942,2.399045026195471,WIN,5,115.95869728088377,114.7873973083496
2024-03-26,MU,Camino AMINO_3,118.8000030517578,128.00999450683594,7.752517860681865,3.8762589303409327,WIN,5,117.61200302124021,116.42400299072264
2024-04-22,MU,Camino AMINO_2,109.12000274658205,114.36000061035156,4.802050707365533,2.4010253536827664,WIN,5,108.02880271911623,106.9376026916504
2024-04-26,MU,Camino AMINO_2,114.83999633789062,114.6999969482422,-0.1219082150059645,0.06095410750298225,LOSS,5,113.69159637451172,112.54319641113281
2024-05-02,MU,Camino AMINO_2,112.33000183105467,117.80999755859376,4.878479158026744,2.439239579013372,WIN,5,111.20670181274413,110.08340179443358
2024-05-03,MU,Camino AMINO_2,114.6999969482422,121.23999786376952,5.701831813019565,2.8509159065097824,WIN,5,113.55299697875978,112.40599700927736
2024-06-03,MU,Camino AMINO_1,128.1699981689453,134.82000732421875,5.18842884471905,2.594214422359525,WIN,5,126.88829818725586,125.6065982055664
2024-06-05,MU,Camino AMINO_1,133.7100067138672,140.75,5.265120733407822,2.632560366703911,WIN,5,132.37290664672852,131.03580657958983
2024-06-12,MU,Camino AMINO_1,140.75,144.19000244140625,2.444051468139432,1.222025734069716,WIN,5,139.3425,137.935
2024-06-13,MU,Camino AMINO_1,143.13999938964844,139.5399932861328,-2.5150245346277185,1.2575122673138592,LOSS,5,141.70859939575195,140.27719940185546
2024-06-17,MU,Camino AMINO_1,147.8300018310547,141.1199951171875,-4.5390019825174726,2.2695009912587363,LOSS,5,146.35170181274415,144.8734017944336
2024-06-18,MU,Camino AMINO_3,153.4499969482422,142.36000061035156,-7.227107564968684,3.613553782484342,LOSS,5,151.91549697875976,150.38099700927734
2024-06-25,MU,Camino AMINO_1,141.1199951171875,132.58999633789062,-6.044500477918438,3.022250238959219,LOSS,5,139.70879516601562,138.29759521484374
2024-06-26,MU,Camino AMINO_1,142.36000061035156,136.82000732421875,-3.8915378353334864,1.9457689176667432,LOSS,5,140.93640060424804,139.51280059814454
2024-07-02,MU,Camino AMINO_2,132.58999633789062,136.38999938964844,2.8659802071899407,1.4329901035949704,WIN,5,131.26409637451172,129.93819641113282
2024-07-03,MU,Camino AMINO_2,136.82000732421875,130.22999572753906,-4.816555506435189,2.4082777532175945,LOSS,5,135.45180725097657,134.08360717773436
2024-07-09,MU,Camino AMINO_2,131.13999938964844,127.48999786376952,-2.783286215393272,1.391643107696636,LOSS,5,129.82859939575195,128.51719940185546
2024-07-10,MU,Camino AMINO_2,136.38999938964844,119.5,-12.38360544411758,6.19180272205879,LOSS,5,135.02609939575194,133.66219940185547
2024-07-12,MU,Camino AMINO_2,133.5500030517578,114.26000213623048,-14.44402880923292,7.22201440461646,LOSS,5,132.21450302124023,130.87900299072265
2024-09-23,MU,Camino AMINO_1,93.56999969482422,103.70999908447266,10.836806051853957,5.418403025926978,WIN,5,92.63429969787597,91.69859970092773
2024-09-24,MU,Camino AMINO_1,94.0,100.30999755859376,6.712763360206117,3.3563816801030586,WIN,5,93.06,92.12
2024-09-25,MU,Camino AMINO_1,95.7699966430664,99.8499984741211,4.2602088065856405,2.1301044032928202,WIN,5,94.81229667663574,93.85459671020507
2024-09-26,MU,Camino AMINO_3,109.87999725341795,101.81999969482422,-7.335272806755583,3.6676364033777915,LOSS,5,108.78119728088377,107.68239730834959
2024-11-01,MU,Camino AMINO_2,99.7300033569336,111.9000015258789,12.202945712724883,6.101472856362442,WIN,5,98.73270332336426,97.73540328979492
