ticker,close,sma20,gap_to_sma20_pct,rvol,gap_rvol,adr,gap_adr,dist_sma20,gap_dist,dv_M,gap_dv_M,rs_pct,gap_rs,n_blockers,blockers,proximity_score
MU,426.13,408.84,-4.23,1.23,0.0,5.16,0.0,4.23,0.0,13483.0,0.0,50.0,8.0,1,rs(50%<58%),12.461
INTC,45.77,45.49,-0.62,0.88,0.23,4.61,0.0,0.62,0.0,3510.3,0.0,50.0,8.0,2,rvol(0.88<1.1048) | rs(50%<58%),7.536
COST,1008.43,999.05,-0.94,0.74,0.37,1.88,0.0,0.94,0.0,2004.9,0.0,50.0,8.0,2,rvol(0.74<1.1048) | rs(50%<58%),9.547
PYPL,44.9,44.69,-0.46,0.53,0.58,4.1,0.0,0.46,0.0,1185.3,0.0,50.0,8.0,2,rvol(0.53<1.1048) | rs(50%<58%),10.704
KLAC,1418.64,1468.49,3.39,1.29,0.0,4.1,0.0,-3.39,0.0,1318.6,0.0,50.0,8.0,2,below_SMA20(3.4%) | rs(50%<58%),10.795
AEMD,1.95,1.9,-2.85,2.85,0.0,9.07,0.0,2.85,0.0,0.2,19.8,50.0,8.0,2,dv(0M<20M) | rs(50%<58%),11.686
BKNG,4241.26,4221.94,-0.46,0.38,0.72,3.79,0.0,0.46,0.0,2490.9,0.0,50.0,8.0,2,rvol(0.38<1.1048) | rs(50%<58%),12.138
FTNT,83.44,81.33,-2.6,0.59,0.51,3.62,0.0,2.6,0.0,523.5,0.0,50.0,8.0,2,rvol(0.59<1.1048) | rs(50%<58%),14.312
ADM,71.98,68.64,-4.86,1.04,0.06,3.04,0.0,4.86,0.0,250.5,0.0,50.0,8.0,2,rvol(1.04<1.1048) | rs(50%<58%),14.345
META,613.71,647.41,5.21,1.55,0.0,2.52,0.0,-5.21,0.0,7437.7,0.0,50.0,8.0,2,below_SMA20(5.2%) | rs(50%<58%),14.415
ADBE,249.32,265.36,6.05,2.81,0.0,3.48,0.0,-6.05,0.0,1541.9,0.0,50.0,8.0,2,below_SMA20(6.0%) | rs(50%<58%),16.096
ADSK,251.17,241.84,-3.86,0.62,0.49,3.24,0.0,3.86,0.0,588.3,0.0,50.0,8.0,2,rvol(0.62<1.1048) | rs(50%<58%),16.608
AEVA,15.21,14.52,-4.72,0.72,0.39,8.96,0.0,4.72,0.0,26.3,0.0,50.0,8.0,2,rvol(0.72<1.1048) | rs(50%<58%),17.307
INTU,439.96,415.84,-5.8,0.45,0.65,5.08,0.0,5.8,0.0,2282.6,0.0,50.0,8.0,2,rvol(0.45<1.1048) | rs(50%<58%),22.146
AEM,207.54,229.21,9.45,1.12,0.0,4.19,0.0,-9.45,0.0,501.9,0.0,50.0,8.0,2,below_SMA20(9.5%) | rs(50%<58%),22.911
PANW,167.01,156.76,-6.54,0.49,0.61,3.9,0.0,6.54,0.0,2111.9,0.0,50.0,8.0,2,rvol(0.49<1.1048) | rs(50%<58%),23.189
ADPT,13.17,15.39,14.43,1.92,0.0,5.44,0.0,-14.43,0.0,26.7,0.0,50.0,8.0,2,below_SMA20(14.4%) | rs(50%<58%),32.866
AAL,10.3,12.53,17.79,1.23,0.0,4.55,0.0,-17.79,0.0,868.8,0.0,50.0,8.0,2,below_SMA20(17.8%) | rs(50%<58%),39.586
AEO,17.58,8.62,-103.96,2.44,0.0,10.33,0.0,103.96,97.19,33.1,0.0,50.0,8.0,2,dist(104.0>6.768) | rs(50%<58%),309.105
CSCO,78.33,78.41,0.1,0.82,0.29,2.31,0.0,-0.1,0.0,1822.8,0.0,50.0,8.0,3,below_SMA20(0.1%) | rvol(0.82<1.1048) | rs(50%<58%),7.057
AEP,133.61,131.6,-1.53,0.97,0.14,1.85,0.02,1.53,0.0,488.4,0.0,50.0,8.0,3,rvol(0.97<1.1048) | adr(1.85<1.8714) | rs(50%<58%),8.889
ADIA,0.2,0.2,-1.71,1.09,0.01,9.64,0.0,1.71,0.0,0.0,20.0,50.0,8.0,3,rvol(1.09<1.1048) | dv(0M<20M) | rs(50%<58%),9.531
AVGO,322.16,329.44,2.21,0.99,0.12,3.82,0.0,-2.21,0.0,8376.2,0.0,50.0,8.0,3,below_SMA20(2.2%) | rvol(0.99<1.1048) | rs(50%<58%),9.59
ABTC,1.04,1.07,2.64,1.48,0.0,7.55,0.0,-2.64,0.0,17.0,3.0,50.0,8.0,3,below_SMA20(2.6%) | dv(17M<20M) | rs(50%<58%),9.593
MSFT,395.55,400.2,1.16,0.78,0.33,2.04,0.0,-1.16,0.0,13423.7,0.0,50.0,8.0,3,below_SMA20(1.2%) | rvol(0.78<1.1048) | rs(50%<58%),9.614
AMZN,207.67,209.29,0.78,0.69,0.41,2.5,0.0,-0.78,0.0,10270.2,0.0,50.0,8.0,3,below_SMA20(0.8%) | rvol(0.69<1.1048) | rs(50%<58%),9.688
ACRV,1.62,1.61,-0.87,0.79,0.32,7.04,0.0,0.87,0.0,1.5,18.5,50.0,8.0,3,rvol(0.79<1.1048) | dv(1M<20M) | rs(50%<58%),10.786
ACR,19.01,18.78,-1.22,0.87,0.24,2.07,0.0,1.22,0.0,0.3,19.7,50.0,8.0,3,rvol(0.87<1.1048) | dv(0M<20M) | rs(50%<58%),10.799
AAP,51.73,53.3,2.94,0.99,0.12,5.06,0.0,-2.94,0.0,99.9,0.0,50.0,8.0,3,below_SMA20(2.9%) | rvol(0.99<1.1048) | rs(50%<58%),11.085
