ticker,close,sma20,gap_to_sma20_pct,rvol,gap_rvol,adr,gap_adr,dist_sma20,gap_dist,dv_M,gap_dv_M,rs_pct,gap_rs,n_blockers,blockers,proximity_score
DVA,150.72,151.51,0.52,1.2,0.0,3.15,0.0,-0.52,0.0,133.2,0.0,77.5,0.0,1,below_SMA20(0.5%),1.04
BW,10.51,10.65,1.27,2.3,0.0,10.25,0.0,-1.27,0.0,48.8,0.0,87.4,0.0,1,below_SMA20(1.3%),2.536
CTVA,79.21,77.65,-2.01,1.05,0.05,2.23,0.0,2.01,0.0,316.3,0.0,74.3,0.0,1,rvol(1.05<1.1048),4.552
CME,311.4,306.84,-1.49,0.9,0.2,1.95,0.0,1.49,0.0,777.0,0.0,66.7,0.0,1,rvol(0.90<1.1048),4.99
COST,1008.43,999.05,-0.94,0.74,0.37,1.88,0.0,0.94,0.0,2004.9,0.0,72.2,0.0,1,rvol(0.74<1.1048),5.542
DLR,179.61,177.52,-1.17,0.78,0.33,2.26,0.0,1.17,0.0,364.8,0.0,70.8,0.0,1,rvol(0.78<1.1048),5.635
DFTX,18.06,17.56,-2.88,1.02,0.08,5.76,0.0,2.88,0.0,28.8,0.0,84.8,0.0,1,rvol(1.02<1.1048),6.596
BWXT,194.13,202.07,3.93,1.46,0.0,4.59,0.0,-3.93,0.0,183.5,0.0,64.3,0.0,1,below_SMA20(3.9%),7.859
CIEN,337.38,329.76,-2.31,0.74,0.36,6.81,0.0,2.31,0.0,976.3,0.0,85.4,0.0,1,rvol(0.74<1.1048),8.265
AA,63.59,61.79,-2.92,0.83,0.28,6.21,0.0,2.92,0.0,440.9,0.0,83.0,0.0,1,rvol(0.83<1.1048),8.603
DTE,149.57,147.01,-1.74,0.54,0.57,2.14,0.0,1.74,0.0,218.7,0.0,69.0,0.0,1,rvol(0.54<1.1048),9.178
AM,23.14,22.32,-3.69,0.89,0.22,2.3,0.0,3.69,0.0,68.4,0.0,78.7,0.0,1,rvol(0.89<1.1048),9.579
ADM,71.98,68.64,-4.86,1.04,0.06,3.04,0.0,4.86,0.0,250.5,0.0,73.7,0.0,1,rvol(1.04<1.1048),10.34
CVE,23.2,22.51,-3.08,0.67,0.43,3.42,0.0,3.08,0.0,404.5,0.0,80.4,0.0,1,rvol(0.67<1.1048),10.487
BTU,34.64,33.59,-3.14,0.66,0.44,5.53,0.0,3.14,0.0,95.0,0.0,76.6,0.0,1,rvol(0.66<1.1048),10.701
APD,287.98,278.73,-3.32,0.66,0.45,2.29,0.0,3.32,0.0,475.9,0.0,72.8,0.0,1,rvol(0.66<1.1048),11.108
