ticker,close,sma20,gap_to_sma20_pct,rvol,gap_rvol,adr,gap_adr,dist_sma20,gap_dist,dv_M,gap_dv_M,rs_pct,gap_rs,n_blockers,blockers,proximity_score
ABUS,4.26,1.14,-273.58,2.29,0.0,1.71,0.0,273.58,258.1,2.8,28.8,50.0,20.0,3,dist(273.6>15.48) | dv(3M<32M) | rs(50%<70%),818.133
AAT,18.78,4.93,-280.74,3.06,0.0,3.38,0.0,280.74,265.26,1.7,29.9,50.0,20.0,3,dist(280.7>15.48) | dv(2M<32M) | rs(50%<70%),839.731
ADEA,22.79,5.73,-297.81,1.86,0.0,62.64,0.0,297.81,282.33,15.1,16.4,50.0,20.0,3,dist(297.8>15.48) | dv(15M<32M) | rs(50%<70%),889.593
AAPC,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
AAQC,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
AATI,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
AATI1,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABCW,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABCWQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABF,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABIO,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABIO1,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABKFQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABMC,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABNTQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABOV,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABST,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABTI1,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABTXQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABVA,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABWG,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ABWTQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
