date,status,n_signals
2024-01-02,OK,43
2024-01-03,OK,30
2024-01-04,OK,26
2024-01-05,OK,51
2024-01-08,OK,33
2024-01-09,OK,24
2024-01-10,OK,23
2024-01-11,OK,30
2024-01-12,OK,20
2024-01-16,OK,22
2024-01-17,OK,28
2024-01-18,OK,32
2024-01-19,OK,42
2024-01-22,OK,59
2024-01-23,OK,41
2024-01-24,OK,51
2024-01-25,OK,58
2024-01-26,OK,25
2024-01-29,OK,43
2024-01-30,OK,28
2024-01-31,OK,56
2024-02-01,OK,51
2024-02-02,OK,44
2024-02-05,OK,42
2024-02-06,OK,65
2024-02-07,OK,71
2024-02-08,OK,74
2024-02-09,OK,38
2024-02-12,OK,44
2024-02-13,OK,53
2024-02-14,OK,37
2024-02-15,OK,37
2024-02-16,OK,53
2024-02-20,OK,63
2024-02-21,OK,50
2024-02-22,OK,61
2024-02-23,OK,37
2024-02-26,OK,37
2024-02-27,OK,60
2024-02-28,OK,41
2024-02-29,OK,123
2024-03-01,OK,41
2024-03-04,OK,55
2024-03-05,OK,43
2024-03-06,OK,30
2024-03-07,OK,51
2024-03-08,OK,41
2024-03-11,OK,46
2024-03-12,OK,35
2024-03-13,OK,38
2024-03-14,OK,31
2024-03-15,OK,104
2024-03-18,OK,30
2024-03-19,OK,26
2024-03-20,OK,28
2024-03-21,OK,38
2024-03-22,OK,8
2024-03-25,OK,9
2024-03-26,OK,10
2024-03-27,OK,21
2024-03-28,OK,29
2024-04-01,OK,30
2024-04-02,OK,25
2024-04-03,OK,24
2024-04-04,BLOCKED (SPY=502<SMA50=504),0
2024-04-05,OK,22
2024-04-08,OK,10
2024-04-09,OK,21
2024-04-10,BLOCKED (SPY=503<SMA50=505),0
2024-04-11,OK,12
2024-04-12,BLOCKED (SPY=500<SMA50=505),0
2024-04-15,BLOCKED (SPY=494<SMA50=505),0
2024-04-16,BLOCKED (SPY=493<SMA50=505),0
2024-04-17,BLOCKED (SPY=490<SMA50=504),0
2024-04-18,BLOCKED (SPY=489<SMA50=504),0
2024-04-19,BLOCKED (SPY=485<SMA50=503),0
2024-04-22,BLOCKED (SPY=489<SMA50=503),0
2024-04-23,BLOCKED (SPY=495<SMA50=502),0
2024-04-24,BLOCKED (SPY=495<SMA50=502),0
2024-04-25,BLOCKED (SPY=493<SMA50=501),0
2024-04-26,BLOCKED (SPY=498<SMA50=501),0
2024-04-29,BLOCKED (SPY=499<SMA50=500),0
2024-04-30,BLOCKED (SPY=491<SMA50=500),0
2024-05-01,BLOCKED (SPY=490<SMA50=499),0
2024-05-02,BLOCKED (SPY=494<SMA50=498),0
2024-05-03,OK,33
2024-05-06,OK,55
2024-05-07,OK,53
2024-05-08,OK,37
2024-05-09,OK,37
2024-05-10,OK,16
2024-05-13,OK,31
2024-05-14,OK,28
2024-05-15,OK,38
2024-05-16,OK,30
2024-05-17,OK,17
2024-05-20,OK,13
2024-05-21,OK,23
2024-05-22,OK,29
2024-05-23,OK,42
2024-05-24,OK,28
2024-05-28,OK,39
2024-05-29,OK,27
2024-05-30,OK,26
2024-05-31,OK,77
2024-06-03,OK,25
2024-06-04,OK,21
2024-06-05,OK,25
2024-06-06,OK,23
2024-06-07,OK,17
2024-06-10,OK,39
2024-06-11,OK,21
2024-06-12,OK,45
2024-06-13,OK,25
2024-06-14,OK,12
2024-06-17,OK,30
2024-06-18,OK,36
2024-06-20,OK,71
2024-06-21,OK,144
2024-06-24,OK,41
2024-06-25,OK,40
2024-06-26,OK,28
2024-06-27,OK,27
2024-06-28,OK,155
2024-07-01,OK,37
2024-07-02,OK,18
2024-07-03,OK,7
2024-07-05,OK,32
2024-07-08,OK,23
2024-07-09,OK,23
2024-07-10,OK,31
2024-07-11,OK,72
2024-07-12,OK,41
2024-07-15,OK,40
2024-07-16,OK,34
2024-07-17,OK,58
2024-07-18,OK,47
2024-07-19,BLOCKED (SPY=539<SMA50=540),0
2024-07-22,OK,52
2024-07-23,OK,43
2024-07-24,BLOCKED (SPY=532<SMA50=541),0
2024-07-25,BLOCKED (SPY=529<SMA50=540),0
2024-07-26,BLOCKED (SPY=535<SMA50=540),0
2024-07-29,BLOCKED (SPY=535<SMA50=540),0
2024-07-30,BLOCKED (SPY=532<SMA50=540),0
2024-07-31,OK,109
2024-08-01,BLOCKED (SPY=533<SMA50=540),0
