day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,entry_score,stop_loss,tp1_target,tp2_target,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct,rs_percentile,stop_distance,stop_distance_pct,risk_per_share,r_multiple,outcome,is_big_win,is_big_loss,_trial,_trial_sharpe
15.0,19.0,0.0,51.32760238647461,264.0,-998.5531311035156,15.0,1000.0,1.905855655670166,7.674914836883545,2879300.0,0.5,51.32760238647461,62.674800872802734,68.34840393066406,2021-01-26,2021-01-26,API1,STOP,1000.0,1000.0,1000.0,2879300.0,-6.8633608818478,55.11000061035156,158678224.75738525,ANY,29.99634552001953,,3.787878787878788,6.873305654014625,3.787878787878788,-0.9985531311035156,LOSS,False,False,0,0.622
16.0,22.0,0.0,12.982000350952148,841.0,-999.1077690124512,15.0,1000.0,0.9517291188240051,8.324779510498047,1953800.0,0.5,12.982000350952148,16.54599952697754,18.328001022338867,2021-01-27,2021-01-26,ASTS,STOP,1000.0,1000.0,1000.0,1953800.0,-8.383907684865088,14.170000076293945,27685346.14906311,ANY,1.0122612714767456,,1.1890606420927468,8.391394747287372,1.1890606420927468,-0.9991077690124511,LOSS,False,False,0,0.622
24.0,14.0,1.0,5.909999847412109,1030.0,988.8000392913818,15.0,1000.0,1.1920439004898071,5.055873870849609,1300800.0,0.5,4.561999797821045,5.72599983215332,6.307999610900879,2021-02-08,2021-01-26,AMRX,TP1,1000.0,1000.0,1000.0,1300800.0,19.39394091187837,4.949999809265137,6438959.75189209,ANY,3.372659683227539,,0.970873786407767,19.613612602379074,0.970873786407767,0.9888000392913818,WIN,False,False,0,0.622
26.0,2.0,1.0,13.680000305175781,465.0,1441.5001773834229,15.0,1000.0,1.4880584478378296,2.9386420249938965,505300.0,0.5,9.721599578857422,12.296799659729004,13.584400177001953,2021-02-10,2021-01-26,ACHR,TP1,1000.0,1000.0,1000.0,505300.0,29.3005709246152,10.579999923706055,5346073.961448669,ANY,1.9022388458251953,,2.150537634408602,20.326442815845436,2.150537634408602,1.4415001773834228,WIN,False,False,0,0.622
27.0,2.0,2.0,14.079999923706055,582.0,2037.0,15.0,1000.0,1.4880584478378296,2.9386420249938965,505300.0,0.5,9.721599578857422,12.296799659729004,13.584400177001953,2021-02-11,2021-01-26,ACHR,TP2,1000.0,1000.0,1000.0,505300.0,33.081285682788454,10.579999923706055,5346073.961448669,ANY,1.9022388458251953,,1.7182130584192439,16.24019915698991,1.7182130584192439,2.037,WIN,True,False,0,0.622
27.0,20.0,1.0,55.62821578979492,102.0,794.6913757324219,15.0,1000.0,0.9504397511482239,3.2162418365478516,125900.0,0.5,43.94157791137695,55.62821578979492,61.471534729003906,2021-02-11,2021-01-26,ARCC1,TP1,1000.0,1000.0,1000.0,125900.0,16.28670640814372,47.83712387084961,6022693.895339966,ANY,5.489266872406006,,9.803921568627452,20.494379208699968,9.803921568627452,0.7946913757324219,WIN,False,False,0,0.622
29.0,7.0,1.0,23.92304801940918,231.0,862.3877220153809,15.0,1000.0,1.7911418676376343,2.8908987045288086,10717100.0,0.5,18.464759826660156,23.63978385925293,26.227296829223633,2021-02-16,2021-01-26,AES,TP1,1000.0,1000.0,1000.0,10717100.0,18.49095151528263,20.189767837524414,216375760.8915329,ANY,-3.6749107837677,,4.329004329004329,21.44157557353633,4.329004329004329,0.8623877220153808,WIN,False,False,0,0.622
33.0,17.0,1.0,33.040000915527344,177.0,927.480297088623,28.0,1000.0,0.9539981484413147,9.869502067565918,123600.0,0.6005128026008606,25.54399871826172,32.3120002746582,35.69599914550781,2021-02-22,2021-02-12,ANOR,TP1,1000.0,1000.0,1000.0,123600.0,18.848927418247126,27.799999237060547,3436079.9057006836,ANY,9.9031400680542,,5.649717514124294,20.322725428684834,5.649717514124294,0.927480297088623,WIN,False,False,0,0.622
33.0,69.0,0.0,273.2183837890625,43.0,-1051.9279174804688,28.0,1000.0,2.108309507369995,3.728736162185669,21371100.0,0.5848076939582825,274.9320068359375,343.18145751953125,377.30615234375,2021-02-22,2021-02-12,PYPL,STOP,1000.0,1000.0,1000.0,21371100.0,-8.217982419899537,297.68182373046875,6361788023.126221,ANY,16.133420944213867,,23.25581395348837,7.812305656439735,23.25581395348837,-1.0519279174804688,LOSS,False,True,0,0.622
34.0,53.0,0.0,13.702655792236328,821.0,-998.8602619171143,28.0,1000.0,1.601975679397583,3.0588502883911133,450828000.0,0.5753846168518066,13.702655792236328,17.352571487426758,19.177528381347656,2021-02-23,2021-02-12,NVDA,STOP,1000.0,1000.0,1000.0,450828000.0,-8.154799656916696,14.919294357299805,6726035636.512756,ANY,9.152325630187988,,1.218026796589525,8.164104597839518,1.218026796589525,-0.9988602619171143,LOSS,False,False,0,0.622
