day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,entry_score,stop_loss,tp1_target,tp2_target,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct,pattern_confidence,pattern_type,pattern_bonus,stop_distance,stop_distance_pct,risk_per_share,r_multiple,outcome,is_big_win,is_big_loss
25.0,123.0,1.0,17.35649299621582,273.0,518.8706343727107,22.0,1000.0,1.9130667448043823,2.441842555999756,23063100.0,0.7502102851867676,14.214205741882324,16.929841995239258,19.042001724243164,2020-02-07,2020-02-04,GEN,TP1,1000.0,1000.0,1000.0,23063100.0,12.29710967394064,15.455867961883547,356460228.3917164,BREAKOUT,9.20102310180664,0.0,NONE,0.0,3.663003663003663,23.699760324280533,3.663003663003663,0.5188706343727107,WIN,False,False
35.0,170.0,0.0,157.77491760253906,75.0,-1017.0900810241709,22.0,1000.0,1.10504949092865,1.4611245393753052,30107000.0,0.8123339414596558,157.77491760253906,187.57762145996094,210.75750732421875,2020-02-24,2020-02-04,MSFT,STOP,1000.0,1000.0,1000.0,30107000.0,-7.914969233908995,171.33611868286135,5158416525.184907,BREAKOUT,8.499156951904297,0.0,NONE,0.0,13.333333333333334,7.781974656501343,13.333333333333334,-1.017090081024171,LOSS,False,True
38.0,109.0,0.0,172.094482421875,66.0,-1258.9525861816403,22.0,1000.0,1.4745090007781982,1.3641762733459473,1612700.0,0.1535000056028366,175.703369140625,209.727783203125,236.1912078857422,2020-02-27,2020-02-04,ECMN,STOP,1000.0,1000.0,1000.0,1612700.0,-9.978075492514698,191.1695216064453,308299087.4947143,BREAKOUT,4.415266513824463,0.0,NONE,0.0,15.151515151515152,7.925696012729007,15.151515151515152,-1.2589525861816404,LOSS,False,True
39.0,29.0,0.0,92.17511749267578,124.0,-1019.1847465209956,21.0,1000.0,3.859534978866577,1.4582651853561401,311345984.0,0.6941016912460327,92.17511749267578,110.25360107421875,124.31463623046875,2020-02-28,2020-02-03,AMZN,STOP,1000.0,1000.0,1000.0,311345984.0,-8.186946658350628,100.394349319458,31257377476.906384,BREAKOUT,6.041738510131836,0.0,NONE,0.0,8.064516129032258,8.032838684347375,8.064516129032258,-1.0191847465209956,LOSS,False,True
39.0,78.0,0.0,490.6531982421875,24.0,-1017.0743027343746,21.0,1000.0,1.630805492401123,1.9437086582183838,2053600.0,0.1535000056028366,490.6531982421875,583.7960205078125,656.2404174804688,2020-02-28,2020-02-03,CHTRQ,STOP,1000.0,1000.0,1000.0,2053600.0,-7.950395485073216,533.0312941894531,1094633065.7474608,BREAKOUT,5.097123622894287,0.0,NONE,0.0,41.666666666666664,7.8169269085835795,41.666666666666664,-1.0170743027343745,LOSS,False,True
39.0,190.0,0.0,91.21493530273438,128.0,-1019.9994609374995,22.0,1000.0,1.2535113096237183,1.6085532903671265,2505172.0,0.6044141054153442,91.21493530273438,108.73414611816406,122.3602066040039,2020-02-28,2020-02-04,TT,STOP,1000.0,1000.0,1000.0,2505172.0,-8.034331556254886,99.18368109130859,248472180.72687572,BREAKOUT,4.5979108810424805,0.0,NONE,0.0,7.8125,7.876799806217925,7.8125,-1.0199994609374996,LOSS,False,True
45.0,123.0,0.0,14.214205741882324,555.0,-685.6345932483677,22.0,1000.0,1.9130667448043823,2.441842555999756,23063100.0,0.7502102851867676,14.214205741882324,16.929841995239258,19.042001724243164,2020-03-09,2020-02-04,GEN,STOP,1000.0,1000.0,1000.0,23063100.0,-7.996187434426762,15.44958338737488,356315286.6213656,BREAKOUT,9.20102310180664,0.0,NONE,0.0,1.8018018018018018,11.662462065314989,1.8018018018018018,-0.6856345932483676,LOSS,False,False
46.0,190.0,0.0,94.88672637939453,115.0,-1020.3433486175543,43.0,1000.0,1.358130931854248,3.033135175704956,3380400.0,0.820695161819458,94.88672637939453,114.42298126220703,129.6178436279297,2020-03-10,2020-03-05,TT,STOP,1000.0,1000.0,1000.0,3380400.0,-8.551091616880797,103.75927723693849,350747860.7717469,BREAKOUT,2.1869969367980957,0.0,NONE,0.0,8.695652173913043,8.380602106601197,8.695652173913043,-1.0203433486175544,LOSS,False,True
48.0,183.0,0.0,21.375064849853516,493.0,-1670.593023948669,44.0,1000.0,1.4380751848220825,2.609727382659912,2376750.0,0.1535000056028366,22.695005416870117,27.253360748291016,30.798749923706055,2020-03-12,2020-03-06,ROL,STOP,1000.0,1000.0,1000.0,2376750.0,-13.683851616848312,24.763691673278807,58857104.1844654,BREAKOUT,1.1501848697662354,0.0,NONE,0.0,2.028397565922921,8.1910144605445,2.028397565922921,-1.670593023948669,LOSS,False,True
50.0,126.0,0.0,1.0006999969482422,10893.0,-1021.7783717250829,50.0,1000.0,1.6399747133255005,9.763157844543457,23148800.0,0.22172504663467407,1.0006999969482422,1.2072499990463257,1.367900013923645,2020-03-16,2020-03-16,GME,STOP,1000.0,1000.0,1000.0,23148800.0,-8.570238182236473,1.094501371383667,25336393.345886234,BREAKOUT,11.721842765808105,0.0,NONE,0.0,0.09180207472688882,8.387570552865801,0.09180207472688882,-1.021778371725083,LOSS,False,True
53.0,31.0,1.0,26.832000732421875,156.0,402.22041101074205,53.0,1000.0,1.545127034187317,8.615302085876465,169400.0,0.8787774443626404,22.09440040588379,26.832000732421875,30.516799926757812,2020-03-19,2020-03-19,APEX,TP1,1000.0,1000.0,1000.0,169400.0,10.630706712008536,24.2536647644043,4108570.811090088,BREAKOUT,6.089170455932617,0.0,NONE,0.0,6.410256410256411,26.43005282923005,6.410256410256411,0.4022204110107421,WIN,False,False
55.0,31.0,0.0,21.510000228881836,318.0,-869.1005299758914,53.0,1000.0,1.545127034187317,8.615302085876465,169400.0,0.8787774443626404,22.09440040588379,26.832000732421875,30.516799926757812,2020-03-23,2020-03-19,APEX,STOP,1000.0,1000.0,1000.0,169400.0,-11.27343230527514,24.24302076339722,4106767.717319489,BREAKOUT,6.089170455932617,0.0,NONE,0.0,3.1446540880503147,12.971378933099789,3.1446540880503147,-0.8691005299758914,LOSS,False,False
70.0,29.0,1.0,114.16600036621094,41.0,547.664327911377,66.0,1000.0,0.797700822353363,4.545587539672852,115464000.0,0.9047596454620361,92.58964538574219,110.56795501708984,124.55107879638672,2020-04-14,2020-04-07,AMZN,TP1,1000.0,1000.0,1000.0,115464000.0,13.250557792883447,100.80833383178711,11639733457.553467,BREAKOUT,7.066007614135742,0.0,NONE,0.0,24.390243902439025,24.19467019774137,24.390243902439025,0.547664327911377,WIN,False,False
72.0,97.0,0.0,14.530129432678223,788.0,-1021.7683308792117,61.0,1000.0,1.1437982320785522,8.24078369140625,1798800.0,0.2796098291873932,14.530129432678223,17.382230758666992,19.60053062438965,2020-04-16,2020-03-31,CVAT,STOP,1000.0,1000.0,1000.0,1798800.0,-8.192819509012404,15.826789751052857,28469229.40419388,BREAKOUT,10.249638557434082,0.0,NONE,0.0,1.2690355329949239,8.018275044757594,1.2690355329949239,-1.0217683308792116,LOSS,False,True
