day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,entry_score,stop_loss,tp1_target,tp2_target,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct,pattern_confidence,pattern_type,pattern_bonus,stop_distance,stop_distance_pct,risk_per_share,r_multiple,outcome,is_big_win,is_big_loss
59.0,32.0,0.0,3.110173225402832,3611.0,-1328.3780426979065,56.0,1000.0,0.696411669254303,3.1336421966552734,3573800.0,0.6323185563087463,3.2011373043060303,3.8241751194000244,4.308760166168213,2019-03-28,2019-03-25,GFI,STOP,1000.0,1000.0,1000.0,3573800.0,-10.576920572224923,3.4780430793762207,12429830.357074738,VCP,5.150763034820557,0.0,NONE,0.0,0.27693159789531985,7.962281995224364,0.27693159789531985,-1.3283780426979066,LOSS,False,True
78.0,53.0,0.0,468.54119873046875,24.0,-994.77099609375,62.0,1000.0,0.7290114164352417,3.281242847442627,648000.0,0.9936363697052002,468.54119873046875,561.8009643554688,634.3363647460938,2019-04-25,2019-04-02,MELI,STOP,1000.0,1000.0,1000.0,648000.0,-8.127373536264452,509.989990234375,330473513.671875,VCP,4.2118754386901855,0.0,NONE,0.0,41.666666666666664,8.170094994907254,41.666666666666664,-0.99477099609375,LOSS,False,False
88.0,73.0,0.0,3.8186850547790527,3063.0,-999.7465310096741,70.0,1000.0,1.0069355964660645,1.5151530504226685,6922400.0,0.5386688113212585,3.8186850547790527,4.553072929382324,5.124263286590576,2019-05-09,2019-04-12,SAN,STOP,1000.0,1000.0,1000.0,6922400.0,-7.874265115447594,4.145079612731934,28693899.111175537,VCP,5.176140785217285,0.0,NONE,0.0,0.32647730982696704,7.876261503498429,0.32647730982696704,-0.999746531009674,LOSS,False,False
98.0,13.0,0.0,40.56399917602539,279.0,-997.7040596008301,69.0,1000.0,0.5888611674308777,2.2413458824157715,168800.0,0.5013715028762817,40.56399917602539,48.61000061035156,54.86800003051758,2019-05-23,2019-04-11,AVNS,STOP,1000.0,1000.0,1000.0,168800.0,-8.101495838402025,44.13999938964844,7450831.896972656,VCP,2.9216301441192627,0.0,NONE,0.0,3.5842293906810037,8.120139194024468,3.5842293906810037,-0.9977040596008301,LOSS,False,False
113.0,79.0,0.0,30.07353973388672,369.0,-998.0218048095703,55.0,1000.0,0.9115612506866455,2.221254348754883,2051300.0,0.573392927646637,30.07353973388672,36.15903854370117,40.8922004699707,2019-06-14,2019-03-22,TRGP,STOP,1000.0,1000.0,1000.0,2051300.0,-8.251416042389915,32.77820587158203,67237933.70437622,VCP,-0.04663257673382759,0.0,NONE,0.0,2.710027100271003,8.26777130782663,2.710027100271003,-0.9980218048095704,LOSS,False,False
118.0,64.0,1.0,146.77899169921875,30.0,408.2698059082031,111.0,1000.0,0.9646057486534119,2.7566678524017334,481700.0,0.2643266022205353,122.28279876708984,146.77899169921875,165.83160400390625,2019-06-21,2019-06-12,OGN,TP1,1000.0,1000.0,1000.0,481700.0,10.219263886306036,133.1699981689453,64147988.11798096,VCP,0.7687994241714478,0.0,NONE,0.0,33.333333333333336,25.030662905803457,33.333333333333336,0.4082698059082031,WIN,False,False
124.0,64.0,2.0,165.83160400390625,30.0,979.8481750488281,111.0,1000.0,0.9646057486534119,2.7566678524017334,481700.0,0.2643266022205353,122.28279876708984,146.77899169921875,165.83160400390625,2019-07-01,2019-06-12,OGN,TP2,1000.0,1000.0,1000.0,481700.0,24.526249368513913,133.1699981689453,64147988.11798096,VCP,0.7687994241714478,0.0,NONE,0.0,33.333333333333336,25.030662905803457,33.333333333333336,0.9798481750488282,WIN,False,False
127.0,70.0,1.0,56.47075653076172,80.0,406.95587158203125,58.0,1000.0,0.6603750586509705,1.46987783908844,942900.0,0.7050535678863525,47.314247131347656,56.47075653076172,63.59248733520508,2019-07-05,2019-03-27,QSR,TP1,1000.0,1000.0,1000.0,942900.0,9.899905396876916,51.38380813598633,48449792.69142151,VCP,3.418978691101074,0.0,NONE,0.0,12.5,24.326729476567742,12.5,0.4069558715820312,WIN,False,False
129.0,14.0,1.0,1145.654052734375,3.0,315.7620849609375,67.0,1000.0,1.0160231590270996,1.750209093093872,290100.0,0.9340909123420715,956.1968383789062,1145.654052734375,1293.0096435546875,2019-07-09,2019-04-09,AZO,TP1,1000.0,1000.0,1000.0,290100.0,10.116688374703756,1040.4000244140625,301820047.08251953,VCP,3.5430991649627686,0.0,NONE,0.0,333.3333333333333,32.0389586227722,333.3333333333333,0.3157620849609375,WIN,False,False
132.0,64.0,3.0,140.6699981689453,31.0,232.5,111.0,1000.0,0.9646057486534119,2.7566678524017334,481700.0,0.2643266022205353,122.28279876708984,146.77899169921875,165.83160400390625,2019-07-12,2019-06-12,OGN,RUNNER,1000.0,1000.0,1000.0,481700.0,5.631899153805777,133.1699981689453,64147988.11798096,VCP,0.7687994241714478,0.0,NONE,0.0,32.25806451612903,24.22322216690657,32.25806451612903,0.2325,WIN,False,False
