number,value,datetime_start,datetime_complete,duration,params_max_exposure_pct,params_min_adr,params_min_rvol,params_risk_dollars,params_rvol_danger_size,params_signal_type,params_tp1_r,params_tp2_r,state
0,-999.0,2026-01-09 22:27:05.434558,2026-01-09 22:27:18.040414,0 days 00:00:12.605856,0.2,2.0,1.5,200,0.4,any,2.0,3.5,COMPLETE
1,-999.0,2026-01-09 22:27:18.046762,2026-01-09 22:27:18.283284,0 days 00:00:00.236522,0.25,1.0,2.0,250,0.35,any,2.0,3.0,COMPLETE
2,0.04426169002194595,2026-01-09 22:27:18.285667,2026-01-09 22:27:19.463084,0 days 00:00:01.177417,0.2,1.5,2.0,150,0.35,breakout,2.0,4.0,COMPLETE
3,0.1419295643878189,2026-01-09 22:27:19.465945,2026-01-09 22:27:20.598612,0 days 00:00:01.132667,0.2,1.5,2.0,250,0.3,breakout,1.75,2.5,COMPLETE
4,-999.0,2026-01-09 22:27:20.600558,2026-01-09 22:27:20.822929,0 days 00:00:00.222371,0.2,2.0,2.0,150,0.3,any,2.0,4.0,COMPLETE
5,-999.0,2026-01-09 22:27:20.825063,2026-01-09 22:27:21.048133,0 days 00:00:00.223070,0.25,1.0,1.5,150,0.35,any,1.75,3.5,COMPLETE
6,0.17084199114567725,2026-01-09 22:27:21.050395,2026-01-09 22:27:21.903437,0 days 00:00:00.853042,0.2,1.0,1.0,200,0.25,breakout,1.25,3.5,COMPLETE
7,0.07390893621700277,2026-01-09 22:27:21.905819,2026-01-09 22:27:22.720436,0 days 00:00:00.814617,0.25,1.5,1.0,150,0.4,breakout,1.5,4.0,COMPLETE
8,-999.0,2026-01-09 22:27:22.722882,2026-01-09 22:27:22.932969,0 days 00:00:00.210087,0.2,2.0,1.0,250,0.25,any,1.5,2.5,COMPLETE
9,0.2486909168617533,2026-01-09 22:27:22.934920,2026-01-09 22:27:23.707244,0 days 00:00:00.772324,0.25,2.0,1.5,200,0.25,breakout,1.25,2.5,COMPLETE
10,0.2486909168617533,2026-01-09 22:27:23.709367,2026-01-09 22:27:24.500693,0 days 00:00:00.791326,0.3,2.0,1.5,200,0.25,breakout,1.25,2.5,COMPLETE
11,0.2486909168617533,2026-01-09 22:27:24.502957,2026-01-09 22:27:25.217412,0 days 00:00:00.714455,0.3,2.0,1.5,200,0.25,breakout,1.25,2.5,COMPLETE
12,0.2486909168617533,2026-01-09 22:27:25.220304,2026-01-09 22:27:26.132634,0 days 00:00:00.912330,0.3,2.0,1.5,200,0.25,breakout,1.25,2.5,COMPLETE
13,0.2486909168617533,2026-01-09 22:27:26.135547,2026-01-09 22:27:27.037281,0 days 00:00:00.901734,0.3,2.0,1.5,200,0.25,breakout,1.25,2.5,COMPLETE
14,0.26644064557733194,2026-01-09 22:27:27.039917,2026-01-09 22:27:27.942154,0 days 00:00:00.902237,0.3,2.0,1.5,200,0.25,breakout,1.25,3.0,COMPLETE
15,0.26644064557733194,2026-01-09 22:27:27.944389,2026-01-09 22:27:28.786407,0 days 00:00:00.842018,0.25,2.0,1.5,200,0.25,breakout,1.25,3.0,COMPLETE
16,0.26644064557733194,2026-01-09 22:27:28.789013,2026-01-09 22:27:29.596871,0 days 00:00:00.807858,0.25,2.0,1.5,200,0.25,breakout,1.25,3.0,COMPLETE
17,0.26896762907463595,2026-01-09 22:27:29.600125,2026-01-09 22:27:30.688918,0 days 00:00:01.088793,0.3,2.0,1.5,200,0.3,breakout,1.25,3.0,COMPLETE
18,0.2883516914706677,2026-01-09 22:27:30.691652,2026-01-09 22:27:31.829585,0 days 00:00:01.137933,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
19,0.22259064627613337,2026-01-09 22:27:31.832703,2026-01-09 22:27:32.953077,0 days 00:00:01.120374,0.3,1.5,1.0,250,0.3,breakout,1.75,3.0,COMPLETE
20,0.2883516914706677,2026-01-09 22:27:32.954949,2026-01-09 22:27:33.737666,0 days 00:00:00.782717,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
21,0.2883516914706677,2026-01-09 22:27:33.739966,2026-01-09 22:27:36.140574,0 days 00:00:02.400608,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
22,0.2883516914706677,2026-01-09 22:27:36.142921,2026-01-09 22:27:36.943142,0 days 00:00:00.800221,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
23,0.2883516914706677,2026-01-09 22:27:36.945344,2026-01-09 22:27:37.688826,0 days 00:00:00.743482,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
24,0.2883516914706677,2026-01-09 22:27:37.691071,2026-01-09 22:27:38.414335,0 days 00:00:00.723264,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
25,0.2883516914706677,2026-01-09 22:27:38.416221,2026-01-09 22:27:39.220393,0 days 00:00:00.804172,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
26,-999.0,2026-01-09 22:27:39.222415,2026-01-09 22:27:39.450341,0 days 00:00:00.227926,0.3,1.5,1.5,200,0.3,any,1.75,3.0,COMPLETE
27,0.2883516914706677,2026-01-09 22:27:39.452363,2026-01-09 22:27:40.248366,0 days 00:00:00.796003,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
28,0.179393471730081,2026-01-09 22:27:40.250572,2026-01-09 22:27:41.061615,0 days 00:00:00.811043,0.3,1.5,2.0,250,0.4,breakout,1.75,3.0,COMPLETE
29,-999.0,2026-01-09 22:27:41.064172,2026-01-09 22:27:41.326253,0 days 00:00:00.262081,0.3,1.5,1.0,150,0.4,any,1.5,3.5,COMPLETE
30,0.2883516914706677,2026-01-09 22:27:41.327943,2026-01-09 22:27:42.309878,0 days 00:00:00.981935,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
31,0.2883516914706677,2026-01-09 22:27:42.311925,2026-01-09 22:27:43.428174,0 days 00:00:01.116249,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
32,0.2883516914706677,2026-01-09 22:27:43.431012,2026-01-09 22:27:44.238732,0 days 00:00:00.807720,0.3,1.5,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
33,0.34286512663016716,2026-01-09 22:27:44.241559,2026-01-09 22:27:44.997093,0 days 00:00:00.755534,0.3,1.0,1.5,200,0.3,breakout,1.75,3.0,COMPLETE
34,0.13947765717558855,2026-01-09 22:27:45.000429,2026-01-09 22:27:45.748673,0 days 00:00:00.748244,0.3,1.0,2.0,200,0.35,breakout,2.0,4.0,COMPLETE
35,-999.0,2026-01-09 22:27:45.750993,2026-01-09 22:27:45.972105,0 days 00:00:00.221112,0.3,1.0,1.5,250,0.3,any,1.75,3.0,COMPLETE
36,0.04056254362315762,2026-01-09 22:27:45.974167,2026-01-09 22:27:47.063984,0 days 00:00:01.089817,0.2,1.0,2.0,150,0.3,breakout,2.0,3.5,COMPLETE
37,0.3471787660439341,2026-01-09 22:27:47.066366,2026-01-09 22:27:47.771597,0 days 00:00:00.705231,0.3,1.0,1.5,200,0.35,breakout,1.75,4.0,COMPLETE
38,-999.0,2026-01-09 22:27:47.774064,2026-01-09 22:27:47.982564,0 days 00:00:00.208500,0.2,1.0,1.5,200,0.35,any,1.75,4.0,COMPLETE
39,0.02808457135491331,2026-01-09 22:27:47.986448,2026-01-09 22:27:48.828900,0 days 00:00:00.842452,0.3,1.0,2.0,150,0.35,breakout,1.5,4.0,COMPLETE
40,0.23084224083315144,2026-01-09 22:27:48.831138,2026-01-09 22:27:49.587129,0 days 00:00:00.755991,0.25,1.0,1.0,250,0.35,breakout,1.75,4.0,COMPLETE
41,0.3471787660439341,2026-01-09 22:27:49.590152,2026-01-09 22:27:50.375665,0 days 00:00:00.785513,0.3,1.0,1.5,200,0.35,breakout,1.75,4.0,COMPLETE
42,0.3471787660439341,2026-01-09 22:27:50.379046,2026-01-09 22:27:51.391097,0 days 00:00:01.012051,0.3,1.0,1.5,200,0.35,breakout,1.75,4.0,COMPLETE
43,0.3471787660439341,2026-01-09 22:27:51.392988,2026-01-09 22:27:52.286222,0 days 00:00:00.893234,0.3,1.0,1.5,200,0.35,breakout,1.75,4.0,COMPLETE
44,0.35376713286845474,2026-01-09 22:27:52.288177,2026-01-09 22:27:53.226863,0 days 00:00:00.938686,0.2,1.0,1.5,200,0.35,breakout,2.0,4.0,COMPLETE
45,0.35376713286845474,2026-01-09 22:27:53.228720,2026-01-09 22:27:53.987737,0 days 00:00:00.759017,0.2,1.0,1.5,200,0.35,breakout,2.0,4.0,COMPLETE
46,-999.0,2026-01-09 22:27:53.991027,2026-01-09 22:27:54.290707,0 days 00:00:00.299680,0.2,1.0,1.5,200,0.35,any,2.0,4.0,COMPLETE
47,0.2734341548809398,2026-01-09 22:27:54.294128,2026-01-09 22:27:55.328985,0 days 00:00:01.034857,0.2,1.0,1.5,150,0.35,breakout,2.0,4.0,COMPLETE
48,0.1723696570546862,2026-01-09 22:27:55.331941,2026-01-09 22:27:56.120177,0 days 00:00:00.788236,0.2,1.0,1.0,200,0.35,breakout,2.0,4.0,COMPLETE
49,0.35376713286845474,2026-01-09 22:27:56.122638,2026-01-09 22:27:57.011731,0 days 00:00:00.889093,0.2,1.0,1.5,200,0.35,breakout,2.0,4.0,COMPLETE
