number,value,datetime_start,datetime_complete,duration,params_max_exposure_pct,params_min_adr,params_min_rvol,params_risk_dollars,params_rvol_danger_size,params_signal_type,params_tp1_r,params_tp2_r,state
0,-999.0,2026-01-09 22:11:49.372559,2026-01-09 22:12:13.131473,0 days 00:00:23.758914,0.2,2.0,1.5,200,0.4,any,2.0,3.5,COMPLETE
1,-999.0,2026-01-09 22:12:13.135080,2026-01-09 22:12:25.510191,0 days 00:00:12.375111,0.25,1.0,2.0,250,0.35,any,2.0,3.0,COMPLETE
2,-999.0,2026-01-09 22:12:25.512602,2026-01-09 22:12:35.400978,0 days 00:00:09.888376,0.2,1.5,2.0,150,0.35,breakout,2.0,4.0,COMPLETE
3,-999.0,2026-01-09 22:12:35.403157,2026-01-09 22:12:45.825418,0 days 00:00:10.422261,0.2,1.5,2.0,250,0.3,breakout,1.75,2.5,COMPLETE
4,-999.0,2026-01-09 22:12:45.827529,2026-01-09 22:12:58.533636,0 days 00:00:12.706107,0.2,2.0,2.0,150,0.3,any,2.0,4.0,COMPLETE
5,-999.0,2026-01-09 22:12:58.536048,2026-01-09 22:13:08.985436,0 days 00:00:10.449388,0.25,1.0,1.5,150,0.35,any,1.75,3.5,COMPLETE
6,-999.0,2026-01-09 22:13:08.989058,2026-01-09 22:13:18.866676,0 days 00:00:09.877618,0.2,1.0,1.0,200,0.25,breakout,1.25,3.5,COMPLETE
7,-999.0,2026-01-09 22:13:18.868668,2026-01-09 22:13:30.226179,0 days 00:00:11.357511,0.25,1.5,1.0,150,0.4,breakout,1.5,4.0,COMPLETE
8,-999.0,2026-01-09 22:13:30.228211,2026-01-09 22:13:40.311158,0 days 00:00:10.082947,0.2,2.0,1.0,250,0.25,any,1.5,2.5,COMPLETE
9,-999.0,2026-01-09 22:13:40.313196,2026-01-09 22:13:50.596835,0 days 00:00:10.283639,0.25,2.0,1.5,200,0.25,breakout,1.25,2.5,COMPLETE
10,-999.0,2026-01-09 22:13:50.598743,2026-01-09 22:14:02.620313,0 days 00:00:12.021570,0.3,2.0,1.5,200,0.4,any,2.0,3.5,COMPLETE
11,-999.0,2026-01-09 22:14:02.622495,2026-01-09 22:14:12.450390,0 days 00:00:09.827895,0.3,1.0,1.5,250,0.35,any,2.0,3.0,COMPLETE
12,-999.0,2026-01-09 22:14:12.452366,2026-01-09 22:14:22.056796,0 days 00:00:09.604430,0.25,1.0,2.0,250,0.4,any,2.0,3.0,COMPLETE
13,-999.0,2026-01-09 22:14:22.058840,2026-01-09 22:14:32.562139,0 days 00:00:10.503299,0.25,1.0,2.0,200,0.4,any,2.0,3.0,COMPLETE
14,-999.0,2026-01-09 22:14:32.564369,2026-01-09 22:14:45.094372,0 days 00:00:12.530003,0.3,2.0,1.5,250,0.35,any,2.0,3.0,COMPLETE
15,-999.0,2026-01-09 22:14:45.098162,2026-01-09 22:14:55.017969,0 days 00:00:09.919807,0.2,2.0,2.0,200,0.4,any,2.0,3.5,COMPLETE
16,-999.0,2026-01-09 22:14:55.019917,2026-01-09 22:15:05.865871,0 days 00:00:10.845954,0.25,1.0,1.5,200,0.35,any,1.75,3.0,COMPLETE
17,-999.0,2026-01-09 22:15:05.868649,2026-01-09 22:15:18.591167,0 days 00:00:12.722518,0.2,1.0,1.5,250,0.3,any,1.5,3.5,COMPLETE
18,-999.0,2026-01-09 22:15:18.593198,2026-01-09 22:15:28.608816,0 days 00:00:10.015618,0.25,2.0,2.0,250,0.4,any,1.25,3.5,COMPLETE
19,-999.0,2026-01-09 22:15:28.611206,2026-01-09 22:15:38.670760,0 days 00:00:10.059554,0.3,1.5,1.0,200,0.35,any,2.0,3.0,COMPLETE
20,-999.0,2026-01-09 22:15:38.673052,2026-01-09 22:15:50.907246,0 days 00:00:12.234194,0.2,2.0,2.0,250,0.35,any,2.0,3.5,COMPLETE
21,-999.0,2026-01-09 22:15:50.909451,2026-01-09 22:16:01.236670,0 days 00:00:10.327219,0.2,1.5,2.0,150,0.35,breakout,2.0,4.0,COMPLETE
22,-999.0,2026-01-09 22:16:01.238845,2026-01-09 22:16:12.285118,0 days 00:00:11.046273,0.2,1.5,2.0,150,0.35,breakout,2.0,4.0,COMPLETE
23,-999.0,2026-01-09 22:16:12.287559,2026-01-09 22:16:24.871177,0 days 00:00:12.583618,0.2,1.5,2.0,150,0.35,breakout,2.0,4.0,COMPLETE
24,-999.0,2026-01-09 22:16:24.873561,2026-01-09 22:16:34.408157,0 days 00:00:09.534596,0.2,1.5,2.0,150,0.35,breakout,2.0,4.0,COMPLETE
25,-999.0,2026-01-09 22:16:34.410654,2026-01-09 22:16:45.029468,0 days 00:00:10.618814,0.25,1.5,1.5,150,0.4,breakout,2.0,4.0,COMPLETE
26,-999.0,2026-01-09 22:16:45.032481,2026-01-09 22:16:57.086123,0 days 00:00:12.053642,0.2,1.0,2.0,200,0.3,breakout,1.75,3.0,COMPLETE
27,-999.0,2026-01-09 22:16:57.088316,2026-01-09 22:17:07.134155,0 days 00:00:10.045839,0.2,2.0,2.0,250,0.25,any,1.5,2.5,COMPLETE
28,-999.0,2026-01-09 22:17:07.136367,2026-01-09 22:17:17.651003,0 days 00:00:10.514636,0.3,1.5,1.0,200,0.35,breakout,2.0,4.0,COMPLETE
29,-999.0,2026-01-09 22:17:17.653317,2026-01-09 22:17:30.308266,0 days 00:00:12.654949,0.25,1.0,1.5,150,0.4,breakout,1.25,2.5,COMPLETE
30,-999.0,2026-01-09 22:17:30.310777,2026-01-09 22:17:40.548466,0 days 00:00:10.237689,0.2,1.5,2.0,250,0.3,any,1.75,3.0,COMPLETE
31,-999.0,2026-01-09 22:17:40.550602,2026-01-09 22:17:50.926655,0 days 00:00:10.376053,0.2,1.5,2.0,250,0.3,breakout,1.75,2.5,COMPLETE
32,-999.0,2026-01-09 22:17:50.928816,2026-01-09 22:18:02.841010,0 days 00:00:11.912194,0.2,1.5,2.0,250,0.3,breakout,1.75,2.5,COMPLETE
33,-999.0,2026-01-09 22:18:02.843430,2026-01-09 22:18:13.051043,0 days 00:00:10.207613,0.2,1.5,2.0,250,0.3,breakout,1.75,2.5,COMPLETE
34,-999.0,2026-01-09 22:18:13.053123,2026-01-09 22:18:23.253605,0 days 00:00:10.200482,0.2,1.0,2.0,150,0.3,breakout,1.75,3.5,COMPLETE
35,-999.0,2026-01-09 22:18:23.255752,2026-01-09 22:18:35.371112,0 days 00:00:12.115360,0.2,1.5,1.0,150,0.35,breakout,2.0,4.0,COMPLETE
36,-999.0,2026-01-09 22:18:35.373431,2026-01-09 22:18:45.385868,0 days 00:00:10.012437,0.25,2.0,1.5,250,0.25,any,1.25,2.5,COMPLETE
37,-999.0,2026-01-09 22:18:45.388024,2026-01-09 22:18:55.121205,0 days 00:00:09.733181,0.2,2.0,2.0,200,0.3,breakout,1.5,3.5,COMPLETE
38,-999.0,2026-01-09 22:18:55.123811,2026-01-09 22:19:05.133690,0 days 00:00:10.009879,0.25,1.0,1.0,250,0.25,any,1.75,2.5,COMPLETE
39,-999.0,2026-01-09 22:19:05.136305,2026-01-09 22:19:16.528947,0 days 00:00:11.392642,0.2,1.5,1.5,200,0.4,any,2.0,3.5,COMPLETE
40,-999.0,2026-01-09 22:19:16.530925,2026-01-09 22:19:25.795311,0 days 00:00:09.264386,0.3,2.0,2.0,150,0.35,breakout,2.0,4.0,COMPLETE
41,-999.0,2026-01-09 22:19:25.797359,2026-01-09 22:19:35.205970,0 days 00:00:09.408611,0.2,2.0,2.0,150,0.3,any,2.0,4.0,COMPLETE
42,-999.0,2026-01-09 22:19:35.207983,2026-01-09 22:19:46.676507,0 days 00:00:11.468524,0.2,2.0,2.0,150,0.3,any,2.0,4.0,COMPLETE
43,-999.0,2026-01-09 22:19:46.678548,2026-01-09 22:19:55.508275,0 days 00:00:08.829727,0.2,2.0,2.0,150,0.3,any,2.0,3.0,COMPLETE
44,-999.0,2026-01-09 22:19:55.510517,2026-01-09 22:20:04.732102,0 days 00:00:09.221585,0.25,1.0,1.5,250,0.4,any,2.0,4.0,COMPLETE
45,-999.0,2026-01-09 22:20:04.734304,2026-01-09 22:20:16.013745,0 days 00:00:11.279441,0.2,2.0,2.0,200,0.3,any,1.5,3.0,COMPLETE
46,-999.0,2026-01-09 22:20:16.016350,2026-01-09 22:20:25.191099,0 days 00:00:09.174749,0.25,2.0,1.5,150,0.4,any,1.25,3.5,COMPLETE
47,-999.0,2026-01-09 22:20:25.193318,2026-01-09 22:20:34.324978,0 days 00:00:09.131660,0.3,1.0,2.0,250,0.35,any,2.0,4.0,COMPLETE
48,-999.0,2026-01-09 22:20:34.327062,2026-01-09 22:20:43.774720,0 days 00:00:09.447658,0.2,2.0,1.0,200,0.25,any,2.0,3.0,COMPLETE
49,-999.0,2026-01-09 22:20:43.776788,2026-01-09 22:20:55.005105,0 days 00:00:11.228317,0.25,1.5,2.0,250,0.35,any,2.0,3.5,COMPLETE
