number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
29,0.3609991443299731,2026-01-10 01:16:56.947516,2026-01-10 01:16:57.802312,0 days 00:00:00.854796,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.5,2.5,0.7,COMPLETE
30,0.39173165785767894,2026-01-10 01:16:57.804759,2026-01-10 01:16:58.693410,0 days 00:00:00.888651,20.0,25.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
31,0.39173165785767894,2026-01-10 01:16:58.695933,2026-01-10 01:16:59.471914,0 days 00:00:00.775981,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
32,0.39173165785767894,2026-01-10 01:16:59.474136,2026-01-10 01:17:00.361565,0 days 00:00:00.887429,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
33,0.39173165785767894,2026-01-10 01:17:00.363819,2026-01-10 01:17:01.144341,0 days 00:00:00.780522,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
34,0.3258386449601931,2026-01-10 01:17:01.147360,2026-01-10 01:17:01.996649,0 days 00:00:00.849289,20.0,15.0,0.07,40.0,10,5000000.0,100000,False,3.5,2.0,0.7,COMPLETE
35,0.39173165785767894,2026-01-10 01:17:01.999355,2026-01-10 01:17:02.850706,0 days 00:00:00.851351,20.0,15.0,0.08,40.0,10,5000000.0,100000,False,3.0,2.0,0.6,COMPLETE
36,0.34471560333106377,2026-01-10 01:17:02.852972,2026-01-10 01:17:03.605829,0 days 00:00:00.752857,15.0,25.0,0.07,40.0,5,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
37,0.37735047364498675,2026-01-10 01:17:03.613384,2026-01-10 01:17:04.466637,0 days 00:00:00.853253,20.0,15.0,0.08,50.0,10,5000000.0,100000,False,3.5,2.0,0.7,COMPLETE
38,0.3145298862460369,2026-01-10 01:17:04.469664,2026-01-10 01:17:05.319265,0 days 00:00:00.849601,20.0,25.0,0.07,40.0,5,10000000.0,200000,False,3.0,2.5,0.6,COMPLETE
39,0.3833960517967226,2026-01-10 01:17:05.321158,2026-01-10 01:17:06.074413,0 days 00:00:00.753255,15.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.5,2.0,0.6,COMPLETE
40,0.39055026222190115,2026-01-10 01:17:06.076600,2026-01-10 01:17:06.896187,0 days 00:00:00.819587,25.0,15.0,0.08,40.0,10,5000000.0,100000,False,3.0,2.0,0.65,COMPLETE
41,0.39173165785767894,2026-01-10 01:17:06.898166,2026-01-10 01:17:07.547125,0 days 00:00:00.648959,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
42,0.39173165785767894,2026-01-10 01:17:07.549123,2026-01-10 01:17:08.179398,0 days 00:00:00.630275,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
43,0.39173165785767894,2026-01-10 01:17:08.181603,2026-01-10 01:17:08.880388,0 days 00:00:00.698785,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
44,0.39173165785767894,2026-01-10 01:17:08.882493,2026-01-10 01:17:09.550681,0 days 00:00:00.668188,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
45,0.33961386931117704,2026-01-10 01:17:09.552660,2026-01-10 01:17:10.187381,0 days 00:00:00.634721,20.0,20.0,0.07,50.0,10,10000000.0,200000,False,3.0,2.0,0.65,COMPLETE
46,0.36783366015466984,2026-01-10 01:17:10.189289,2026-01-10 01:17:10.788926,0 days 00:00:00.599637,25.0,15.0,0.08,50.0,5,10000000.0,100000,False,3.0,2.5,0.6,COMPLETE
47,0.3833960517967226,2026-01-10 01:17:10.791539,2026-01-10 01:17:11.384935,0 days 00:00:00.593396,15.0,20.0,0.08,40.0,10,10000000.0,100000,False,3.5,2.0,0.6,COMPLETE
48,0.38428957205537734,2026-01-10 01:17:11.386836,2026-01-10 01:17:11.965967,0 days 00:00:00.579131,20.0,15.0,0.08,50.0,10,5000000.0,200000,False,3.0,2.0,0.7,COMPLETE
49,0.3424591692407447,2026-01-10 01:17:11.968179,2026-01-10 01:17:12.651672,0 days 00:00:00.683493,20.0,20.0,0.07,40.0,10,10000000.0,100000,False,3.0,2.0,0.65,COMPLETE
50,0.39173165785767894,2026-01-10 01:17:12.653922,2026-01-10 01:17:13.279794,0 days 00:00:00.625872,25.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
