number,value,datetime_start,datetime_complete,duration,params_max_exposure_pct,params_min_adr,params_min_rvol,params_risk_dollars,params_rvol_danger_size,params_signal_type,params_tp1_r,params_tp2_r,state
0,-999.0,2026-01-10 00:57:14.702050,2026-01-10 00:57:26.120141,0 days 00:00:11.418091,0.2,2.0,1.5,200,0.4,any,2.0,3.5,COMPLETE
1,-999.0,2026-01-10 00:57:26.124772,2026-01-10 00:57:26.459073,0 days 00:00:00.334301,0.25,1.0,2.0,250,0.35,any,2.0,3.0,COMPLETE
2,0.04426169002194595,2026-01-10 00:57:26.461996,2026-01-10 00:57:27.758829,0 days 00:00:01.296833,0.2,1.5,2.0,150,0.35,breakout,2.0,4.0,COMPLETE
3,0.1419295643878189,2026-01-10 00:57:27.762186,2026-01-10 00:57:28.558058,0 days 00:00:00.795872,0.2,1.5,2.0,250,0.3,breakout,1.75,2.5,COMPLETE
4,-999.0,2026-01-10 00:57:28.561019,2026-01-10 00:57:28.813414,0 days 00:00:00.252395,0.2,2.0,2.0,150,0.3,any,2.0,4.0,COMPLETE
5,-999.0,2026-01-10 00:57:28.817086,2026-01-10 00:57:29.085557,0 days 00:00:00.268471,0.25,1.0,1.5,150,0.35,any,1.75,3.5,COMPLETE
6,0.17084199114567725,2026-01-10 00:57:29.088661,2026-01-10 00:57:29.896449,0 days 00:00:00.807788,0.2,1.0,1.0,200,0.25,breakout,1.25,3.5,COMPLETE
7,0.07390893621700277,2026-01-10 00:57:29.902639,2026-01-10 00:57:30.675544,0 days 00:00:00.772905,0.25,1.5,1.0,150,0.4,breakout,1.5,4.0,COMPLETE
8,-999.0,2026-01-10 00:57:30.678861,2026-01-10 00:57:30.940398,0 days 00:00:00.261537,0.2,2.0,1.0,250,0.25,any,1.5,2.5,COMPLETE
9,0.2486909168617533,2026-01-10 00:57:30.943898,2026-01-10 00:57:31.643728,0 days 00:00:00.699830,0.25,2.0,1.5,200,0.25,breakout,1.25,2.5,COMPLETE
10,0.2486909168617533,2026-01-10 00:57:31.647706,2026-01-10 00:57:33.126459,0 days 00:00:01.478753,0.3,2.0,1.5,200,0.25,breakout,1.25,2.5,COMPLETE
11,0.2486909168617533,2026-01-10 00:57:33.130113,2026-01-10 00:57:33.984740,0 days 00:00:00.854627,0.3,2.0,1.5,200,0.25,breakout,1.25,2.5,COMPLETE
