number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
0,0.029387018398537402,2026-01-10 01:03:32.876632,2026-01-10 01:03:33.398028,0 days 00:00:00.521396,15.0,25.0,0.07,50.0,10,5000000.0,100000,False,3.5,2.5,0.7,COMPLETE
1,0.025710247158004247,2026-01-10 01:03:33.400237,2026-01-10 01:03:33.878583,0 days 00:00:00.478346,15.0,25.0,0.07,50.0,10,5000000.0,100000,False,3.5,2.0,0.7,COMPLETE
2,0.2716333351183124,2026-01-10 01:03:33.880781,2026-01-10 01:03:34.378055,0 days 00:00:00.497274,25.0,15.0,0.08,40.0,10,5000000.0,200000,False,3.0,2.0,0.65,COMPLETE
3,0.29130603880130623,2026-01-10 01:03:34.380583,2026-01-10 01:03:34.883272,0 days 00:00:00.502689,25.0,25.0,0.07,50.0,5,5000000.0,200000,False,3.5,2.5,0.65,COMPLETE
4,0.025710247158004247,2026-01-10 01:03:34.885826,2026-01-10 01:03:35.380870,0 days 00:00:00.495044,15.0,15.0,0.07,40.0,5,5000000.0,100000,False,3.5,2.0,0.7,COMPLETE
5,0.30368970813167717,2026-01-10 01:03:35.383179,2026-01-10 01:03:35.843836,0 days 00:00:00.460657,20.0,25.0,0.07,50.0,5,5000000.0,200000,False,3.0,2.0,0.65,COMPLETE
6,0.023622210638946296,2026-01-10 01:03:35.846017,2026-01-10 01:03:36.624602,0 days 00:00:00.778585,15.0,15.0,0.07,40.0,10,10000000.0,100000,False,3.5,2.0,0.65,COMPLETE
7,0.03850521594920741,2026-01-10 01:03:36.628200,2026-01-10 01:03:37.326349,0 days 00:00:00.698149,25.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.5,2.5,0.65,COMPLETE
8,0.03226142348146872,2026-01-10 01:03:37.328621,2026-01-10 01:03:37.774260,0 days 00:00:00.445639,15.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.65,COMPLETE
9,0.012529960105384123,2026-01-10 01:03:37.776407,2026-01-10 01:03:38.198332,0 days 00:00:00.421925,25.0,20.0,0.07,40.0,5,5000000.0,100000,False,3.0,2.0,0.65,COMPLETE
