number,value,datetime_start,datetime_complete,duration,params_max_exposure_pct,params_min_adr,params_min_rvol,params_risk_dollars,params_rvol_danger_size,params_signal_type,params_tp1_r,params_tp2_r,state
0,-999.0,2026-01-09 21:38:36.258504,2026-01-09 21:38:49.687240,0 days 00:00:13.428736,0.2,2.0,2.0,200,0.25,vcp,2.0,4.0,COMPLETE
1,-999.0,2026-01-09 21:38:49.690078,2026-01-09 21:38:50.526926,0 days 00:00:00.836848,0.3,2.5,1.5,200,0.3,any,1.75,2.5,COMPLETE
2,-999.0,2026-01-09 21:38:50.530973,2026-01-09 21:38:51.210020,0 days 00:00:00.679047,0.25,2.0,3.0,250,0.4,breakout,1.5,3.0,COMPLETE
3,-999.0,2026-01-09 21:38:51.214513,2026-01-09 21:38:53.603912,0 days 00:00:02.389399,0.3,1.5,2.0,200,0.25,any,1.25,3.5,COMPLETE
4,-999.0,2026-01-09 21:38:53.605614,2026-01-09 21:38:54.273869,0 days 00:00:00.668255,0.3,2.0,3.0,250,0.3,any,1.5,3.5,COMPLETE
5,-999.0,2026-01-09 21:38:54.275610,2026-01-09 21:38:54.937814,0 days 00:00:00.662204,0.3,2.5,3.0,200,0.25,any,2.0,4.0,COMPLETE
6,-999.0,2026-01-09 21:38:54.939501,2026-01-09 21:38:55.622084,0 days 00:00:00.682583,0.25,2.5,2.5,250,0.25,any,1.5,3.5,COMPLETE
7,-999.0,2026-01-09 21:38:55.623839,2026-01-09 21:38:56.426209,0 days 00:00:00.802370,0.25,2.0,2.5,150,0.25,vcp,1.25,3.5,COMPLETE
8,-999.0,2026-01-09 21:38:56.428308,2026-01-09 21:38:57.100827,0 days 00:00:00.672519,0.2,3.0,3.0,150,0.25,breakout,1.25,4.0,COMPLETE
9,-999.0,2026-01-09 21:38:57.102695,2026-01-09 21:38:57.776173,0 days 00:00:00.673478,0.2,2.5,3.0,150,0.4,breakout,1.75,3.5,COMPLETE
10,-999.0,2026-01-09 21:38:57.777789,2026-01-09 21:38:58.485775,0 days 00:00:00.707986,0.2,1.5,2.0,200,0.35,vcp,2.0,4.0,COMPLETE
11,-999.0,2026-01-09 21:38:58.487560,2026-01-09 21:38:59.190975,0 days 00:00:00.703415,0.2,3.0,1.5,200,0.3,vcp,1.75,2.5,COMPLETE
12,-999.0,2026-01-09 21:38:59.192789,2026-01-09 21:38:59.891256,0 days 00:00:00.698467,0.3,2.5,1.5,200,0.3,vcp,1.75,2.5,COMPLETE
13,-999.0,2026-01-09 21:38:59.893100,2026-01-09 21:39:00.592618,0 days 00:00:00.699518,0.2,2.0,1.5,200,0.35,any,2.0,2.5,COMPLETE
14,-999.0,2026-01-09 21:39:00.594399,2026-01-09 21:39:01.302877,0 days 00:00:00.708478,0.3,2.5,2.0,200,0.3,vcp,2.0,3.0,COMPLETE
15,-999.0,2026-01-09 21:39:01.304516,2026-01-09 21:39:01.986965,0 days 00:00:00.682449,0.3,2.0,1.5,200,0.3,any,1.75,2.5,COMPLETE
16,-999.0,2026-01-09 21:39:01.989082,2026-01-09 21:39:02.667711,0 days 00:00:00.678629,0.2,3.0,2.0,200,0.35,vcp,2.0,4.0,COMPLETE
17,-999.0,2026-01-09 21:39:02.669821,2026-01-09 21:39:03.376358,0 days 00:00:00.706537,0.2,1.5,2.0,200,0.4,vcp,1.75,4.0,COMPLETE
18,-999.0,2026-01-09 21:39:03.378099,2026-01-09 21:39:04.075726,0 days 00:00:00.697627,0.3,2.0,1.5,250,0.25,any,2.0,2.5,COMPLETE
19,-999.0,2026-01-09 21:39:04.077521,2026-01-09 21:39:04.777375,0 days 00:00:00.699854,0.25,2.5,2.5,150,0.3,breakout,1.75,3.0,COMPLETE
