number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
0,-999.0,2026-01-09 21:39:06.767770,2026-01-09 21:39:07.788459,0 days 00:00:01.020689,20.0,20.0,0.08,35.0,10,10000000.0,300000,False,3.5,2.0,0.7,COMPLETE
1,-999.0,2026-01-09 21:39:07.790139,2026-01-09 21:39:08.802205,0 days 00:00:01.012066,17.5,12.5,0.06,50.0,10,20000000.0,200000,True,3.5,2.0,0.7,COMPLETE
2,-999.0,2026-01-09 21:39:08.803962,2026-01-09 21:39:09.765131,0 days 00:00:00.961169,17.5,10.0,0.08,30.0,15,15000000.0,200000,True,3.0,2.0,0.7,COMPLETE
3,-999.0,2026-01-09 21:39:09.766886,2026-01-09 21:39:10.438816,0 days 00:00:00.671930,20.0,15.0,0.06,40.0,10,10000000.0,500000,False,3.5,2.5,0.6,COMPLETE
4,-999.0,2026-01-09 21:39:10.440733,2026-01-09 21:39:11.433034,0 days 00:00:00.992301,17.5,20.0,0.06,35.0,15,10000000.0,300000,True,3.0,2.5,0.7,COMPLETE
5,-999.0,2026-01-09 21:39:11.434985,2026-01-09 21:39:12.419431,0 days 00:00:00.984446,20.0,10.0,0.06,35.0,10,15000000.0,200000,True,3.0,2.5,0.65,COMPLETE
6,-999.0,2026-01-09 21:39:12.421261,2026-01-09 21:39:13.101228,0 days 00:00:00.679967,12.5,15.0,0.07,35.0,10,20000000.0,200000,False,3.5,2.0,0.55,COMPLETE
7,-999.0,2026-01-09 21:39:13.104008,2026-01-09 21:39:14.120891,0 days 00:00:01.016883,15.0,10.0,0.08,30.0,15,20000000.0,200000,True,2.5,2.0,0.7,COMPLETE
8,-999.0,2026-01-09 21:39:14.122748,2026-01-09 21:39:14.815304,0 days 00:00:00.692556,20.0,20.0,0.06,40.0,5,15000000.0,300000,False,3.5,2.0,0.6,COMPLETE
9,-999.0,2026-01-09 21:39:14.817669,2026-01-09 21:39:15.504666,0 days 00:00:00.686997,10.0,15.0,0.06,30.0,5,20000000.0,200000,False,3.0,2.0,0.6,COMPLETE
