number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_require_positive_rs,params_require_sma_trend,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
0,0.9110244666747418,2026-01-15 22:50:35.838807,2026-01-15 22:50:37.420306,0 days 00:00:01.581499,15.0,15.0,0.08,50.0,10,5000000.0,100000,False,True,False,3.5,2.5,0.7,COMPLETE
1,-999.0,2026-01-15 22:50:37.422773,2026-01-15 22:50:41.682621,0 days 00:00:04.259848,20.0,20.0,0.07,50.0,5,5000000.0,200000,True,False,False,4.0,2.5,0.7,COMPLETE
2,-999.0,2026-01-15 22:50:41.684889,2026-01-15 22:50:45.127091,0 days 00:00:03.442202,25.0,15.0,0.1,50.0,10,10000000.0,150000,True,False,False,3.5,2.5,0.6,COMPLETE
3,-999.0,2026-01-15 22:50:45.129770,2026-01-15 22:50:47.729730,0 days 00:00:02.599960,25.0,15.0,0.07,40.0,15,2000000.0,150000,True,True,False,3.0,2.5,0.7,COMPLETE
4,-999.0,2026-01-15 22:50:47.732157,2026-01-15 22:50:50.460361,0 days 00:00:02.728204,15.0,20.0,0.1,50.0,10,2000000.0,100000,False,False,True,4.0,2.5,0.7,COMPLETE
5,1.0412872795109367,2026-01-15 22:50:50.462702,2026-01-15 22:50:52.062020,0 days 00:00:01.599318,30.0,15.0,0.07,50.0,5,10000000.0,150000,False,True,False,4.0,2.0,0.7,COMPLETE
6,-999.0,2026-01-15 22:50:52.064421,2026-01-15 22:50:54.400614,0 days 00:00:02.336193,15.0,25.0,0.07,40.0,5,2000000.0,100000,True,False,False,3.0,2.0,0.6,COMPLETE
7,-999.0,2026-01-15 22:50:54.402804,2026-01-15 22:50:56.804603,0 days 00:00:02.401799,15.0,20.0,0.1,50.0,15,2000000.0,200000,False,False,True,3.0,2.5,0.7,COMPLETE
8,-999.0,2026-01-15 22:50:56.806898,2026-01-15 22:51:00.278865,0 days 00:00:03.471967,20.0,25.0,0.08,50.0,10,10000000.0,150000,True,False,True,3.5,2.5,0.6,COMPLETE
9,0.9540986638006229,2026-01-15 22:51:00.281439,2026-01-15 22:51:01.557219,0 days 00:00:01.275780,20.0,25.0,0.1,40.0,15,2000000.0,100000,False,True,False,3.0,2.0,0.7,COMPLETE
10,-999.0,2026-01-15 22:51:01.559569,2026-01-15 22:51:04.014143,0 days 00:00:02.454574,30.0,15.0,0.07,40.0,5,10000000.0,150000,False,True,True,4.0,2.0,0.6,COMPLETE
11,1.0994362585285136,2026-01-15 22:51:04.017697,2026-01-15 22:51:05.364727,0 days 00:00:01.347030,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,3.0,2.0,0.7,COMPLETE
12,1.0994362585285136,2026-01-15 22:51:05.367349,2026-01-15 22:51:06.745703,0 days 00:00:01.378354,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,4.0,2.0,0.7,COMPLETE
13,1.0994362585285136,2026-01-15 22:51:06.747871,2026-01-15 22:51:08.195113,0 days 00:00:01.447242,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,4.0,2.0,0.7,COMPLETE
14,1.0994362585285136,2026-01-15 22:51:08.197717,2026-01-15 22:51:09.524871,0 days 00:00:01.327154,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,3.0,2.0,0.7,COMPLETE
15,1.0994362585285136,2026-01-15 22:51:09.526897,2026-01-15 22:51:10.877271,0 days 00:00:01.350374,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,3.0,2.0,0.7,COMPLETE
16,1.0994362585285136,2026-01-15 22:51:10.879472,2026-01-15 22:51:12.367331,0 days 00:00:01.487859,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,4.0,2.0,0.7,COMPLETE
17,1.0860611545062049,2026-01-15 22:51:12.369738,2026-01-15 22:51:13.781774,0 days 00:00:01.412036,30.0,25.0,0.08,40.0,15,5000000.0,200000,False,True,False,3.0,2.0,0.7,COMPLETE
18,-999.0,2026-01-15 22:51:13.784203,2026-01-15 22:51:16.357621,0 days 00:00:02.573418,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,True,4.0,2.0,0.6,COMPLETE
19,0.9783412846194336,2026-01-15 22:51:16.360605,2026-01-15 22:51:18.515011,0 days 00:00:02.154406,25.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,3.5,2.0,0.7,COMPLETE
20,1.0860611545062049,2026-01-15 22:51:18.517071,2026-01-15 22:51:19.852942,0 days 00:00:01.335871,30.0,20.0,0.08,40.0,15,5000000.0,200000,False,True,False,4.0,2.0,0.7,COMPLETE
21,1.0994362585285136,2026-01-15 22:51:19.855179,2026-01-15 22:51:21.228037,0 days 00:00:01.372858,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,4.0,2.0,0.7,COMPLETE
22,1.0994362585285136,2026-01-15 22:51:21.230654,2026-01-15 22:51:22.655991,0 days 00:00:01.425337,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,4.0,2.0,0.7,COMPLETE
23,1.0994362585285136,2026-01-15 22:51:22.658147,2026-01-15 22:51:24.073984,0 days 00:00:01.415837,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,4.0,2.0,0.7,COMPLETE
24,1.0994362585285136,2026-01-15 22:51:24.077376,2026-01-15 22:51:25.452738,0 days 00:00:01.375362,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,4.0,2.0,0.7,COMPLETE
25,1.0994362585285136,2026-01-15 22:51:25.455241,2026-01-15 22:51:26.790525,0 days 00:00:01.335284,30.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,3.0,2.0,0.7,COMPLETE
26,-999.0,2026-01-15 22:51:26.792988,2026-01-15 22:51:30.218606,0 days 00:00:03.425618,30.0,25.0,0.1,40.0,15,10000000.0,100000,True,True,True,4.0,2.0,0.6,COMPLETE
27,0.9395834672560195,2026-01-15 22:51:30.220775,2026-01-15 22:51:31.530386,0 days 00:00:01.309611,20.0,25.0,0.1,40.0,15,10000000.0,100000,False,True,False,4.0,2.0,0.7,COMPLETE
28,0.9686139594576688,2026-01-15 22:51:31.532425,2026-01-15 22:51:32.900322,0 days 00:00:01.367897,25.0,25.0,0.1,40.0,5,5000000.0,100000,False,True,False,3.5,2.0,0.7,COMPLETE
29,0.8930705909105047,2026-01-15 22:51:32.902756,2026-01-15 22:51:34.258418,0 days 00:00:01.355662,15.0,20.0,0.08,40.0,10,10000000.0,200000,False,True,False,3.0,2.0,0.7,COMPLETE
