number,value,datetime_start,datetime_complete,duration,params_max_exposure_pct,params_min_adr,params_min_rvol,params_risk_dollars,params_rvol_danger_size,params_signal_type,params_tp1_r,params_tp2_r,state
0,0.8523302699405159,2026-01-15 23:01:00.458103,2026-01-15 23:01:02.745310,0 days 00:00:02.287207,0.25,1.0,1.0,150,0.3,any,2.0,4.0,COMPLETE
1,0.757150093572199,2026-01-15 23:01:02.748265,2026-01-15 23:01:04.146942,0 days 00:00:01.398677,0.2,1.0,1.5,150,0.4,any,2.0,4.0,COMPLETE
2,0.8493426539810011,2026-01-15 23:01:04.149011,2026-01-15 23:01:05.641352,0 days 00:00:01.492341,0.3,1.5,1.0,200,0.3,any,1.5,3.0,COMPLETE
3,0.8469516776337911,2026-01-15 23:01:05.645083,2026-01-15 23:01:07.077542,0 days 00:00:01.432459,0.25,2.0,1.0,150,0.3,any,1.5,4.0,COMPLETE
4,0.8377397725715571,2026-01-15 23:01:07.079447,2026-01-15 23:01:08.574612,0 days 00:00:01.495165,0.2,2.0,1.0,200,0.4,any,2.0,4.0,COMPLETE
5,0.634748349660586,2026-01-15 23:01:08.577515,2026-01-15 23:01:10.057143,0 days 00:00:01.479628,0.25,2.0,2.0,150,0.4,any,1.5,3.0,COMPLETE
6,0.8545396522738004,2026-01-15 23:01:10.059343,2026-01-15 23:01:12.185181,0 days 00:00:02.125838,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
7,0.634748349660586,2026-01-15 23:01:12.187002,2026-01-15 23:01:13.546759,0 days 00:00:01.359757,0.25,2.0,2.0,150,0.4,any,1.5,3.0,COMPLETE
8,0.7360446641685139,2026-01-15 23:01:13.548722,2026-01-15 23:01:15.001960,0 days 00:00:01.453238,0.25,1.5,1.5,200,0.3,any,1.5,3.0,COMPLETE
9,0.8400844640421428,2026-01-15 23:01:15.004938,2026-01-15 23:01:16.318243,0 days 00:00:01.313305,0.2,1.5,1.0,150,0.4,any,2.0,3.0,COMPLETE
10,0.7460880654708146,2026-01-15 23:01:16.320645,2026-01-15 23:01:17.703911,0 days 00:00:01.383266,0.3,1.5,1.5,200,0.4,any,1.5,4.0,COMPLETE
11,0.8523302699405159,2026-01-15 23:01:17.706212,2026-01-15 23:01:19.143447,0 days 00:00:01.437235,0.25,1.0,1.0,150,0.3,any,2.0,4.0,COMPLETE
12,0.8523302699405159,2026-01-15 23:01:19.145667,2026-01-15 23:01:20.462868,0 days 00:00:01.317201,0.25,1.0,1.0,150,0.3,any,2.0,4.0,COMPLETE
13,0.8523302699405159,2026-01-15 23:01:20.464992,2026-01-15 23:01:21.818380,0 days 00:00:01.353388,0.25,1.0,1.0,150,0.3,any,2.0,4.0,COMPLETE
14,0.8545396522738004,2026-01-15 23:01:21.821823,2026-01-15 23:01:23.086101,0 days 00:00:01.264278,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
15,0.6961605001558318,2026-01-15 23:01:23.088589,2026-01-15 23:01:24.403420,0 days 00:00:01.314831,0.3,1.5,2.0,150,0.4,any,1.5,4.0,COMPLETE
16,0.8545396522738004,2026-01-15 23:01:24.405487,2026-01-15 23:01:25.722538,0 days 00:00:01.317051,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
17,0.8545396522738004,2026-01-15 23:01:25.724905,2026-01-15 23:01:26.992331,0 days 00:00:01.267426,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
18,0.6982291600414777,2026-01-15 23:01:26.994433,2026-01-15 23:01:28.306681,0 days 00:00:01.312248,0.2,1.5,2.0,200,0.4,any,1.5,4.0,COMPLETE
19,0.7460880654708146,2026-01-15 23:01:28.309652,2026-01-15 23:01:29.653949,0 days 00:00:01.344297,0.3,1.5,1.5,150,0.4,any,1.5,4.0,COMPLETE
20,0.8545396522738004,2026-01-15 23:01:29.656078,2026-01-15 23:01:30.989768,0 days 00:00:01.333690,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
21,0.8545396522738004,2026-01-15 23:01:30.992045,2026-01-15 23:01:32.389724,0 days 00:00:01.397679,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
22,0.8545396522738004,2026-01-15 23:01:32.391676,2026-01-15 23:01:33.675669,0 days 00:00:01.283993,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
23,0.8545396522738004,2026-01-15 23:01:33.679344,2026-01-15 23:01:35.018986,0 days 00:00:01.339642,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
24,0.8545396522738004,2026-01-15 23:01:35.020950,2026-01-15 23:01:36.307304,0 days 00:00:01.286354,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
25,0.8545396522738004,2026-01-15 23:01:36.309283,2026-01-15 23:01:37.577920,0 days 00:00:01.268637,0.25,1.5,1.0,150,0.4,any,1.5,4.0,COMPLETE
26,0.8493318215523552,2026-01-15 23:01:37.579814,2026-01-15 23:01:38.887009,0 days 00:00:01.307195,0.25,1.5,1.0,200,0.4,any,1.5,3.0,COMPLETE
