number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_require_positive_rs,params_require_sma_trend,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
0,0.8162176514638253,2026-01-15 22:56:20.146923,2026-01-15 22:56:21.442542,0 days 00:00:01.295619,25.0,25.0,0.07,50.0,5,2000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
1,-999.0,2026-01-15 22:56:21.444644,2026-01-15 22:56:25.207726,0 days 00:00:03.763082,30.0,15.0,0.08,50.0,10,2000000.0,150000,True,True,True,3.5,2.0,0.7,COMPLETE
2,-999.0,2026-01-15 22:56:25.211009,2026-01-15 22:56:28.790822,0 days 00:00:03.579813,15.0,25.0,0.08,50.0,5,2000000.0,150000,True,True,True,3.0,2.5,0.7,COMPLETE
3,0.8022521046759503,2026-01-15 22:56:28.796480,2026-01-15 22:56:30.063772,0 days 00:00:01.267292,20.0,15.0,0.07,50.0,5,5000000.0,200000,False,False,False,3.5,2.0,0.6,COMPLETE
4,-999.0,2026-01-15 22:56:30.066190,2026-01-15 22:56:32.405623,0 days 00:00:02.339433,25.0,25.0,0.08,50.0,10,2000000.0,150000,True,True,False,4.0,2.0,0.7,COMPLETE
5,-999.0,2026-01-15 22:56:32.408085,2026-01-15 22:56:35.849801,0 days 00:00:03.441716,30.0,25.0,0.07,50.0,5,2000000.0,100000,True,True,True,3.0,2.0,0.6,COMPLETE
6,-999.0,2026-01-15 22:56:35.852183,2026-01-15 22:56:39.270525,0 days 00:00:03.418342,20.0,25.0,0.1,50.0,10,5000000.0,100000,True,True,True,3.5,2.5,0.7,COMPLETE
7,-999.0,2026-01-15 22:56:39.272847,2026-01-15 22:56:42.902376,0 days 00:00:03.629529,20.0,25.0,0.08,40.0,5,2000000.0,150000,True,True,True,3.5,2.5,0.7,COMPLETE
8,-999.0,2026-01-15 22:56:42.905251,2026-01-15 22:56:46.894200,0 days 00:00:03.988949,25.0,20.0,0.07,40.0,10,10000000.0,100000,True,False,True,4.0,2.5,0.7,COMPLETE
9,-999.0,2026-01-15 22:56:46.899172,2026-01-15 22:56:51.672044,0 days 00:00:04.772872,20.0,25.0,0.08,50.0,5,10000000.0,100000,True,True,True,4.0,2.0,0.7,COMPLETE
10,0.728456693746366,2026-01-15 22:56:51.675053,2026-01-15 22:56:54.608566,0 days 00:00:02.933513,25.0,20.0,0.1,40.0,15,5000000.0,200000,False,False,False,3.5,2.5,0.6,COMPLETE
11,0.6968393436334791,2026-01-15 22:56:54.612015,2026-01-15 22:56:56.353053,0 days 00:00:01.741038,15.0,15.0,0.07,50.0,5,5000000.0,200000,False,False,False,3.5,2.0,0.6,COMPLETE
12,0.7761757259826446,2026-01-15 22:56:56.355893,2026-01-15 22:56:58.556564,0 days 00:00:02.200671,25.0,15.0,0.07,50.0,15,5000000.0,200000,False,False,False,3.5,2.0,0.6,COMPLETE
13,0.8022521046759503,2026-01-15 22:56:58.558799,2026-01-15 22:57:00.685598,0 days 00:00:02.126799,20.0,15.0,0.07,50.0,5,5000000.0,200000,False,False,False,3.5,2.5,0.6,COMPLETE
14,0.8236188381620843,2026-01-15 22:57:00.689781,2026-01-15 22:57:02.514285,0 days 00:00:01.824504,20.0,15.0,0.07,40.0,5,10000000.0,200000,False,False,False,3.5,2.5,0.6,COMPLETE
15,0.7704268801361575,2026-01-15 22:57:02.517133,2026-01-15 22:57:04.231686,0 days 00:00:01.714553,25.0,20.0,0.07,40.0,5,10000000.0,200000,False,False,False,3.0,2.5,0.6,COMPLETE
16,0.7380463120425599,2026-01-15 22:57:04.233869,2026-01-15 22:57:06.040611,0 days 00:00:01.806742,15.0,15.0,0.07,40.0,15,10000000.0,200000,False,False,False,3.5,2.5,0.6,COMPLETE
17,0.7293546474049925,2026-01-15 22:57:06.043662,2026-01-15 22:57:07.690495,0 days 00:00:01.646833,30.0,25.0,0.1,40.0,5,10000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
18,0.822101035718879,2026-01-15 22:57:07.692944,2026-01-15 22:57:09.358849,0 days 00:00:01.665905,25.0,15.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
19,0.802759510198744,2026-01-15 22:57:09.361702,2026-01-15 22:57:10.938207,0 days 00:00:01.576505,20.0,15.0,0.07,40.0,15,10000000.0,200000,False,False,False,4.0,2.5,0.6,COMPLETE
20,0.7274763889739454,2026-01-15 22:57:10.940769,2026-01-15 22:57:12.699931,0 days 00:00:01.759162,25.0,15.0,0.1,40.0,5,10000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
21,0.822101035718879,2026-01-15 22:57:12.702832,2026-01-15 22:57:15.075476,0 days 00:00:02.372644,25.0,15.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
22,0.822101035718879,2026-01-15 22:57:15.079867,2026-01-15 22:57:17.641445,0 days 00:00:02.561578,25.0,15.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
