number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_require_positive_rs,params_require_sma_trend,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
0,1.0047556212847395,2026-01-15 22:59:49.528023,2026-01-15 22:59:50.785918,0 days 00:00:01.257895,25.0,20.0,0.07,40.0,5,10000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
1,-999.0,2026-01-15 22:59:50.787973,2026-01-15 22:59:54.124318,0 days 00:00:03.336345,30.0,20.0,0.1,50.0,5,5000000.0,150000,False,False,True,3.0,2.0,0.6,COMPLETE
2,0.8854615853285603,2026-01-15 22:59:54.126567,2026-01-15 22:59:55.956212,0 days 00:00:01.829645,15.0,20.0,0.07,40.0,15,5000000.0,150000,False,True,False,4.0,2.0,0.7,COMPLETE
3,0.982467456989999,2026-01-15 22:59:55.959219,2026-01-15 22:59:57.235894,0 days 00:00:01.276675,20.0,15.0,0.08,40.0,10,5000000.0,150000,False,False,False,4.0,2.5,0.6,COMPLETE
4,-999.0,2026-01-15 22:59:57.237962,2026-01-15 23:00:00.595020,0 days 00:00:03.357058,30.0,15.0,0.08,40.0,5,5000000.0,100000,True,True,True,3.0,2.0,0.6,COMPLETE
5,-999.0,2026-01-15 23:00:00.597558,2026-01-15 23:00:02.980516,0 days 00:00:02.382958,20.0,25.0,0.08,50.0,10,2000000.0,150000,False,True,True,3.0,2.5,0.6,COMPLETE
6,0.9497009787753781,2026-01-15 23:00:02.983290,2026-01-15 23:00:04.258071,0 days 00:00:01.274781,25.0,20.0,0.1,40.0,5,10000000.0,100000,False,False,False,4.0,2.5,0.6,COMPLETE
7,-999.0,2026-01-15 23:00:04.260414,2026-01-15 23:00:07.323483,0 days 00:00:03.063069,20.0,25.0,0.1,40.0,5,5000000.0,100000,True,True,False,3.0,2.0,0.6,COMPLETE
8,-999.0,2026-01-15 23:00:07.325980,2026-01-15 23:00:10.663803,0 days 00:00:03.337823,25.0,15.0,0.1,50.0,10,2000000.0,200000,True,True,True,3.0,2.0,0.7,COMPLETE
9,-999.0,2026-01-15 23:00:10.666968,2026-01-15 23:00:14.091166,0 days 00:00:03.424198,15.0,20.0,0.07,50.0,15,10000000.0,200000,True,True,True,3.5,2.5,0.7,COMPLETE
10,1.0047556212847395,2026-01-15 23:00:14.093750,2026-01-15 23:00:15.399867,0 days 00:00:01.306117,25.0,20.0,0.07,40.0,5,10000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
11,1.0047556212847395,2026-01-15 23:00:15.402322,2026-01-15 23:00:16.689238,0 days 00:00:01.286916,25.0,20.0,0.07,40.0,5,10000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
12,1.0047556212847395,2026-01-15 23:00:16.691349,2026-01-15 23:00:17.970213,0 days 00:00:01.278864,25.0,20.0,0.07,40.0,5,10000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
