number,value,datetime_start,datetime_complete,duration,params_max_exposure_pct,params_min_adr,params_min_rvol,params_risk_dollars,params_rvol_danger_size,params_signal_type,params_tp1_r,params_tp2_r,state
0,0.9494803986556365,2026-01-15 22:58:20.333743,2026-01-15 22:58:24.080589,0 days 00:00:03.746846,0.3,2.0,1.0,150,0.4,any,2.0,4.0,COMPLETE
1,0.9106112521102788,2026-01-15 22:58:24.084093,2026-01-15 22:58:27.372518,0 days 00:00:03.288425,0.25,1.5,1.5,150,0.3,any,1.5,3.0,COMPLETE
2,0.889387191904678,2026-01-15 22:58:27.375133,2026-01-15 22:58:29.123708,0 days 00:00:01.748575,0.25,1.0,1.5,150,0.4,any,1.5,4.0,COMPLETE
3,0.9742210216940909,2026-01-15 22:58:29.126993,2026-01-15 22:58:30.839350,0 days 00:00:01.712357,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
4,0.6954205181489291,2026-01-15 22:58:30.841635,2026-01-15 22:58:32.490203,0 days 00:00:01.648568,0.25,1.0,2.0,150,0.4,any,1.5,4.0,COMPLETE
5,0.9472481265755366,2026-01-15 22:58:32.492642,2026-01-15 22:58:34.026314,0 days 00:00:01.533672,0.3,2.0,1.0,200,0.3,any,1.5,3.0,COMPLETE
6,0.8922573863748724,2026-01-15 22:58:34.028308,2026-01-15 22:58:35.555945,0 days 00:00:01.527637,0.3,1.0,1.5,200,0.4,any,1.5,3.0,COMPLETE
7,0.7632626395695793,2026-01-15 22:58:35.558096,2026-01-15 22:58:37.118395,0 days 00:00:01.560299,0.3,1.5,2.0,150,0.3,any,1.5,3.0,COMPLETE
8,0.7250858223808715,2026-01-15 22:58:37.134153,2026-01-15 22:58:38.715859,0 days 00:00:01.581706,0.25,1.0,2.0,150,0.4,any,1.5,3.0,COMPLETE
9,0.72916478544267,2026-01-15 22:58:38.717986,2026-01-15 22:58:40.289043,0 days 00:00:01.571057,0.2,2.0,2.0,150,0.3,any,2.0,4.0,COMPLETE
10,0.9742210216940909,2026-01-15 22:58:40.291020,2026-01-15 22:58:42.027928,0 days 00:00:01.736908,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
11,0.9742210216940909,2026-01-15 22:58:42.044091,2026-01-15 22:58:43.664252,0 days 00:00:01.620161,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
12,0.9742210216940909,2026-01-15 22:58:43.667540,2026-01-15 22:58:45.387671,0 days 00:00:01.720131,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
13,0.9742210216940909,2026-01-15 22:58:45.390182,2026-01-15 22:58:46.982451,0 days 00:00:01.592269,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
14,0.9742210216940909,2026-01-15 22:58:46.985292,2026-01-15 22:58:48.455194,0 days 00:00:01.469902,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
15,0.9742210216940909,2026-01-15 22:58:48.457629,2026-01-15 22:58:50.019137,0 days 00:00:01.561508,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
16,0.9742210216940909,2026-01-15 22:58:50.021240,2026-01-15 22:58:51.684707,0 days 00:00:01.663467,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
17,0.9742210216940909,2026-01-15 22:58:51.686759,2026-01-15 22:58:53.407074,0 days 00:00:01.720315,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
18,0.9600461017398755,2026-01-15 22:58:53.409384,2026-01-15 22:58:54.899105,0 days 00:00:01.489721,0.2,1.5,1.0,200,0.3,any,2.0,4.0,COMPLETE
19,0.9239831365246647,2026-01-15 22:58:54.902043,2026-01-15 22:58:56.418511,0 days 00:00:01.516468,0.2,2.0,1.5,200,0.4,any,2.0,3.0,COMPLETE
20,0.9742210216940909,2026-01-15 22:58:56.421450,2026-01-15 22:58:57.998020,0 days 00:00:01.576570,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
21,0.9742210216940909,2026-01-15 22:58:58.000242,2026-01-15 22:59:00.249084,0 days 00:00:02.248842,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
22,0.9742210216940909,2026-01-15 22:59:00.252034,2026-01-15 22:59:01.995401,0 days 00:00:01.743367,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
23,0.9742210216940909,2026-01-15 22:59:01.997979,2026-01-15 22:59:03.957593,0 days 00:00:01.959614,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
24,0.9742210216940909,2026-01-15 22:59:03.960080,2026-01-15 22:59:05.626268,0 days 00:00:01.666188,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
25,0.9742210216940909,2026-01-15 22:59:05.631884,2026-01-15 22:59:07.471744,0 days 00:00:01.839860,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
26,0.9600461017398755,2026-01-15 22:59:07.474110,2026-01-15 22:59:09.385364,0 days 00:00:01.911254,0.2,1.5,1.0,200,0.3,any,2.0,4.0,COMPLETE
27,0.9742210216940909,2026-01-15 22:59:09.388287,2026-01-15 22:59:11.323428,0 days 00:00:01.935141,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
28,0.7653318585023786,2026-01-15 22:59:11.325681,2026-01-15 22:59:12.932849,0 days 00:00:01.607168,0.25,2.0,2.0,200,0.4,any,2.0,3.0,COMPLETE
29,0.9185175625350868,2026-01-15 22:59:12.935665,2026-01-15 22:59:14.510750,0 days 00:00:01.575085,0.3,1.0,1.5,200,0.4,any,2.0,4.0,COMPLETE
30,0.9638709644779683,2026-01-15 22:59:14.512867,2026-01-15 22:59:16.186097,0 days 00:00:01.673230,0.3,2.0,1.0,200,0.4,any,2.0,3.0,COMPLETE
31,0.9742210216940909,2026-01-15 22:59:16.188773,2026-01-15 22:59:17.799723,0 days 00:00:01.610950,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
32,0.9742210216940909,2026-01-15 22:59:17.801665,2026-01-15 22:59:19.532040,0 days 00:00:01.730375,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
33,0.9742210216940909,2026-01-15 22:59:19.534703,2026-01-15 22:59:21.765705,0 days 00:00:02.231002,0.2,1.5,1.0,200,0.4,any,2.0,3.0,COMPLETE
34,0.9367338611588836,2026-01-15 22:59:21.768161,2026-01-15 22:59:23.559625,0 days 00:00:01.791464,0.25,1.5,1.5,150,0.4,any,2.0,3.0,COMPLETE
35,0.9410108398067778,2026-01-15 22:59:23.561726,2026-01-15 22:59:25.491219,0 days 00:00:01.929493,0.2,1.5,1.0,200,0.3,any,1.5,4.0,COMPLETE
36,0.9753969989957149,2026-01-15 22:59:25.493461,2026-01-15 22:59:27.171132,0 days 00:00:01.677671,0.25,1.0,1.0,150,0.4,any,2.0,3.0,COMPLETE
37,0.8924021029928803,2026-01-15 22:59:27.173182,2026-01-15 22:59:28.714575,0 days 00:00:01.541393,0.25,1.0,1.5,150,0.4,any,1.5,3.0,COMPLETE
38,0.754510379270498,2026-01-15 22:59:28.716897,2026-01-15 22:59:30.274849,0 days 00:00:01.557952,0.25,1.0,2.0,150,0.3,any,2.0,3.0,COMPLETE
39,0.9451871502710631,2026-01-15 22:59:30.276893,2026-01-15 22:59:31.920414,0 days 00:00:01.643521,0.25,1.0,1.0,150,0.4,any,1.5,4.0,COMPLETE
40,0.754510379270498,2026-01-15 22:59:31.923236,2026-01-15 22:59:34.544580,0 days 00:00:02.621344,0.25,1.0,2.0,150,0.4,any,2.0,3.0,COMPLETE
41,0.9751509150868118,2026-01-15 22:59:34.547820,2026-01-15 22:59:36.815576,0 days 00:00:02.267756,0.3,1.0,1.0,150,0.4,any,2.0,3.0,COMPLETE
42,0.9751509150868118,2026-01-15 22:59:36.824540,2026-01-15 22:59:38.631376,0 days 00:00:01.806836,0.3,1.0,1.0,150,0.4,any,2.0,3.0,COMPLETE
43,0.9751509150868118,2026-01-15 22:59:38.633718,2026-01-15 22:59:40.401621,0 days 00:00:01.767903,0.3,1.0,1.0,150,0.4,any,2.0,3.0,COMPLETE
44,0.9751509150868118,2026-01-15 22:59:40.403814,2026-01-15 22:59:42.077578,0 days 00:00:01.673764,0.3,1.0,1.0,150,0.4,any,2.0,3.0,COMPLETE
45,0.9751509150868118,2026-01-15 22:59:42.080550,2026-01-15 22:59:43.723101,0 days 00:00:01.642551,0.3,1.0,1.0,150,0.4,any,2.0,3.0,COMPLETE
46,0.9583114355841107,2026-01-15 22:59:43.726285,2026-01-15 22:59:45.270803,0 days 00:00:01.544518,0.3,1.0,1.0,150,0.4,any,1.5,3.0,COMPLETE
47,0.9751509150868118,2026-01-15 22:59:45.273198,2026-01-15 22:59:46.921192,0 days 00:00:01.647994,0.3,1.0,1.0,150,0.3,any,2.0,3.0,COMPLETE
48,0.9751509150868118,2026-01-15 22:59:46.925875,2026-01-15 22:59:48.259274,0 days 00:00:01.333399,0.3,1.0,1.0,150,0.4,any,2.0,3.0,COMPLETE
49,0.9751509150868118,2026-01-15 22:59:48.261260,2026-01-15 22:59:49.500060,0 days 00:00:01.238800,0.3,1.0,1.0,150,0.4,any,2.0,3.0,COMPLETE
