adr,max_exposure,total_trades,win_rate,total_pnl,avg_return,sharpe_ratio,max_drawdown,profit_factor,score
3.0,40,44,13.636363636363635,-7564.244515275603,-1.4790123179584476,-4.155324867375256,56.52781746899005,0.4405448199187682,-34.60992802504475
3.0,30,44,13.636363636363635,-7559.306163918722,-1.4790123179584476,-4.155324867375256,56.52781746899005,0.4405448199187682,-34.60992802504475
3.0,25,44,13.636363636363635,-7551.565818242923,-1.4790123179584476,-4.155324867375256,56.52781746899007,0.4405448199187682,-34.60992802504476
3.0,35,44,13.636363636363635,-7564.244515275603,-1.4790123179584476,-4.155324867375256,56.52781746899007,0.4405448199187682,-34.60992802504476
2.5,35,56,12.5,-10752.712297668375,-1.6487634766671877,-5.153296115857582,67.0708111873526,0.3642667946056885,-46.79061699595061
2.5,25,56,12.5,-10740.502971775422,-1.6487634766671877,-5.153296115857582,67.0708111873526,0.3642667946056885,-46.79061699595061
2.5,30,56,12.5,-10750.509287652887,-1.6487634766671877,-5.153296115857582,67.0708111873526,0.3642667946056885,-46.79061699595061
2.5,40,56,12.5,-10752.712297668375,-1.6487634766671877,-5.153296115857582,67.0708111873526,0.3642667946056885,-46.79061699595061
2.0,30,65,10.76923076923077,-12012.000617462376,-1.695502850555076,-5.6759718367356315,71.77884010834514,0.324343476274493,-53.32387289243682
2.0,40,65,10.76923076923077,-12014.411444898198,-1.695502850555076,-5.6759718367356315,71.77884010834514,0.324343476274493,-53.32387289243682
2.0,25,65,10.76923076923077,-12030.930708452117,-1.6955028505550762,-5.675971836735632,71.77884010834514,0.324343476274493,-53.32387289243683
2.0,35,65,10.76923076923077,-12014.411444898198,-1.6955028505550762,-5.675971836735632,71.77884010834514,0.324343476274493,-53.32387289243683
1.5,25,66,10.606060606060606,-12472.018474219047,-1.7035136326334521,-5.746619954409081,72.40653922961593,0.3199801886234825,-54.18391842370043
1.5,30,66,10.606060606060606,-12463.218325582679,-1.7035136326334521,-5.746619954409081,72.40653922961593,0.3199801886234825,-54.18391842370043
1.5,40,66,10.606060606060606,-12465.34133567446,-1.7035136326334521,-5.746619954409081,72.40653922961593,0.3199801886234825,-54.18391842370043
1.5,35,66,10.606060606060606,-12465.34133567446,-1.7035136326334521,-5.746619954409081,72.40653922961593,0.31998018862348243,-54.18391842370043
3.5,25,40,7.5,-9695.698661312443,-2.5418038562789054,-11.611880598731071,65.13456878130172,0.11858972983369946,-116.14382385696965
3.5,30,40,7.5,-9703.400513442708,-2.5418038562789054,-11.611880598731071,65.13456878130172,0.11858972983369946,-116.14382385696965
3.5,35,40,7.5,-9705.716524451924,-2.5418038562789054,-11.611880598731071,65.13456878130172,0.11858972983369946,-116.14382385696965
3.5,40,40,7.5,-9705.716524451924,-2.5418038562789054,-11.611880598731071,65.13456878130172,0.11858972983369946,-116.14382385696965
