ticker,price,avg_volume,dollar_volume,adr_pct
TSLA,485.3999938964844,62141700.0,30163580800.717163,2.5432417564363377
NVDA,188.61000061035156,123155500.0,23228358930.16815,1.9171845950362216
AVGO,350.2200012207031,22798866.666666668,7984619111.830648,2.580053331394525
AAPL,273.80999755859375,28041466.666666668,7678033919.539389,1.1743601892088762
MU,286.67999267578125,23440700.0,6719979704.315186,4.070140851059422
META,667.5499877929688,9924566.666666666,6625144357.183838,1.5528828367513625
GOOGL,314.0899963378906,20668666.666666668,6491821437.642416,1.4706715880761596
MSFT,488.0199890136719,12500833.333333334,6100656545.995077,0.9272923247640169
AMZN,232.3800048828125,24304000.0,5647763638.671875,1.1828295949047893
AMD,215.0399932861328,17726600.0,3811927944.985962,2.218229009784739
ORCL,197.49000549316406,18244100.0,3603027409.2178345,2.562725713576885
RKLB,77.18000030517578,33557833.333333336,2589993586.907705,7.530607226940524
NFLX,93.63999938964844,25936300.0,2428675116.169739,1.9142225828184263
JPM,329.1700134277344,6437400.0,2118999044.4396973,1.5441801190433648
LLY,1076.97998046875,1889000.0,2034415183.1054688,1.8297391522355706
NKE,60.0,32681966.666666668,1960918000.0,2.4509203797078762
WMT,111.61000061035156,16934466.666666668,1890055835.002645,1.470378157097373
COST,871.8599853515625,2032933.3333333333,1772433226.2207031,1.3296170274537813
UNH,327.5799865722656,5059466.666666667,1657380022.7294922,1.7603443734655437
BRK-B,501.3399963378906,3250333.3333333335,1629522101.4302573,0.750102957773656
INTC,36.15999984741211,41695733.333333336,1507717710.9710693,3.364302225477071
MRK,106.44999694824219,12019566.666666666,1279482834.98586,2.378038968242959
V,355.1400146484375,3590100.0,1274988166.5893555,1.06325819113239
JNJ,207.77999877929688,5870533.333333333,1219779408.8338215,1.3357149678874998
LRCX,177.3300018310547,6839333.333333333,1212818992.5231934,1.7965622990748584
XOM,119.22000122070312,10157866.666666666,1211020876.3997395,1.0601505484849107
PG,144.49000549316406,8177400.0,1181552570.9197998,1.2962736925406126
CSCO,78.0199966430664,14611033.333333334,1139952771.6183982,0.9249018595962858
GE,316.75,3521066.6666666665,1115297866.6666665,1.7374852635627724
CRM,265.260009765625,4161966.6666666665,1104003318.6442056,1.7544138002624128
WBD,29.229999542236328,37744366.666666664,1103267820.3886666,1.6029541853879752
MA,579.4500122070312,1784600.0,1034086491.784668,1.1445242028084388
HD,347.3399963378906,2921900.0,1014892735.2996826,1.3719403791113187
CAT,583.760009765625,1688566.6666666667,985717693.8232422,1.407930762762088
BMY,54.709999084472656,17254600.0,943999150.2029419,1.2945981754100107
BA,218.16000366210938,4299566.666666667,937993479.7454835,1.2775768153315692
WDC,179.55999755859375,5157766.666666667,926128570.0744629,4.612869846550515
PEP,143.74000549316406,6230733.333333333,895605643.5597737,1.6704783829980647
ADBE,352.9800109863281,2393266.6666666665,844775294.2932129,1.6675200311452971
CRWD,477.1099853515625,1700466.6666666667,811309626.4241537,2.002719487442748
AMAT,260.7799987792969,3084333.3333333335,804332442.9016113,1.285310403695412
DIS,114.4800033569336,7014833.333333333,803058143.5483296,1.383895544824377
MRVL,86.48999786376953,9180133.333333334,793989712.3891195,3.2781273901694967
ABBV,229.88999938964844,3395033.3333333335,780484210.9278362,1.3401925810688629
CVX,150.5,5011633.333333333,754250816.6666666,0.8725090965573249
PM,162.63999938964844,4624666.666666667,752155783.8439941,1.8944160336468583
QCOM,174.77000427246094,4252600.0,743226920.1690674,1.3898402734674338
FSLR,272.2099914550781,2725766.6666666665,741980921.0418701,6.048052330362038
TMUS,199.02000427246094,3476000.0,691793534.8510742,1.1493035926779214
LIN,424.8999938964844,1613633.3333333333,685632793.4844971,0.7565998451882837
AXP,383.1099853515625,1777566.6666666667,681003539.6280925,1.211618902291041
MCD,313.3299865722656,2149633.3333333335,673544583.4686279,1.1124800942429196
VZ,40.31999969482422,16274300.0,656179771.0334778,0.9881251796750488
PANW,187.22000122070312,3394366.6666666665,635493331.4768473,1.6737954646386384
PYPL,60.040000915527344,10540466.666666666,632849628.3167521,1.5462162349699724
KO,70.11000061035156,8938266.666666666,626661881.455485,0.736542471486477
ACN,269.9800109863281,2317000.0,625543685.4553223,1.2438236525150121
CMCSA,29.780000686645508,20709566.666666668,616730909.5534643,1.723971039631423
SCHW,101.8499984741211,5964933.333333333,607528450.898234,1.6882591982244195
SNPS,475.75,1274533.3333333333,606359233.3333333,2.021836985989618
LULU,210.39999389648438,2876933.3333333335,605306755.7739258,2.199277697562727
SPGI,525.739990234375,1151100.0,605179302.7587891,1.6388370423163374
