window,train_start,train_end,test_start,test_end,best_adr,best_exp,train_score,test_score,train_win_rate,test_win_rate,train_avg_return,test_avg_return,degradation_pct
1,2023-06-01,2023-11-28,2023-11-28,2024-02-26,3.5,20.0,-6.517418282519834,-463.26350976565993,16.666666666666664,0.0,-1.0409903727536967,-4.964445433559686,-7008.083134822951
2,2024-02-26,2024-08-24,2024-08-24,2024-11-22,2.5,20.0,-62.6877583225748,-117.66129936892702,12.5,0.0,-1.8326348251390328,-1.6701738585705574,-87.69422055813953
