symbol,entry_date,exit_date,entry_price,exit_price,shares,initial_shares,pnl,return_pct,reason,signal_type,tp1_executed,tp2_executed,final_shares_pct,R_inicial,adr_valor,entry_stage,initial_stop_loss,context_adr,context_vol,context_trend,context_price,context_sma20,context_rvol
AAPL,2024-06-12,2024-06-28,206.84152223758508,209.19912719726562,90,90,212.1844463712489,1.1398122263732517,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (205.76) and AVWAP (205.75) converge within 0.0%. Trend: Uptrend. RVOL: 3.22x. Clear path above with SMA20 support and volume confirmation. | GREEN_CANDLE_ENTRY,BLUE_SKY,False,False,100.0,4.476813484580987,3.738608926965533,FULL,202.3647087530041,1.6443172688435606,58567360,Weak,0,0,3.2188662999068085
TSLA,2024-07-02,2024-07-24,218.88999938964844,215.99000549316406,80,80,-231.99951171875,-1.3248635865369367,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (213.23) and AVWAP (216.85) converge within 1.7%. Trend: Uptrend. RVOL: 1.84x. Clear path above with SMA20 support and volume confirmation. | GREEN_CANDLE_ENTRY,BLUE_SKY,False,False,100.0,13.945045824547805,7.4129997253417965,FULL,204.94495356510063,3.876937827399827,77038440,Weak,0,0,1.84314231536167
NVDA,2024-01-09,2024-12-31,52.55737405126324,134.25328063964844,475,475,38805.55562948297,155.44137823305425,END_OF_BACKTEST | Blue Sky Breakout: Base (52.25) and AVWAP (52.22) converge within 0.0%. Trend: Uptrend. RVOL: 1.76x. Clear path above with SMA20 support and volume confirmation. | GREEN_CANDLE_ENTRY,BLUE_SKY,False,False,100.0,1.5772792449439592,1.2793371765047628,FULL,50.98009480631928,2.473356539686497,379906500,Weak,0,0,1.7587490930949574
