ticker,rs,breakout_lvl,dist_sma20_pct,dist_sma20,rvol,waiting_desc,sector_etf,excluded_by_xlv,allowed_shadow_candidate,shadow_status,source_snapshot
CNC,94.20600858369099,56.35,20.61,20.61,0.84,SMA50>SMA100 (-2.32%),OTHER,False,True,shadow_allowed,paper_finviz
AMSC,95.70815450643777,57.18,22.11,22.11,1.16,SMA100/SMA200 N/A,OTHER,False,True,shadow_allowed,paper_finviz
DBRG,49.141630901287556,15.65,0.36,0.36,0.62,Breakout > 15.65,OTHER,False,True,shadow_allowed,paper_finviz
ASX,88.8412017167382,34.3,14.2,14.2,1.05,SMA100/SMA200 N/A,OTHER,False,True,shadow_allowed,paper_finviz
AG,75.32188841201717,23.07,14.05,14.05,1.85,SMA20>SMA50 (-5.35%),OTHER,False,True,shadow_allowed,paper_finviz
EXK,78.54077253218884,11.43,17.44,17.44,1.48,Breakout > 11.43,OTHER,False,True,shadow_allowed,paper_finviz
EQR,67.81115879828327,66.95,3.7,3.7,0.67,Breakout > 66.95,OTHER,False,True,shadow_allowed,paper_finviz
GFS,95.49356223175965,76.37,20.0,20.0,0.68,Breakout > 76.37,OTHER,False,True,shadow_allowed,paper_finviz
VTRS,83.47639484978541,17.53,11.81,11.81,1.06,Breakout > 17.53,OTHER,False,True,shadow_allowed,paper_finviz
MNST,76.82403433476395,88.77,11.62,11.62,1.47,Breakout > 88.77,XLY,False,True,shadow_allowed,paper_finviz
SWKS,84.33476394849787,72.81,10.19,10.19,1.36,Breakout > 72.81,OTHER,False,True,shadow_allowed,paper_finviz
DBX,77.8969957081545,29.1,7.37,7.37,2.23,Breakout > 29.10,OTHER,False,True,shadow_allowed,paper_finviz
CPRX,83.90557939914163,32.56,10.36,10.36,1.24,Breakout > 32.56,OTHER,False,True,shadow_allowed,paper_finviz
LNT,49.57081545064378,75.76,0.48,0.48,0.71,Breakout > 75.76,OTHER,False,True,shadow_allowed,paper_finviz
PRM,85.83690987124464,32.02,8.17,8.17,1.2,SMA50>SMA100 (-2.71%),OTHER,False,True,shadow_allowed,paper_finviz
REYN,43.99141630901288,22.52,1.31,1.31,0.9,Breakout > 22.52,OTHER,False,True,shadow_allowed,paper_finviz
QBTS,97.21030042918454,24.04,16.4,16.4,1.0,Breakout > 24.04,XLK,False,True,shadow_allowed,paper_finviz
GH,78.32618025751073,98.5,8.52,8.52,1.01,Breakout > 98.50,OTHER,False,True,shadow_allowed,paper_finviz
PFGC,63.73390557939914,96.41,4.15,4.15,1.0,Breakout > 96.41,OTHER,False,True,shadow_allowed,paper_finviz
GTX,94.4206008583691,29.18,27.92,27.92,0.93,Breakout > 29.18,OTHER,False,True,shadow_allowed,paper_finviz
UMC,96.35193133047211,15.45,22.57,22.57,0.94,SMA100/SMA200 N/A,OTHER,False,True,shadow_allowed,paper_finviz
MKSI,78.11158798283262,326.84,12.84,12.84,0.92,Breakout > 326.84,OTHER,False,True,shadow_allowed,paper_finviz
CLSK,88.62660944206009,14.63,14.4,14.4,1.43,Breakout > 14.63,OTHER,False,True,shadow_allowed,paper_finviz
CALY,77.03862660944206,17.7,6.67,6.67,1.33,Breakout > 17.70,OTHER,False,True,shadow_allowed,paper_finviz
OVV,60.30042918454935,63.46,2.33,2.33,1.38,Breakout > 63.46,OTHER,False,True,shadow_allowed,paper_finviz
JBL,81.11587982832617,372.37,8.56,8.56,0.78,Breakout > 372.37,OTHER,False,True,shadow_allowed,paper_finviz
MARA,87.33905579399142,13.35,14.12,14.12,1.07,SMA100/SMA200 N/A,OTHER,False,True,shadow_allowed,paper_finviz
GPK,58.798283261802574,11.38,3.22,3.22,0.99,Breakout > 11.38,OTHER,False,True,shadow_allowed,paper_finviz
AAOI,81.97424892703863,191.87,16.43,16.43,1.53,Breakout > 191.87,OTHER,False,True,shadow_allowed,paper_finviz
BRK-B,47.21030042918455,481.11,1.44,1.44,0.82,Breakout > 481.11,OTHER,False,True,shadow_allowed,paper_finviz
VOD,58.583690987124456,16.23,3.88,3.88,0.98,SMA100/SMA200 N/A,OTHER,False,True,shadow_allowed,paper_finviz
ON,94.63519313304721,105.9,14.05,14.05,0.72,RVOL >= 1.10,XLK,False,True,shadow_allowed,paper_finviz
AMAT,73.60515021459227,438.04,10.08,10.08,1.33,Dist SMA20 <= 6.77%,XLK,False,True,shadow_allowed,paper_finviz
GS,63.519313304721024,952.01,2.25,2.25,1.3,Breakout > 952.01,XLF,False,True,shadow_allowed,paper_finviz
IBKR,75.9656652360515,87.37,5.66,5.66,0.67,Breakout > 87.37,OTHER,False,True,shadow_allowed,paper_finviz
RGTI,89.91416309012875,20.17,12.95,12.95,1.33,SMA50>SMA100 (-12.02%),OTHER,False,True,shadow_allowed,paper_finviz
USAR,95.92274678111588,28.69,11.59,11.59,0.94,Breakout > 28.69,OTHER,False,True,shadow_allowed,paper_finviz
CYTK,72.96137339055794,80.2,10.81,10.81,1.55,Breakout > 80.20,OTHER,False,True,shadow_allowed,paper_finviz
EWBC,59.65665236051502,126.71,0.21,0.21,1.05,Breakout > 126.71,OTHER,False,True,shadow_allowed,paper_finviz
VTR,57.5107296137339,88.5,2.42,2.42,0.93,Breakout > 88.50,OTHER,False,True,shadow_allowed,paper_finviz
ZM,87.55364806866953,109.5,11.27,11.27,0.87,Breakout > 109.50,OTHER,False,True,shadow_allowed,paper_finviz
AEHR,92.7038626609442,103.83,16.96,16.96,0.87,SMA100/SMA200 N/A,OTHER,False,True,shadow_allowed,paper_finviz
TGTX,86.26609442060087,44.65,16.93,16.93,1.17,Breakout > 44.65,OTHER,False,True,shadow_allowed,paper_finviz
IREN,86.69527896995707,65.61,10.06,10.06,2.32,Breakout > 65.61,OTHER,False,True,shadow_allowed,paper_finviz
HL,65.45064377682404,20.36,11.37,11.37,1.92,SMA20>SMA50 (-3.04%),OTHER,False,True,shadow_allowed,paper_finviz
WAT,64.59227467811158,356.99,7.31,7.31,0.94,Breakout > 356.99,OTHER,False,True,shadow_allowed,paper_finviz
HAS,54.506437768240346,99.2,0.31,0.31,0.84,Breakout > 99.20,OTHER,False,True,shadow_allowed,paper_finviz
EBAY,70.3862660944206,111.38,3.8,3.8,0.91,Breakout > 111.38,OTHER,False,True,shadow_allowed,paper_finviz
BW,56.22317596566524,18.8,17.96,17.96,2.87,EMA10>SMA20 (-1.23%),OTHER,False,True,shadow_allowed,paper_finviz
ERIC,57.2961373390558,12.19,6.81,6.81,0.97,SMA100/SMA200 N/A,OTHER,False,True,shadow_allowed,paper_finviz
KRG,61.1587982832618,26.82,1.69,1.69,0.62,Breakout > 26.82,OTHER,False,True,shadow_allowed,paper_finviz
WES,68.6695278969957,44.39,6.78,6.78,0.54,Breakout > 44.39,OTHER,False,True,shadow_allowed,paper_finviz
RPRX,63.94849785407726,51.65,3.74,3.74,1.19,Breakout > 51.65,OTHER,False,True,shadow_allowed,paper_finviz
SONY,50.64377682403433,22.05,3.66,3.66,2.37,Breakout > 22.05,OTHER,False,True,shadow_allowed,paper_finviz
NOK,89.05579399141631,13.98,19.92,19.92,1.26,Breakout > 13.98,OTHER,False,True,shadow_allowed,paper_finviz
ENTG,66.30901287553648,159.04,1.85,1.85,1.0,Breakout > 159.04,XLK,False,True,shadow_allowed,paper_finviz
INCY,60.51502145922747,102.86,3.22,3.22,1.16,Breakout > 102.86,OTHER,False,True,shadow_allowed,paper_finviz
OLN,35.622317596566525,29.73,3.3,3.3,1.03,Breakout > 29.73,OTHER,False,True,shadow_allowed,paper_finviz
FER,40.772532188841204,72.47,0.27,0.27,1.28,Breakout > 72.47,OTHER,False,True,shadow_allowed,paper_finviz
AHR,60.08583690987125,52.19,0.77,0.77,1.28,Breakout > 52.19,OTHER,False,True,shadow_allowed,paper_finviz
CNH,29.399141630901287,11.62,3.65,3.65,0.86,Breakout > 11.62,OTHER,False,True,shadow_allowed,paper_finviz
OKLO,92.27467811158799,81.5,11.97,11.97,1.01,Breakout > 81.50,OTHER,False,True,shadow_allowed,paper_finviz
